"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","8765/TCP","9093/TCP","9443/TCP"
2023-03-13 18:14:00,3.44,,1.52,,6.16,9.10,3.32,2.60,2.08,,5.22,,1.68,1.74
2023-03-13 18:16:00,3.50,,1.88,1.86,6.42,8.88,3.34,2.54,2.10,5.76,5.24,,,
2023-03-13 18:18:00,3.54,,1.58,,6.38,9.22,3.12,2.54,2.12,,5.12,,1.70,1.68
2023-03-13 18:20:00,3.54,,1.52,,6.50,8.88,3.26,2.56,2.16,,5.12,,1.66,1.68
2023-03-13 18:22:00,3.40,,1.62,,6,8.90,3.26,2.50,1.96,,5.16,,1.68,1.68
2023-03-13 18:24:00,3.28,,1.52,,6.02,8.90,3.24,2.58,2.02,,5.18,,1.72,1.68
2023-03-13 18:26:00,3.50,,1.88,2.32,6.42,8.78,3.34,2.52,2.12,,5.18,,1.70,
2023-03-13 18:28:00,3.42,,1.58,,6.36,8.90,3.06,2.52,2.08,,5.12,,1.72,1.70
2023-03-13 18:30:00,3.46,1.52,,,6.50,8.56,3.12,2.52,2.08,,5.16,,1.70,1.66
2023-03-13 18:32:00,3.26,,1.62,,6.24,8.48,3.24,2.52,2.02,,5.18,,1.74,1.68
2023-03-13 18:34:00,3.38,,1.52,,6.22,8.78,3.34,2.54,2.02,,5.10,,1.64,1.68
2023-03-13 18:36:00,3.46,,1.88,2.24,6.40,8.80,3.20,2.52,2.16,,5.18,,1.72,
2023-03-13 18:38:00,3.36,,,,6.18,16.3,3.22,2.48,2.08,39.0,5.14,,1.78,1.68
2023-03-13 18:40:00,3.64,,1.52,,6.44,9.06,3.14,2.56,1.94,,5.18,,1.84,1.68
2023-03-13 18:42:00,3.34,,1.62,,6.20,8.98,2.90,2.56,2.14,,5.14,,1.72,1.68
2023-03-13 18:44:00,3.28,,1.70,,6.56,9.08,3.20,2.46,2.12,,5.16,,1.72,1.68
2023-03-13 18:46:00,3.48,,2.06,2.24,6.24,9.02,3.16,2.48,2.10,,5.22,,1.74,
2023-03-13 18:48:00,3.40,,,,6.20,16.1,3.48,2.56,2.20,99.4,5.12,,1.74,1.68
2023-03-13 18:50:00,3.48,,1.52,,6.50,8.82,3.24,2.58,2.10,,5.22,,1.76,1.70
2023-03-13 18:52:00,3.34,,1.62,,6.08,9.12,3.22,2.52,2.12,,5.16,,1.68,1.68
2023-03-13 18:54:00,3.44,,1.52,,6.22,8.92,3.26,2.48,2.08,,5.20,,1.80,1.70
2023-03-13 18:56:00,3.52,,1.88,2.18,6.32,8.96,3.32,2.52,2.10,,5.20,,,1.68
2023-03-13 18:58:00,3.38,,,,6.28,9.12,3.14,2.52,2.10,60.8,5.24,,1.72,1.68
2023-03-13 19:00:00,3.38,1.54,,,6.54,8.80,3.28,2.50,2.12,,5.14,,1.70,1.70
2023-03-13 19:02:00,3.28,,1.62,,6.12,8.96,3.18,2.50,2.08,,5.16,,1.70,1.74
2023-03-13 19:04:00,3.36,,1.52,,6.22,8.50,3.24,2.50,2.16,,5.18,,1.72,1.70
2023-03-13 19:06:00,3.38,,1.88,2.16,6.34,9.08,3.34,2.54,2.08,,5.22,,1.72,
2023-03-13 19:08:00,3.36,,1.66,,6.12,9.40,3.24,2.50,2.10,,5.26,,1.78,1.68
2023-03-13 19:10:00,3.48,,1.52,,6.40,9.36,3.20,2.52,1.98,,5.20,,1.84,1.68
2023-03-13 19:12:00,3.14,,1.62,,6.22,9.10,3.12,2.56,2.10,,5.20,,1.72,1.68
2023-03-13 19:14:00,3.30,,1.52,,6.14,8.88,3.28,2.54,2.10,,5.14,,1.76,1.68
2023-03-13 19:16:00,3.38,,1.88,2.20,6.58,9.14,3.18,2.48,1.90,,5.20,,1.76,
2023-03-13 19:18:00,3.36,,1.58,,6.10,8.66,3.28,2.48,2.10,,5.20,,1.80,1.66
2023-03-13 19:20:00,3.22,,1.52,,6.52,8.88,3.20,2.54,2,,5.16,,1.66,1.68
2023-03-13 19:22:00,3.16,,1.62,,6.42,8.88,3.28,2.54,2.08,,5.16,,1.76,1.66
2023-03-13 19:24:00,3.48,,1.52,,6.32,8.74,3.24,2.50,2,,5.18,,1.72,1.68
2023-03-13 19:26:00,3.42,,1.88,2.16,6.24,9.14,3.28,2.50,2.04,,5.14,,1.74,
2023-03-13 19:28:00,3.44,,1.58,,6.02,8.94,3.14,2.58,2.06,,5.20,,1.62,1.68
2023-03-13 19:30:00,3.38,,,1.74,6.48,16.1,3.28,2.58,2.08,56.4,5.26,,,1.68
2023-03-13 19:32:00,3.34,,1.62,,6.12,8.84,3.28,2.52,2.14,,5.26,,1.78,1.68
2023-03-13 19:34:00,3.36,,1.52,,6.40,8.70,3.34,2.50,2.10,,5.12,,1.86,1.68
2023-03-13 19:36:00,3.50,,1.88,2.18,6.22,8.80,3.24,2.60,2.06,,5.16,,1.72,
2023-03-13 19:38:00,3.32,,1.58,,5.90,8.74,3.10,2.64,2.12,,5.20,,1.72,1.68
2023-03-13 19:40:00,3.48,,,,6.82,15.6,3.20,2.62,2,97.9,5.18,,1.68,1.68
2023-03-13 19:42:00,3.32,,1.62,,6.04,8.62,3.12,2.50,2.14,,5.22,,1.72,1.68
2023-03-13 19:44:00,3.28,,1.70,,6.30,9.10,3.24,2.52,2.12,,5.18,,1.70,1.68
2023-03-13 19:46:00,3.42,,2.06,2.64,6.24,8.26,3.30,2.46,1.96,,5.16,,1.76,
2023-03-13 19:48:00,3.20,,1.58,,5.88,8.52,3.16,2.54,2.20,,5.14,,1.70,1.74
2023-03-13 19:50:00,3.42,,,,6.54,8.96,3.16,2.50,2.06,45.9,5.14,,1.74,1.68
