"Time","ICMPv4","TCP","UDP"
2023-02-22 22:26:00,0.180,45.3,0.400
2023-02-22 22:28:00,0.180,44.8,0.0400
2023-02-22 22:30:00,0.180,98.9,3.66
2023-02-22 22:32:00,0.180,44.2,0.0400
2023-02-22 22:34:00,0.180,44.3,0.440
2023-02-22 22:36:00,0.180,44.5,0.0800
2023-02-22 22:38:00,0.180,44.5,0.440
2023-02-22 22:40:00,0.180,116,4.20
2023-02-22 22:42:00,0.180,44.6,0.420
2023-02-22 22:44:00,0.180,45.1,0.440
2023-02-22 22:46:00,0.180,44.9,0.200
2023-02-22 22:48:00,0.180,44.7,0.440
2023-02-22 22:50:00,0.180,132,3.34
2023-02-22 22:52:00,0.180,44.9,0.440
2023-02-22 22:54:00,0.180,44.3,0.0400
2023-02-22 22:56:00,0.180,44.2,0.400
2023-02-22 22:58:00,0.180,44.6,0.0400
2023-02-22 23:00:00,0.180,146,3.68
2023-02-22 23:02:00,0.180,44.0,0.0400
2023-02-22 23:04:00,0.180,45.3,0.440
2023-02-22 23:06:00,0.180,44.5,0.0800
2023-02-22 23:08:00,0.180,44.8,0.440
2023-02-22 23:10:00,0.180,145,3.72
2023-02-22 23:12:00,0.180,44.2,0.440
2023-02-22 23:14:00,0.180,45.6,0.440
2023-02-22 23:16:00,0.180,45.3,0.200
2023-02-22 23:18:00,0.180,45.7,0.440
2023-02-22 23:20:00,0.180,147,3.34
2023-02-22 23:22:00,0.180,45.9,0.440
2023-02-22 23:24:00,0.180,45.1,0.0400
2023-02-22 23:26:00,0.180,45.5,0.400
2023-02-22 23:28:00,0.180,46.2,0.0400
2023-02-22 23:30:00,0.180,128,1.88
2023-02-22 23:32:00,0.180,45.4,0.0400
2023-02-22 23:34:00,0.180,45.7,0.440
2023-02-22 23:36:00,0.180,45.2,0.0800
2023-02-22 23:38:00,0.180,45.2,0.440
2023-02-22 23:40:00,0.180,108,2.32
2023-02-22 23:42:00,0.180,45.5,0.440
2023-02-22 23:44:00,0.180,45.3,0.440
2023-02-22 23:46:00,0.180,45.5,0.200
2023-02-22 23:48:00,0.180,45.5,0.440
2023-02-22 23:50:00,0.180,91.4,1.58
2023-02-22 23:52:00,0.180,45.0,0.440
2023-02-22 23:54:00,0.180,46.1,0.0400
2023-02-22 23:56:00,0.180,45.4,0.400
2023-02-22 23:58:00,0.180,44.7,0.0400
2023-02-23 00:00:00,0.180,72.7,1.90
2023-02-23 00:02:00,0.180,44.6,0.0400
2023-02-23 00:04:00,0.180,45.5,0.400
2023-02-23 00:06:00,0.180,45.4,0.0800
2023-02-23 00:08:00,0.180,45.6,0.440
2023-02-23 00:10:00,0.180,55.0,1.94
2023-02-23 00:12:00,0.180,44.2,0.440
2023-02-23 00:14:00,0.180,45.2,0.440
2023-02-23 00:16:00,0.180,44.5,0.200
2023-02-23 00:18:00,0.180,44.5,0.440
2023-02-23 00:20:00,0.180,44.9,1.58
2023-02-23 00:22:00,0.180,44.6,0.440
2023-02-23 00:24:00,0.180,44.8,0.0400
2023-02-23 00:26:00,0.180,45.0,0.380
2023-02-23 00:28:00,0.180,44.2,0.0400
2023-02-23 00:30:00,0.180,44.8,1.90
2023-02-23 00:32:00,0.180,44.8,0.0400
2023-02-23 00:34:00,0.180,45.1,0.400
2023-02-23 00:36:00,0.180,43.7,0.0800
2023-02-23 00:38:00,0.180,44.3,0.440
2023-02-23 00:40:00,0.180,44.9,2.46
2023-02-23 00:42:00,0.180,43.9,0.200
2023-02-23 00:44:00,0.180,44.4,0.440
2023-02-23 00:46:00,0.180,44.0,0.0800
2023-02-23 00:48:00,0.180,44.5,0.440
2023-02-23 00:50:00,0.180,44.1,1.58
2023-02-23 00:52:00,0.180,44.4,0.420
2023-02-23 00:54:00,0.180,43.6,0.0800
2023-02-23 00:56:00,0.180,47.4,0.400
2023-02-23 00:58:00,0.180,46.8,0.0400
2023-02-23 01:00:00,0.180,47.4,1.88
2023-02-23 01:02:00,0.180,46.3,0.0400
2023-02-23 01:04:00,0.180,47.2,0.400
2023-02-23 01:06:00,0.180,46.9,0.320
2023-02-23 01:08:00,0.180,46.9,0.440
2023-02-23 01:10:00,0.180,48.0,1.96
2023-02-23 01:12:00,0.180,51.6,0.440
2023-02-23 01:14:00,0.180,47.5,0.440
2023-02-23 01:16:00,0.180,46.0,0.0800
2023-02-23 01:18:00,0.180,46.7,0.440
2023-02-23 01:20:00,0.180,46.7,1.58
