"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf3de66de77bc)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf3de66de77bc)","Receive Total (lxcf97c652df312)"
2023-03-21 21:30:00,0,71.9,25703,53245,0,0,0,0,0,180,280,130,129,65.8,121,38.5,0,591,30.8,0,38.5,1935,4.27,128,0,65.9,42607,19,1959,7110,0,1879,71.9,0,37012,62091,0,0,0.389,0,0,221,113,30.7,30.3,40.6,29.4,19,0,698,24.8,0,19,204,4.13,30.3,0,40.6,20315,38.5,232,1117,0,1869
2023-03-21 21:32:00,0,75.6,29127,56947,0,0,0,0,0,177,285,124,124,65.8,126,38.5,0,589,30.8,0,38.5,1734,4.27,122,0,66.5,41619,19,1754,6812,0,1072,75.6,0,35224,59026,0,0,0,0,0,222,124,29.4,29.0,41,30.3,19,0,699,24.8,0,19,190,4.13,29.0,0,41.4,24532,38.5,218,1166,0,1073
2023-03-21 21:34:00,0,75.2,28149,80422,0,0,0,0,62,180,278,125,124,65.7,126,503,0,583,31.6,0,38.5,1871,4.27,122,0,67.5,41603,19,1891,7025,0,1596,75.2,0,58817,88012,0,0,0,0,151,222,114,29.0,29.0,41,30.3,375,0,698,25.5,0,19,198,4.13,29.0,0,43.2,20285,38.5,228,1142,0,1593
2023-03-21 21:36:00,0,76.3,25756,77928,0,0,0,0,62,179,274,130,129,65.7,126,503,0,591,31.2,0,38.5,1817,4.27,122,0,66.2,41603,19,1862,7005,0,1339,76.3,0,58563,87709,0,0,0,0,151,226,103,30.3,30.3,40.3,30.3,375,0,698,25.1,0,19.4,207,4.13,29.0,0,41.4,18145,38.5,269,1185,0,1344
2023-03-21 21:38:00,0,79.3,33025,61220,0,0,0,0,0,177,280,130,129,65.7,132,38.5,0,589,31.1,0,38.5,1885,4.27,122,0,66.1,41716,19.4,1938,7143,0,1604,79.3,0,35833,60272,0,0.389,0,0,0,225,112,30.3,30.3,40.3,31.6,19,0,697,25,0,19,196,4.13,29.0,0,41,27925,38.5,262,1146,0,1602
2023-03-21 21:40:00,0,78.2,25625,53161,0,0,0.389,0,0,177,273,118,123,65.7,126,38.5,0,585,31.5,0,38.5,1959,4.27,122,0,66.1,41586,19,1960,7169,0,1865,78.2,0,35989,60995,0,0,0,0,0,224,109,27.7,29.0,40.3,30.3,19.4,0,701,25.5,0,19,214,4.13,29.0,0,40.6,20234,38.5,223,1165,0,1860
2023-03-21 21:42:00,0,73.4,31880,59893,0,0,0,0,0,178,283,130,124,65.3,126,38.5,0,587,31.9,0,38.5,1804,4.27,122,0,65.7,41605,19,1825,6934,0,1334,73.4,0,35467,59678,0,0,0,0,0,223,115,30.3,29.0,41.4,30.3,19,0,701,25.8,0,19,200,4.13,29.0,0,41,27030,38.5,228,1173,0,1334
2023-03-21 21:44:00,0,83.7,27788,82556,0,0,0,0,0,178,275,124,129,65.3,121,38.5,0,589,31.4,0,38.5,1874,4.27,116,0,65.7,41550,19,1897,7076,0,1604,83.7,0,60761,90301,0,0,0,0.389,0,223,106,29.0,30.3,41,29.0,19,0,699,25.4,0,19,202,4.13,27.7,0,40.3,20254,38.5,222,1174,0,1601
2023-03-21 21:46:00,0,82.2,35830,176592,0,0,0,0,93,177,279,130,124,65.7,126,935,0,587,30.8,0,38.9,1809,4.27,122,0,65.8,41556,19,1876,6967,0,1348,82.2,0,140313,186367,0,0,0,0,227,223,115,30.3,29.0,41,30.3,618,0,699,24.8,0,19,200,4.13,29.0,0,40.6,20065,38.5,244,1166,0,1342
2023-03-21 21:48:00,0,83.7,40831,122343,0,0,0,0,140,179,282,136,135,66.1,132,1403,0.389,589,30.8,0,38.9,1811,4.50,139,0.389,65.7,41648,19,1817,6964,0,1347,83.7,0,85530,120139,0,0,0,0,341,222,114,31.6,31.6,41,31.6,929,0,700,24.8,0,19,208,4.37,32.9,0,40.3,29991,38.5,211,1174,0,1336
