"Time","Transmit Total","Receive Total"
2023-03-21 01:10:00,564947,463493
2023-03-21 01:12:00,568355,457323
2023-03-21 01:14:00,569840,493779
2023-03-21 01:16:00,686235,572408
2023-03-21 01:18:00,576888,485917
2023-03-21 01:20:00,559817,447133
2023-03-21 01:22:00,568693,457371
2023-03-21 01:24:00,570328,467173
2023-03-21 01:26:00,707557,577517
2023-03-21 01:28:00,625543,501308
2023-03-21 01:30:00,603119,470665
2023-03-21 01:32:00,562869,452554
2023-03-21 01:34:00,547305,460670
2023-03-21 01:36:00,678924,570178
2023-03-21 01:38:00,641077,526009
2023-03-21 01:40:00,561226,451758
2023-03-21 01:42:00,569385,455586
2023-03-21 01:44:00,563936,459770
2023-03-21 01:46:00,667675,560271
2023-03-21 01:48:00,670567,565428
2023-03-21 01:50:00,553543,441009
2023-03-21 01:52:00,621221,484187
2023-03-21 01:54:00,619196,482924
2023-03-21 01:56:00,640059,549209
2023-03-21 01:58:00,1002432,914350
2023-03-21 02:00:00,802441,675649
2023-03-21 02:02:00,568457,463793
2023-03-21 02:04:00,568923,452688
2023-03-21 02:06:00,560493,454508
2023-03-21 02:08:00,586161,485880
2023-03-21 02:10:00,732229,586798
2023-03-21 02:12:00,573810,474706
2023-03-21 02:14:00,581007,463051
2023-03-21 02:16:00,549958,441821
2023-03-21 02:18:00,575695,472702
2023-03-21 02:20:00,666440,548279
2023-03-21 02:22:00,622187,502457
2023-03-21 02:24:00,577074,454619
2023-03-21 02:26:00,555864,450073
2023-03-21 02:28:00,587008,479577
2023-03-21 02:30:00,650831,542612
2023-03-21 02:32:00,655992,546377
2023-03-21 02:34:00,578145,595644
2023-03-21 02:36:00,567535,466127
2023-03-21 02:38:00,652115,500022
2023-03-21 02:40:00,630406,527970
2023-03-21 02:42:00,693702,584920
2023-03-21 02:44:00,580845,461209
2023-03-21 02:46:00,563171,468317
2023-03-21 02:48:00,587223,467044
2023-03-21 02:50:00,573320,477759
2023-03-21 02:52:00,672882,571708
2023-03-21 02:54:00,620995,483267
2023-03-21 02:56:00,616438,496818
2023-03-21 02:58:00,593760,472143
2023-03-21 03:00:00,557150,446431
2023-03-21 03:02:00,675688,561248
2023-03-21 03:04:00,563423,453828
2023-03-21 03:06:00,562774,464763
2023-03-21 03:08:00,586944,461014
2023-03-21 03:10:00,561547,461042
2023-03-21 03:12:00,672122,551519
2023-03-21 03:14:00,613387,489270
2023-03-21 03:16:00,612397,494392
2023-03-21 03:18:00,654995,502296
2023-03-21 03:20:00,583714,473959
2023-03-21 03:22:00,680876,557007
2023-03-21 03:24:00,658889,541586
2023-03-21 03:26:00,579712,469135
2023-03-21 03:28:00,562612,450676
2023-03-21 03:30:00,559337,461881
2023-03-21 03:32:00,630308,521075
2023-03-21 03:34:00,670093,563599
2023-03-21 03:36:00,576059,454944
2023-03-21 03:38:00,567624,458335
2023-03-21 03:40:00,614747,492855
2023-03-21 03:42:00,586760,478678
2023-03-21 03:44:00,676208,578067
2023-03-21 03:46:00,587292,467462
2023-03-21 03:48:00,557036,451842
2023-03-21 03:50:00,566353,463766
2023-03-21 03:52:00,571373,456887
2023-03-21 03:54:00,692808,583270
2023-03-21 03:56:00,611332,477851
2023-03-21 03:58:00,557244,445551
2023-03-21 04:00:00,625108,496354
2023-03-21 04:02:00,558693,451130
2023-03-21 04:04:00,769823,685934
2023-03-21 04:06:00,1060238,919041
2023-03-21 04:08:00,688264,564586
2023-03-21 04:10:00,568646,450985
2023-03-21 04:12:00,552823,444194
2023-03-21 04:14:00,555539,459724
2023-03-21 04:16:00,665733,551673
2023-03-21 04:18:00,666681,569588
2023-03-21 04:20:00,575907,453049
2023-03-21 04:22:00,564272,447299
2023-03-21 04:24:00,555035,459485
2023-03-21 04:26:00,651416,521254
2023-03-21 04:28:00,659529,562867
2023-03-21 04:30:00,569234,467286
