"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-17 03:54:00,226579,148206,166335,146720,126196,152938
2023-03-17 03:56:00,305722,163751,175344,203745,171598,161625
2023-03-17 03:58:00,244169,139914,186686,163799,122035,180126
2023-03-17 04:00:00,229202,132585,170197,150770,119221,157157
2023-03-17 04:02:00,256333,128356,204598,151916,117668,199561
2023-03-17 04:04:00,251082,146309,190786,150575,125265,176025
2023-03-17 04:06:00,307871,163854,183363,204208,171609,175850
2023-03-17 04:08:00,301552,151407,179589,198090,133947,162869
2023-03-17 04:10:00,226907,131531,169442,149816,118178,156588
2023-03-17 04:12:00,232873,130300,182474,150701,118226,178409
2023-03-17 04:14:00,228352,149750,170802,152504,126949,156161
2023-03-17 04:16:00,308843,162911,190578,212240,171002,183468
2023-03-17 04:18:00,309345,178709,177581,206110,173682,163328
2023-03-17 04:20:00,226864,132967,169539,149743,119520,156647
2023-03-17 04:22:00,236290,130817,187125,154675,118407,182046
2023-03-17 04:24:00,238909,139281,181635,152372,121779,168248
2023-03-17 04:26:00,281957,161001,198286,185558,170160,190889
2023-03-17 04:28:00,311239,181822,180386,211766,180948,163312
2023-03-17 04:30:00,250384,131672,192353,149794,118130,180182
2023-03-17 04:32:00,232541,148411,198692,149368,127046,189227
2023-03-17 04:34:00,227964,131726,171836,151625,118177,177140
2023-03-17 04:36:00,236217,139735,184538,155978,138839,176869
2023-03-17 04:38:00,314128,179245,178937,207331,179884,161801
2023-03-17 04:40:00,226832,131386,178613,149036,117857,175709
2023-03-17 04:42:00,233994,148162,173657,153063,126877,157759
2023-03-17 04:44:00,229529,131655,170300,149702,118133,157721
2023-03-17 04:46:00,237164,131653,190620,162288,118896,183427
2023-03-17 04:48:00,309784,184707,181980,211837,182302,165635
2023-03-17 04:50:00,266997,129826,204322,164321,117068,200235
2023-03-17 04:52:00,234338,150781,173452,148739,128247,160404
2023-03-17 04:54:00,230560,131571,171733,151578,117986,158565
2023-03-17 04:56:00,231186,128977,182333,151470,117083,177471
2023-03-17 04:58:00,308621,183755,179515,208383,181340,164424
2023-03-17 05:00:00,292108,135549,179254,196226,126934,174298
2023-03-17 05:02:00,232880,149270,171662,149473,127551,157431
2023-03-17 05:04:00,231766,132827,170826,150453,119288,158466
2023-03-17 05:06:00,245302,141232,187829,158082,123529,180562
2023-03-17 05:08:00,322998,163763,193697,209034,171455,179056
2023-03-17 05:10:00,299811,154059,177977,201003,161043,172547
2023-03-17 05:12:00,256650,147896,195279,151746,126865,180561
2023-03-17 05:14:00,233340,132636,180143,155431,119053,172248
2023-03-17 05:16:00,235133,145453,177122,180199,124809,157743
2023-03-17 05:18:00,277260,163790,183383,209895,171329,166058
2023-03-17 05:20:00,300509,155973,179142,203889,166727,171544
2023-03-17 05:22:00,236805,146244,175789,155361,126085,158214
2023-03-17 05:24:00,234493,133225,184885,156809,120206,180057
2023-03-17 05:26:00,232825,150762,176850,156197,127510,161475
2023-03-17 05:28:00,235213,149152,177265,155332,147683,162803
2023-03-17 05:30:00,302207,161131,180655,202561,169336,176669
2023-03-17 05:32:00,234047,152328,175614,153216,128925,162103
2023-03-17 05:34:00,230029,131600,179689,151292,119300,175184
2023-03-17 05:36:00,257660,149122,201162,156775,126626,185746
2023-03-17 05:38:00,263634,132899,207487,160486,124303,192436
2023-03-17 05:40:00,302650,170964,178872,202037,179166,173786
2023-03-17 05:42:00,235865,140286,177683,156736,123078,163162
2023-03-17 05:44:00,229778,129853,178883,151539,118620,173477
2023-03-17 05:46:00,232439,147358,173761,154251,125869,157452
2023-03-17 05:48:00,235789,132780,179433,158245,119341,163968
2023-03-17 05:50:00,304141,178797,173112,202882,178685,161450
2023-03-17 05:52:00,294019,132863,185496,185599,119495,173287
2023-03-17 05:54:00,240338,126869,188246,151814,116434,182153
2023-03-17 05:56:00,232736,145671,173974,155912,125003,156228
2023-03-17 05:58:00,258827,132164,210561,156710,119109,206359
2023-03-17 06:00:00,303606,178320,167979,201116,178592,153007
2023-03-17 06:02:00,304521,153537,174968,202359,153801,161840
2023-03-17 06:04:00,229674,131992,179249,149892,118931,176130
2023-03-17 06:06:00,233974,151313,177992,154793,127768,163674
2023-03-17 06:08:00,239914,130683,192052,158189,118543,185824
2023-03-17 06:10:00,286014,182530,171311,190385,181066,156882
2023-03-17 06:12:00,303572,162702,174991,201755,170009,161833
2023-03-17 06:14:00,230521,130542,181104,153563,118336,175863
2023-03-17 06:16:00,231603,139212,174183,151612,121852,160787
2023-03-17 06:18:00,230988,128856,182313,149751,117463,177740
2023-03-17 06:20:00,234317,172757,168792,154903,168017,153522
2023-03-17 06:22:00,306952,162733,177425,203225,170361,163946
2023-03-17 06:24:00,230649,147514,174184,153336,126580,161535
2023-03-17 06:26:00,235657,131685,178705,158444,118151,163365
2023-03-17 06:28:00,272129,128013,224118,165049,117001,215686
2023-03-17 06:30:00,241126,151992,182101,156475,132599,165328
2023-03-17 06:32:00,303771,162302,184025,201909,169736,180739
2023-03-17 06:34:00,229764,146141,167963,151097,125880,151661
2023-03-17 06:36:00,237033,131670,181529,158822,118133,166109
2023-03-17 06:38:00,240078,129198,194525,162858,116986,186482
2023-03-17 06:40:00,230916,150397,173113,156168,127945,157135
2023-03-17 06:42:00,304540,162138,185161,203592,170026,181020
2023-03-17 06:44:00,265014,151379,171576,176733,128428,157708
2023-03-17 06:46:00,261097,132621,202935,159739,119027,188469
2023-03-17 06:48:00,233727,130773,186959,157083,118370,180858
2023-03-17 06:50:00,230204,152342,172059,153024,128902,158113
2023-03-17 06:52:00,306119,160188,186557,203808,168807,181528
2023-03-17 06:54:00,302594,164621,171139,203036,151559,156341
2023-03-17 06:56:00,236166,133725,176080,153704,120388,162784
2023-03-17 06:58:00,231365,140227,182068,150336,122263,177371
2023-03-17 07:00:00,228205,132818,168662,148619,119520,156165
2023-03-17 07:02:00,302835,158532,181023,199621,168269,176053
2023-03-17 07:04:00,303413,179402,170454,204323,179315,154350
2023-03-17 07:06:00,239379,133601,185911,159250,120486,176469
2023-03-17 07:08:00,238266,145144,179052,157094,124740,161085
2023-03-17 07:10:00,229447,132788,171201,151518,119325,157765
2023-03-17 07:12:00,254915,157703,183000,167933,167712,176731
2023-03-17 07:14:00,327236,179014,194944,205558,178962,179194
2023-03-17 07:16:00,259222,133097,212953,161020,120064,206983
2023-03-17 07:18:00,232927,150772,176240,154847,127576,161592
2023-03-17 07:20:00,229103,132540,169658,149733,119200,156907
2023-03-17 07:22:00,235463,140168,185990,151970,134124,182309
2023-03-17 07:24:00,311575,182489,183049,204726,180071,169182
2023-03-17 07:26:00,236672,130871,189322,160953,118386,182168
2023-03-17 07:28:00,234446,149522,179056,159132,126796,162311
2023-03-17 07:30:00,229486,132689,170937,151738,119421,157277
2023-03-17 07:32:00,258672,130054,205757,151044,117807,202816
2023-03-17 07:34:00,298855,171621,168749,197606,175307,156872
2023-03-17 07:36:00,255816,129136,189345,172635,117594,181738
2023-03-17 07:38:00,237798,147745,180173,156567,125963,163471
2023-03-17 07:40:00,229772,132696,171949,152889,119402,157958
2023-03-17 07:42:00,236286,148150,184699,155076,126698,178776
2023-03-17 07:44:00,300580,163629,172679,203091,171098,158790
2023-03-17 07:46:00,303194,134822,187858,207674,128784,178551
2023-03-17 07:48:00,232824,145586,174015,154972,124988,156591
2023-03-17 07:50:00,232343,132188,182070,159353,119085,172082
2023-03-17 07:52:00,240884,149090,181559,162391,127938,163204
2023-03-17 07:54:00,324885,163001,194779,202861,170462,182073
2023-03-17 07:56:00,307459,160297,186989,206611,166463,181994
2023-03-17 07:58:00,235948,151411,179871,158934,127785,164382
2023-03-17 08:00:00,230521,130471,180246,152940,118149,175463
2023-03-17 08:02:00,233940,151275,174424,152553,128922,159711
2023-03-17 08:04:00,264275,162730,168824,174361,170054,156361
2023-03-17 08:06:00,309256,160852,188573,208179,169892,182105
2023-03-17 08:08:00,240860,151387,184834,159785,127691,169380
2023-03-17 08:10:00,229124,129504,177892,149907,117760,173627
2023-03-17 08:12:00,233196,150303,171923,150130,128625,157532
2023-03-17 08:14:00,228143,147687,171539,151910,146067,157818
2023-03-17 08:16:00,308536,178356,187414,210300,178772,179621
2023-03-17 08:18:00,261572,132671,202509,159003,119060,188325
2023-03-17 08:20:00,252040,128348,202970,154241,117206,197200
2023-03-17 08:22:00,235818,148262,175530,153743,127087,159490
2023-03-17 08:24:00,239286,131641,188118,153426,118072,180454
2023-03-17 08:26:00,308162,177654,176028,208553,178315,157788
2023-03-17 08:28:00,239958,132898,181521,161982,119262,166128
2023-03-17 08:30:00,227868,130508,178741,151297,118380,174122
