"Time","0(192.168.0.211:10250)","0(192.168.0.211:6443)","200(192.168.0.211:10250)","200(192.168.0.211:6443)","201(192.168.0.211:10250)","201(192.168.0.211:6443)","403(192.168.0.211:10250)","403(192.168.0.211:6443)","404(192.168.0.211:10250)","404(192.168.0.211:6443)","409(192.168.0.211:10250)","409(192.168.0.211:6443)","422(192.168.0.211:10250)","422(192.168.0.211:6443)","500(192.168.0.211:10250)","500(192.168.0.211:6443)","503(192.168.0.211:10250)","503(192.168.0.211:6443)","504(192.168.0.211:10250)","504(192.168.0.211:6443)"
2023-03-23 05:50:00,0,0,23.2,23.1,0.394,0.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:52:00,0,0,23.0,23.1,0.428,0.428,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:54:00,0,0,22.6,22.7,0.378,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:56:00,0,0,23.3,23.3,0.406,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:58:00,0,0,22.9,22.9,0.389,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:00:00,0,0,23.0,23.0,0.356,0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:02:00,0,0,23.2,23.2,0.367,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:04:00,0,0,22.8,22.8,0.339,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:06:00,0,0,23.0,23.0,0.417,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:08:00,0,0,22.9,22.9,0.439,0.433,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:10:00,0,0,23.0,23.0,0.378,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:12:00,0,0,23.2,23.3,0.422,0.433,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:14:00,0,0,22.8,22.7,0.350,0.350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:16:00,0,0,23.3,23.3,0.372,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:18:00,0,0,23.0,22.9,0.361,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:20:00,0,0,22.9,22.8,0.322,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:22:00,0,0,23.3,23.3,0.400,0.400,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:24:00,0,0,22.6,22.6,0.361,0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:26:00,0,0,23.8,23.8,0.378,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:28:00,0,0,23.7,23.8,0.400,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:30:00,0,0,23.2,23.1,0.350,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 06:32:00,0,0,23.7,23.7,0.400,0.400,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
