"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-12 03:08:00,16638,31075,15462,0,0,0,8064,0
2023-03-12 03:12:00,17550,95898,15518,0,0,0,7532,0
2023-03-12 03:16:00,17276,112449,15640,0,0,0,7908,0
2023-03-12 03:20:00,16173,108613,15514,0,0,0,7629,0
2023-03-12 03:24:00,17451,109907,15784,0,0,0,7547,0
2023-03-12 03:28:00,16466,14122,15402,0,0,0,8113,0
2023-03-12 03:32:00,17693,168171,33050,0,0,0,7599,0
2023-03-12 03:36:00,16393,110752,15738,0,0,0,7964,0
2023-03-12 03:40:00,13887,106399,15382,0,0,0,7517,0
2023-03-12 03:44:00,17009,106374,33203,0,0,0,7555,0
2023-03-12 03:48:00,16549,14159,15657,0,0,0,8257,0
2023-03-12 03:52:00,17046,116829,15613,0,0,0,7545,0
2023-03-12 03:56:00,16455,111125,15296,0,0,0,7895,0
2023-03-12 04:00:00,14180,108920,15595,0,0,0,7721,0
2023-03-12 04:04:00,249897,107218,146416,0,0,0,7684,0
2023-03-12 04:08:00,13904,43161,15391,0,0,0,8041,0
2023-03-12 04:12:00,16185,79875,15732,0,0,0,7532,0
2023-03-12 04:16:00,17130,113897,15252,0,0,0,8044,0
2023-03-12 04:20:00,17385,106721,32888,0,0,0,7712,0
2023-03-12 04:24:00,17973,104890,15240,0,0,0,7378,0
2023-03-12 04:28:00,17169,14317,15765,0,0,0,8397,0
2023-03-12 04:32:00,14702,112261,33068,0,0,0,7423,0
2023-03-12 04:36:00,14114,113190,15222,0,0,0,7947,0
2023-03-12 04:40:00,16771,108015,15555,0,0,0,7602,0
2023-03-12 04:44:00,17423,99025,15610,0,0,0,7442,0
2023-03-12 04:48:00,17340,14816,15449,0,0,0,8446,0
2023-03-12 04:52:00,13549,90418,15830,0,0,0,7509,0
2023-03-12 04:56:00,12112,106328,15015,0,0,0,7874,0
2023-03-12 05:00:00,18561,106596,15818,0,0,0,7563,0
2023-03-12 05:04:00,117185,108699,50742,0,0,0,7565,0
2023-03-12 05:08:00,16450,16470,15775,0,0,0,8196,0
2023-03-12 05:12:00,15313,115371,15250,0,0,0,7429,0
2023-03-12 05:16:00,17067,108818,15684,0,0,0,8283,0
2023-03-12 05:20:00,14422,103164,15308,0,0,0,7886,0
2023-03-12 05:24:00,13701,106661,15583,0,0,0,7648,0
2023-03-12 05:28:00,14096,14940,15532,0,0,0,7953,0
2023-03-12 05:32:00,14889,112223,32934,0,0,0,10056,0
2023-03-12 05:36:00,14718,116408,15305,0,0,0,7839,0
2023-03-12 05:40:00,14184,109838,15986,0,0,0,7806,0
2023-03-12 05:44:00,12833,108192,32686,0,0,0,7599,0
2023-03-12 05:48:00,15685,58848,15841,0,0,0,7907,0
2023-03-12 05:52:00,11811,88502,15340,0,0,0,7378,0
2023-03-12 05:56:00,16201,109381,15402,0,0,0,7914,0
2023-03-12 06:00:00,15330,114288,15460,0,0,0,7692,0
2023-03-12 06:04:00,1841700,104422,1420548,0,0,0,7700,0
2023-03-12 06:08:00,17116,42070,15602,0,0,0,8035,0
2023-03-12 06:12:00,17120,86465,15348,0,0,0,7604,0
2023-03-12 06:16:00,17024,113604,15705,0,0,0,7662,0
2023-03-12 06:20:00,16148,109496,15425,0,0,0,7889,0
2023-03-12 06:24:00,16832,100991,15483,0,0,0,8099,0
2023-03-12 06:28:00,17066,16732,15466,0,0,0,8019,0
2023-03-12 06:32:00,16978,107301,32744,0,0,0,7517,0
2023-03-12 06:36:00,16786,123075,15275,0,0,0,7707,0
2023-03-12 06:40:00,15904,104192,15468,0,0,0,8053,0
2023-03-12 06:44:00,17781,101576,15582,0,0,0,7611,0
2023-03-12 06:48:00,16670,41579,15458,0,0,0,8596,0
2023-03-12 06:52:00,17119,64157,15818,0,0,0,7725,0
2023-03-12 06:56:00,15796,113440,15407,0,0,0,8227,0
2023-03-12 07:00:00,16420,105678,15499,0,0,0,7807,0
2023-03-12 07:04:00,124171,104582,49346,0,0,0,7631,0
2023-03-12 07:08:00,16586,16503,15793,0,0,0,8046,0
2023-03-12 07:12:00,16958,106499,15313,0,0,0,7616,0
2023-03-12 07:16:00,16740,123953,15769,0,0,0,7867,0
2023-03-12 07:20:00,17194,106183,15250,0,0,0,7908,0
2023-03-12 07:24:00,15729,107398,15729,0,0,0,7724,0
2023-03-12 07:28:00,17802,16502,15588,0,0,0,7995,0
2023-03-12 07:32:00,16243,126724,33425,0,0,0,7604,0
2023-03-12 07:36:00,17494,112497,15506,0,0,0,7744,0
2023-03-12 07:40:00,16210,115056,15514,0,0,0,7859,0
2023-03-12 07:44:00,16918,101989,33974,0,0,0,10363,0
2023-03-12 07:48:00,14680,15452,15713,0,0,0,7957,0
2023-03-12 07:52:00,16667,112332,15466,0,0,0,7765,0
2023-03-12 07:56:00,17026,113986,15504,0,0,0,7598,0
2023-03-12 08:00:00,15715,109891,15570,0,0,0,8043,0
2023-03-12 08:04:00,256649,105061,147071,0,0,0,7611,0
2023-03-12 08:08:00,17800,14312,15469,0,0,0,9354,0
2023-03-12 08:12:00,14410,112554,15556,0,0,0,7789,0
2023-03-12 08:16:00,14653,112880,32985,0,0,0,8464,0
2023-03-12 08:20:00,14446,108863,15546,0,0,0,7887,0
2023-03-12 08:24:00,14418,106809,15124,0,0,0,7587,0
2023-03-12 08:28:00,17610,40363,15898,0,0,0,7853,0
2023-03-12 08:32:00,17051,88665,32556,0,0,0,7821,0
2023-03-12 08:36:00,15640,115741,15481,0,0,0,7651,0
2023-03-12 08:40:00,18189,104006,15706,0,0,0,7898,0
2023-03-12 08:44:00,16603,105340,15459,0,0,0,7692,0
2023-03-12 08:48:00,17074,41762,15465,0,0,0,7898,0
2023-03-12 08:52:00,17062,59423,15403,0,0,0,8157,0
2023-03-12 08:56:00,16520,116016,15590,0,0,0,7478,0
2023-03-12 09:00:00,16403,110830,15450,0,0,0,8003,0
2023-03-12 09:04:00,139658,109019,50452,0,0,0,7640,0
2023-03-12 09:08:00,16723,40114,15431,0,0,0,7833,0
2023-03-12 09:12:00,14444,81168,15421,0,0,0,7854,0
2023-03-12 09:16:00,15908,113227,15589,0,0,0,7684,0
2023-03-12 09:20:00,16102,109238,15376,0,0,0,7846,0
2023-03-12 09:24:00,16973,103641,15264,0,0,0,8031,0
2023-03-12 09:28:00,16244,34350,15285,0,0,0,7894,0
2023-03-12 09:32:00,17952,117582,33560,0,0,0,8038,0
2023-03-12 09:36:00,15990,116760,15231,0,0,0,7823,0
2023-03-12 09:40:00,18342,109132,15608,0,0,0,7849,0
2023-03-12 09:44:00,16696,107749,32161,0,0,0,7626,0
2023-03-12 09:48:00,16844,33835,15525,0,0,0,7790,0
2023-03-12 09:52:00,16816,98744,15415,0,0,0,7754,0
2023-03-12 09:56:00,16256,115726,15550,0,0,0,7689,0
2023-03-12 10:00:00,16445,105340,15520,0,0,0,7891,0
2023-03-12 10:04:00,271981,105566,136726,0,0,0,7870,0
2023-03-12 10:08:00,17926,60378,15579,0,0,0,8246,0
2023-03-12 10:12:00,16455,89846,15492,0,0,0,7906,0
2023-03-12 10:16:00,18375,117623,15304,0,0,0,7708,0
2023-03-12 10:20:00,16581,106236,32846,0,0,0,7853,0
2023-03-12 10:24:00,18170,109999,15445,0,0,0,7719,0
2023-03-12 10:28:00,17075,36592,15851,0,0,0,7771,0
2023-03-12 10:32:00,16179,91042,32383,0,0,0,7931,0
2023-03-12 10:36:00,17318,117048,15396,0,0,0,7731,0
2023-03-12 10:40:00,15915,110129,15547,0,0,0,7827,0
2023-03-12 10:44:00,14999,106006,15334,0,0,0,9025,0
2023-03-12 10:48:00,17174,40922,15811,0,0,0,7714,0
2023-03-12 10:52:00,14898,66604,15723,0,0,0,8129,0
2023-03-12 10:56:00,14988,114471,15553,0,0,0,7698,0
2023-03-12 11:00:00,16151,109532,15565,0,0,0,7831,0
2023-03-12 11:04:00,138992,108360,49503,0,0,0,7638,0
2023-03-12 11:08:00,17046,14254,15545,0,0,0,7834,0
2023-03-12 11:12:00,17474,112164,15708,0,0,0,7958,0
2023-03-12 11:16:00,15048,114564,15306,0,0,0,7696,0
2023-03-12 11:20:00,17714,106659,15705,0,0,0,7689,0
2023-03-12 11:24:00,14600,103338,15822,0,0,0,7680,0
2023-03-12 11:28:00,14712,14464,15519,0,0,0,7890,0
2023-03-12 11:32:00,12400,114588,33322,0,0,0,7771,0
2023-03-12 11:36:00,14870,114749,15375,0,0,0,7751,0
2023-03-12 11:40:00,16153,106124,15807,0,0,0,7760,0
2023-03-12 11:44:00,15996,102099,33469,0,0,0,7743,0
2023-03-12 11:48:00,14250,36645,15310,0,0,0,7675,0
2023-03-12 11:52:00,14149,89220,15574,0,0,0,7742,0
2023-03-12 11:56:00,13271,116947,15544,0,0,0,7757,0
2023-03-12 12:00:00,13829,104641,15554,0,0,0,7682,0
2023-03-12 12:04:00,598270,108287,479263,0,0,0,7717,0
2023-03-12 12:08:00,13958,40566,15772,0,0,0,8283,0
2023-03-12 12:12:00,15669,82390,15591,0,0,0,8299,0
2023-03-12 12:16:00,14279,114606,15473,0,0,0,7656,0
2023-03-12 12:20:00,12983,106651,33524,0,0,0,7644,0
2023-03-12 12:24:00,15640,107557,15647,0,0,0,10057,0
2023-03-12 12:28:00,13990,17414,15571,0,0,0,8220,0
2023-03-12 12:32:00,13599,110031,32684,0,0,0,8630,0
2023-03-12 12:36:00,14792,115369,15150,0,0,0,7798,0
2023-03-12 12:40:00,14256,117589,15562,0,0,0,8748,0
2023-03-12 12:44:00,12567,105220,15403,0,0,0,7205,0
