"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-17 04:36:00,0,31732,231148,0,28815,0,0,0,15983
2023-03-17 04:40:00,0,34116,5798,0,29446,0,0,0,16374
2023-03-17 04:44:00,0,35174,232542,0,29575,0,0,0,15604
2023-03-17 04:48:00,0,33485,222373,0,28906,0,0,0,15872
2023-03-17 04:52:00,0,33747,236975,0,29001,0,0,0,15800
2023-03-17 04:56:00,0,32448,216810,0,27018,0,0,0,15704
2023-03-17 05:00:00,0,34157,6006,0,30404,0,0,0,16750
2023-03-17 05:04:00,0,239941,229786,0,94072,0,0,0,15298
2023-03-17 05:08:00,0,35281,227958,0,32133,0,0,0,15801
2023-03-17 05:12:00,0,33667,227674,0,29290,0,0,0,15941
2023-03-17 05:16:00,0,38266,217335,0,29751,0,0,0,15765
2023-03-17 05:20:00,0,33806,6211,0,26029,0,0,0,16223
2023-03-17 05:24:00,0,35740,229864,0,30785,0,0,0,15540
2023-03-17 05:28:00,0,32405,222863,0,29503,0,0,0,15669
2023-03-17 05:32:00,0,33542,230096,0,63706,0,0,0,16459
2023-03-17 05:36:00,0,33725,226435,0,29265,0,0,0,16038
2023-03-17 05:40:00,0,34657,5843,0,29244,0,0,0,15855
2023-03-17 05:44:00,0,33519,225092,0,65668,0,0,0,15752
2023-03-17 05:48:00,0,33596,233727,0,29190,0,0,0,15404
2023-03-17 05:52:00,0,35279,221457,0,25255,0,0,0,16484
2023-03-17 05:56:00,0,32807,233558,0,32351,0,0,0,15996
2023-03-17 06:00:00,0,35247,5790,0,26001,0,0,0,16068
2023-03-17 06:04:00,0,1497999,230955,0,879698,0,0,0,15399
2023-03-17 06:08:00,0,36462,227154,0,27034,0,0,0,15601
2023-03-17 06:12:00,0,38048,226764,0,30894,0,0,0,16221
2023-03-17 06:16:00,0,34402,226447,0,26059,0,0,0,16037
2023-03-17 06:20:00,0,32608,5867,0,66597,0,0,0,15804
2023-03-17 06:24:00,0,34027,230525,0,27356,0,0,0,15470
2023-03-17 06:28:00,0,34402,230268,0,27152,0,0,0,15478
2023-03-17 06:32:00,0,31619,225424,0,62832,0,0,0,15950
2023-03-17 06:36:00,0,36734,229058,0,31252,0,0,0,15962
2023-03-17 06:40:00,0,34749,5737,0,27355,0,0,0,15543
2023-03-17 06:44:00,0,33418,235267,0,31600,0,0,0,15973
2023-03-17 06:48:00,0,33856,223009,0,26090,0,0,0,15616
2023-03-17 06:52:00,0,36959,232735,0,29786,0,0,0,16359
2023-03-17 06:56:00,0,37393,223697,0,28450,0,0,0,16133
2023-03-17 07:00:00,0,33070,5827,0,29022,0,0,0,15489
2023-03-17 07:04:00,0,234300,229849,0,102405,0,0,0,16070
2023-03-17 07:08:00,0,37961,228119,0,27749,0,0,0,15737
