"Time","Total"
2023-03-17 09:22:00,0.0557
2023-03-17 09:24:00,0.0520
2023-03-17 09:26:00,0.0599
2023-03-17 09:28:00,0.0592
2023-03-17 09:30:00,0.0521
2023-03-17 09:32:00,0.0540
2023-03-17 09:34:00,0.0429
2023-03-17 09:36:00,0.0609
2023-03-17 09:38:00,0.0610
2023-03-17 09:40:00,0.0597
2023-03-17 09:42:00,0.0651
2023-03-17 09:44:00,0.0421
2023-03-17 09:46:00,0.0604
2023-03-17 09:48:00,0.0541
2023-03-17 09:50:00,0.0650
2023-03-17 09:52:00,0.0656
2023-03-17 09:54:00,0.0709
2023-03-17 09:56:00,0.0640
2023-03-17 09:58:00,0.0515
2023-03-17 10:00:00,0.0641
2023-03-17 10:02:00,0.0373
2023-03-17 10:04:00,0.0576
2023-03-17 10:06:00,0.0611
2023-03-17 10:08:00,0.0767
2023-03-17 10:10:00,0.0738
2023-03-17 10:12:00,0.0589
2023-03-17 10:14:00,0.0743
2023-03-17 10:16:00,0.0593
2023-03-17 10:18:00,0.0740
2023-03-17 10:20:00,0.0637
2023-03-17 10:22:00,0.0741
2023-03-17 10:24:00,0.0764
2023-03-17 10:26:00,0.0700
2023-03-17 10:28:00,0.0726
2023-03-17 10:30:00,0.0691
2023-03-17 10:32:00,0.0639
2023-03-17 10:34:00,0.0756
2023-03-17 10:36:00,0.0772
2023-03-17 10:38:00,0.0745
2023-03-17 10:40:00,0.0653
2023-03-17 10:42:00,0.0743
2023-03-17 10:44:00,0.0740
2023-03-17 10:46:00,0.0804
2023-03-17 10:48:00,0.0768
2023-03-17 10:50:00,0.0633
2023-03-17 10:52:00,0.0738
2023-03-17 10:54:00,0.0725
2023-03-17 10:56:00,0.0789
2023-03-17 10:58:00,0.0774
2023-03-17 11:00:00,0.0718
2023-03-17 11:02:00,0.0758
2023-03-17 11:04:00,0.0645
2023-03-17 11:06:00,0.0780
2023-03-17 11:08:00,0.0764
2023-03-17 11:10:00,0.0768
2023-03-17 11:12:00,0.0786
2023-03-17 11:14:00,0.0602
2023-03-17 11:16:00,0.0769
2023-03-17 11:18:00,0.0755
2023-03-17 11:20:00,0.0781
2023-03-17 11:22:00,0.0815
2023-03-17 11:24:00,0.0662
2023-03-17 11:26:00,0.0761
2023-03-17 11:28:00,0.0703
2023-03-17 11:30:00,0.0816
2023-03-17 11:32:00,0.0812
2023-03-17 11:34:00,0.0737
2023-03-17 11:36:00,0.0784
2023-03-17 11:38:00,0.0613
2023-03-17 11:40:00,0.0732
2023-03-17 11:42:00,0.0812
2023-03-17 11:44:00,0.0762
2023-03-17 11:46:00,0.0780
2023-03-17 11:48:00,0.0646
2023-03-17 11:50:00,0.0729
2023-03-17 11:52:00,0.0706
2023-03-17 11:54:00,0.0788
2023-03-17 11:56:00,0.0800
2023-03-17 11:58:00,0.0697
2023-03-17 12:00:00,0.0772
2023-03-17 12:02:00,0.0678
2023-03-17 12:04:00,0.0795
2023-03-17 12:06:00,0.0857
2023-03-17 12:08:00,0.0788
2023-03-17 12:10:00,0.0775
2023-03-17 12:12:00,0.0618
2023-03-17 12:14:00,0.0787
2023-03-17 12:16:00,0.0786
2023-03-17 12:18:00,0.0809
2023-03-17 12:20:00,0.0781
2023-03-17 12:22:00,0.0639
2023-03-17 12:24:00,0.0816
2023-03-17 12:26:00,0.0718
2023-03-17 12:28:00,0.0802
2023-03-17 12:30:00,0.0821
2023-03-17 12:32:00,0.0729
2023-03-17 12:34:00,0.0763
2023-03-17 12:36:00,0.0711
2023-03-17 12:38:00,0.0778
2023-03-17 12:40:00,0.0783
2023-03-17 12:42:00,0.0798
2023-03-17 12:44:00,0.0788
2023-03-17 12:46:00,0.0623
2023-03-17 12:48:00,0.0766
2023-03-17 12:50:00,0.0739
2023-03-17 12:52:00,0.0806
2023-03-17 12:54:00,0.0787
2023-03-17 12:56:00,0.0720
2023-03-17 12:58:00,0.0606
2023-03-17 13:00:00,0.0516
2023-03-17 13:02:00,0.0648
2023-03-17 13:04:00,0.0685
2023-03-17 13:06:00,0.0878
2023-03-17 13:08:00,0.0767
2023-03-17 13:10:00,0.0600
2023-03-17 13:12:00,0.0778
2023-03-17 13:14:00,0.0758
2023-03-17 13:16:00,0.0837
2023-03-17 13:18:00,0.0808
2023-03-17 13:20:00,0.0683
2023-03-17 13:22:00,0.0730
2023-03-17 13:24:00,0.0669
2023-03-17 13:26:00,0.0802
