"Time","Transmit Total","Receive Total"
2023-03-05 00:34:00,509017,362090
2023-03-05 00:36:00,493473,348867
2023-03-05 00:38:00,439867,326044
2023-03-05 00:40:00,436494,319674
2023-03-05 00:42:00,539055,417405
2023-03-05 00:44:00,477954,346397
2023-03-05 00:46:00,434413,315177
2023-03-05 00:48:00,433725,323376
2023-03-05 00:50:00,488151,351108
2023-03-05 00:52:00,594473,448906
2023-03-05 00:54:00,484793,353201
2023-03-05 00:56:00,429583,311205
2023-03-05 00:58:00,431924,317014
2023-03-05 01:00:00,433756,316444
2023-03-05 01:02:00,539382,417065
2023-03-05 01:04:00,517928,372040
2023-03-05 01:06:00,463303,331657
2023-03-05 01:08:00,486154,347547
2023-03-05 01:10:00,488222,348052
2023-03-05 01:12:00,533732,415212
2023-03-05 01:14:00,519631,384917
2023-03-05 01:16:00,437126,315968
2023-03-05 01:18:00,436147,320784
2023-03-05 01:20:00,443944,323452
2023-03-05 01:22:00,539042,417514
2023-03-05 01:24:00,549619,420200
2023-03-05 01:26:00,480121,339923
2023-03-05 01:28:00,435149,321271
2023-03-05 01:30:00,446206,326970
2023-03-05 01:32:00,531634,412581
2023-03-05 01:34:00,528216,402550
2023-03-05 01:36:00,441043,320937
2023-03-05 01:38:00,436053,321027
2023-03-05 01:40:00,446820,328241
2023-03-05 01:42:00,532280,412542
2023-03-05 01:44:00,600551,444983
2023-03-05 01:46:00,480822,338867
2023-03-05 01:48:00,435823,320259
2023-03-05 01:50:00,458964,336248
2023-03-05 01:52:00,529179,410492
2023-03-05 01:54:00,537973,419932
2023-03-05 01:56:00,437133,316941
2023-03-05 01:58:00,432166,317543
2023-03-05 02:00:00,451199,329711
2023-03-05 02:02:00,514256,399897
2023-03-05 02:04:00,537914,419961
2023-03-05 02:06:00,492769,347275
2023-03-05 02:08:00,435761,321335
2023-03-05 02:10:00,446186,328778
2023-03-05 02:12:00,498513,388631
2023-03-05 02:14:00,537557,420207
2023-03-05 02:16:00,441772,320695
2023-03-05 02:18:00,427671,315544
2023-03-05 02:20:00,448385,327889
2023-03-05 02:22:00,494495,383491
2023-03-05 02:24:00,538977,422089
2023-03-05 02:26:00,444110,322329
2023-03-05 02:28:00,429546,314289
2023-03-05 02:30:00,440857,322155
2023-03-05 02:32:00,473249,372553
2023-03-05 02:34:00,588786,447582
2023-03-05 02:36:00,496896,339570
