"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc365bec88272f)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxce90b7b3404f6)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc365bec88272f)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxce90b7b3404f6)","Receive Total (lxcfc36a1177bf4)"
2023-03-23 04:00:00,0,92.5,13634,61287,269,0,11254,4335,4519,0,1170,1945,122,0,129,306,31.5,124,72698,4.37,0.389,32.0,65.7,66.1,0,106,0.600,451,20902,307,2586,1227,222,92.5,0,21373,131422,270,0,2008,1435,1418,0,663,206,29.0,0,30.3,377,20.6,29.0,2656,4.50,0,26.0,40.6,41,0,235,0.600,257,9866,438,1282,714,223
2023-03-23 04:02:00,0,82.9,14364,64216,269,0,9500,4702,26992,0,1158,1730,133,0,129,308,31.5,135,72543,4.83,0,31.6,65.7,66.1,0,104,0,448,29858,308,2584,1210,218,82.9,0,30278,161932,270,0,1783,1476,1934,0,656,201,31.6,0,30.3,375,20.7,31.6,2666,4.97,0,25.5,40.6,40.6,0,231,0,258,10629,437,1278,706,216
2023-03-23 04:04:00,0,77.4,14556,64542,269,0,10128,4395,27189,0,1173,1896,133,0,135,306,31.5,136,72623,4.83,0,31.6,65.7,66.1,0,103,37.6,447,19758,509,2584,1223,225,77.4,0,20422,152426,270,0,1908,1439,1958,0,665,225,31.6,0,31.6,378,20.6,31.6,2637,4.97,0,25.5,40.3,41.1,0,232,34.7,256,10642,582,1278,715,220
2023-03-23 04:06:00,0,79.3,16069,63985,270,0,10034,4719,4481,0,1171,1884,122,0,123,306,31.5,141,72656,4.37,0,31.6,65.7,65.7,0,104,0,448,20966,306,2585,1225,223,79.3,0,21388,130078,270,0,1962,1500,1429,0,663,229,29.0,0,29.0,377,20.6,32.9,2633,4.50,0,25.5,40.7,41.4,0,231,0,252,12330,438,1286,716,218
2023-03-23 04:08:00,0.389,80.4,17480,67160,270,0,9874,4835,6524,0,1158,1828,139,0,135,307,31.5,130,72580,4.13,0,31.6,65.7,65.7,0,190,0.600,452,29121,307,2587,1210,221,80.4,0.389,29530,141566,270,0,1903,1540,1556,0,656,218,37.9,0,31.6,376,20.6,30.3,2644,4.27,0,25.5,40.7,40.6,0,262,0.600,257,13742,438,1287,710,216
2023-03-23 04:10:00,0.389,81.5,14984,62558,269,0,10270,4339,4524,0,1160,1953,127,0,129,307,32.1,130,72715,4.13,0,31.6,65.7,65.7,0,107,0.600,449,20974,306,2585,1210,217,81.5,0.389,21414,130735,269,0,1952,1432,1431,0,658,223,35.3,0,30.3,378,21.6,30.3,2657,4.27,0,25.5,40.6,40.6,0,235,0.600,253,11228,441,1280,707,209
2023-03-23 04:12:00,0,80,13328,62348,270,0,9825,4752,4444,0,1170,1828,122,0,129,308,31.5,130,72627,4.13,0,31.6,65.7,65.7,0,105,0,448,28574,305,2584,1224,223,80,0,28979,137890,270,0,1900,1518,1443,0,664,214,29.0,0,30.7,378,20.6,30.7,2672,4.27,0,25.5,40.6,40.6,0,230,0,251,9605,440,1281,714,224
2023-03-23 04:14:00,0,80.7,13665,62775,269,0,9901,4366,4429,0,1159,1822,128,0,129,306,32.3,124,72587,4.13,0,31.6,65.7,65.3,0,105,10,447,18509,359,2605,1211,228,80.7,0,19021,126679,269,0,1974,1471,1432,0,656,212,30.3,0,30.7,376,21.4,29.4,2662,4.27,0,25.5,40.3,40.3,0,232,9.27,252,9878,474,1290,709,224
2023-03-23 04:16:00,0,84.4,15934,64344,270,0,10043,4760,4497,0,1159,1912,122,0,124,307,30.7,112,72690,4.13,0,31.6,65.3,65.3,0,119,94.6,447,26695,809,2586,1210,219,84.4,0,27676,136972,270,0,1993,1528,1432,0,658,239,29.0,0,33.9,376,19.7,26.3,2662,4.27,0,25.5,39.9,39.9,0,247,87.3,251,11777,804,1283,710,213
2023-03-23 04:18:00,0,79.3,16352,66011,271,0,9808,4719,4419,0.389,1173,1817,117,0.389,118,305,33.5,119,72655,4.13,0,31.6,65.7,66.1,0,205,37.6,448,17267,506,2612,1223,221,79.3,0,17949,126031,270,0,1902,1504,1426,0,666,210,27.7,0,27.7,379,23.4,27.7,2680,4.27,0,25.5,40.3,41,0,278,34.7,253,12431,585,1293,715,215
