"Time","DROPPED","FORWARDED"
2023-03-21 10:00:00,0.0200,183
2023-03-21 10:02:00,0.100,281
2023-03-21 10:04:00,0.0400,88.1
2023-03-21 10:06:00,0,94.4
2023-03-21 10:08:00,0.0400,88.6
2023-03-21 10:10:00,0,88.7
2023-03-21 10:12:00,0,90.0
2023-03-21 10:14:00,0,88.7
2023-03-21 10:16:00,0,95.0
2023-03-21 10:18:00,0,86.8
2023-03-21 10:20:00,0.0400,86.7
2023-03-21 10:22:00,0.0200,88.4
2023-03-21 10:24:00,0.0600,94.9
2023-03-21 10:26:00,0.0800,93.6
2023-03-21 10:28:00,0.0400,88.6
2023-03-21 10:30:00,0.0800,88.4
2023-03-21 10:32:00,0,90.3
2023-03-21 10:34:00,0,177
2023-03-21 10:36:00,0,95.1
2023-03-21 10:38:00,0,88.3
2023-03-21 10:40:00,0,89.3
2023-03-21 10:42:00,0,91.9
2023-03-21 10:44:00,0.0200,223
2023-03-21 10:46:00,0.0200,93.0
2023-03-21 10:48:00,0.0600,89.3
2023-03-21 10:50:00,0.0200,88.5
2023-03-21 10:52:00,0.0400,89.4
2023-03-21 10:54:00,0.0200,136
2023-03-21 10:56:00,0.0200,93.2
2023-03-21 10:58:00,0,89.8
2023-03-21 11:00:00,0,87.9
2023-03-21 11:02:00,0,90.3
2023-03-21 11:04:00,0.0400,88.8
2023-03-21 11:06:00,0.0200,92.3
2023-03-21 11:08:00,0.0400,88.8
2023-03-21 11:10:00,0.0400,88.4
2023-03-21 11:12:00,0.0600,91
2023-03-21 11:14:00,0.0200,88.7
2023-03-21 11:16:00,0.0400,110
2023-03-21 11:18:00,0.0400,86.9
2023-03-21 11:20:00,0,87.1
2023-03-21 11:22:00,0,88.7
2023-03-21 11:24:00,0,87.9
2023-03-21 11:26:00,0,190
2023-03-21 11:28:00,0.0600,88.3
2023-03-21 11:30:00,0.0400,87.8
2023-03-21 11:32:00,0,89.9
2023-03-21 11:34:00,0,89.5
2023-03-21 11:36:00,0.0200,205
2023-03-21 11:38:00,0.0200,89.3
2023-03-21 11:40:00,0.0400,87.6
2023-03-21 11:42:00,0.100,89.6
2023-03-21 11:44:00,0,88.9
