"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","8765/TCP","9093/TCP","9443/TCP"
2023-03-20 18:46:00,3.50,2.06,2.08,6.40,8.56,3.18,2.56,2.06,,5.18,,1.78,
2023-03-20 18:48:00,3.38,,,6.16,9.32,3.36,2.52,2.16,16.9,5.18,,1.78,1.68
2023-03-20 18:50:00,3.30,,,6.18,8.86,3.20,2.54,2.12,,5.24,1.62,1.70,1.74
2023-03-20 18:52:00,3.40,1.62,,6.28,8.82,3.34,2.46,1.98,,5.20,,1.72,1.68
2023-03-20 18:54:00,3.36,,,6.36,9.10,3.10,2.50,2.10,,5.18,1.60,1.74,1.68
2023-03-20 18:56:00,3.50,1.88,1.96,6.26,8.68,3.16,2.52,2.18,,5.22,,1.78,
2023-03-20 18:58:00,3.04,1.58,,6.30,8.82,3.16,2.48,2.08,,5.20,,1.72,1.68
2023-03-20 19:00:00,3.26,,,6.18,8.88,3.26,2.56,2.06,,5.18,1.64,1.76,1.68
2023-03-20 19:02:00,3.44,1.62,,6.34,8.98,3.28,2.60,2.08,,5.16,,1.82,1.66
2023-03-20 19:04:00,3.38,,,6.24,8.84,3.28,2.54,2.02,,5.22,1.66,1.82,1.68
2023-03-20 19:06:00,3.34,1.88,1.80,6.40,9.04,3.10,2.52,2,,5.16,,1.74,
2023-03-20 19:08:00,3.28,1.66,,6.48,8.82,3.16,2.50,2.02,,5.10,,1.74,1.68
2023-03-20 19:10:00,3.38,,,6.18,15.9,3.20,2.56,2.12,22.2,5.14,,1.76,1.66
2023-03-20 19:12:00,3.36,1.62,,6.36,9,3.22,2.50,1.98,,5.16,,1.76,1.68
2023-03-20 19:14:00,3.32,,,6.06,8.72,3.28,2.56,2.16,,5.24,1.60,1.70,1.68
2023-03-20 19:16:00,3.54,1.88,1.96,6.48,9.30,3.32,2.54,2.16,,5.22,,,1.68
2023-03-20 19:18:00,3.36,,,6.42,9.20,3.28,2.56,2.10,,5.24,1.62,1.70,1.72
2023-03-20 19:20:00,3.38,,,6.24,16.2,3.38,2.56,2.06,91.6,5.20,,1.74,1.68
2023-03-20 19:22:00,3.46,1.62,,6.32,9.26,3.38,2.48,2.10,,5.22,,1.74,1.68
2023-03-20 19:24:00,3.40,,,6.12,9,3.34,2.54,2.06,,5.22,1.58,1.78,1.64
2023-03-20 19:26:00,3.50,1.88,2.14,6.34,9.02,3.18,2.50,2.02,,5.22,,,1.80
2023-03-20 19:28:00,3.38,,,6.34,9.06,3.28,2.52,2.08,,5.20,1.62,1.74,1.70
2023-03-20 19:30:00,3.42,,,6.26,9.04,3.38,2.56,2.12,72.4,5.16,,1.78,1.68
2023-03-20 19:32:00,3.40,1.62,,6.22,9.14,3.16,2.54,1.88,,5.24,,1.66,1.68
2023-03-20 19:34:00,3.36,,,6.16,8.82,3.28,2.50,1.96,,5.18,1.64,1.74,1.68
2023-03-20 19:36:00,3.52,1.88,2.18,6.42,9.12,3.24,2.54,2.22,,5.16,,,1.68
2023-03-20 19:38:00,3.12,,,6.40,9.02,3.26,2.50,2.04,,5.18,1.60,1.74,1.68
2023-03-20 19:40:00,3.44,,,6.12,8.90,3.12,2.50,2.04,6.20,5.18,1.68,,1.66
2023-03-20 19:42:00,3.28,,,6.30,9.02,3,2.58,2.10,,5.20,1.66,1.66,1.64
2023-03-20 19:44:00,3.24,,,6.20,8.70,3.04,2.52,2.10,,5.18,1.64,1.68,1.68
2023-03-20 19:46:00,3.52,2.06,2.20,6.08,8.94,3.26,2.52,2.04,,5.24,,1.78,
2023-03-20 19:48:00,3.38,,,6.12,9.10,3.26,2.58,2.04,,5.10,1.60,1.70,1.68
2023-03-20 19:50:00,3.16,,,6.16,9.14,3.18,2.52,2.10,,5.14,1.62,1.72,1.66
2023-03-20 19:52:00,3.56,1.64,,6.30,8.86,3.30,2.58,2.06,,5.26,1.62,,1.66
2023-03-20 19:54:00,3.38,,,6.60,8.92,3.26,2.52,2.18,,5.24,1.64,1.72,1.70
2023-03-20 19:56:00,3.54,1.88,2.14,6.58,8.62,3.26,2.54,2.02,,5.14,,,1.68
2023-03-20 19:58:00,3.30,,,6.20,8.78,3.30,2.56,2.16,,5.14,1.60,1.68,1.68
2023-03-20 20:00:00,3.40,,,6.22,8.94,3.18,2.52,2.14,,5.18,1.62,1.70,1.66
2023-03-20 20:02:00,3.46,,1.72,6.32,15.4,3.32,2.54,2.08,40.8,5.20,,,1.68
2023-03-20 20:04:00,3.36,,,6.30,8.66,3.28,2.50,2.10,,5.18,1.58,1.74,1.66
2023-03-20 20:06:00,3.48,2.40,2.78,6.52,9.18,3.26,2.52,2.08,,5.16,,,1.76
2023-03-20 20:08:00,3.32,,,6.20,8.58,3.22,2.56,2.10,,5.20,1.68,1.74,1.68
2023-03-20 20:10:00,3.28,,,6.24,8.46,3.28,2.50,2.10,,5.12,1.56,1.54,1.78
2023-03-20 20:12:00,3.44,,1.92,6.24,16.0,3.30,2.56,2.04,99.4,5.22,,1.72,
2023-03-20 20:14:00,3.34,,,6.26,9.24,3.32,2.50,1.92,,5.12,1.64,1.72,1.70
2023-03-20 20:16:00,3.44,1.88,2.02,6.34,9.28,3.24,2.52,2.08,,5.24,,1.84,
2023-03-20 20:18:00,3.42,,,6.14,9.18,3.10,2.54,2.04,,5.20,1.62,1.76,1.68
2023-03-20 20:20:00,3.14,,,6.12,9.12,3.08,2.50,2.10,,5.22,1.62,1.78,1.68
2023-03-20 20:22:00,3.52,,,6.28,9.32,3.30,2.56,1.94,58.6,5.22,,1.74,1.66
2023-03-20 20:24:00,3.38,,,6.22,9.40,3.28,2.54,2.06,,5.28,1.56,1.74,1.70
2023-03-20 20:26:00,3.38,1.88,2.24,6.34,9.28,3.18,2.48,2,,5.22,,,1.68
2023-03-20 20:28:00,3.36,1.74,,6.08,9.06,3.14,2.48,1.96,,5.20,,1.76,1.66
2023-03-20 20:30:00,3.32,,,6.18,9,3.22,2.60,2.10,,5.18,1.68,1.72,1.66
2023-03-20 20:32:00,3.46,,,6.14,9.30,3.26,2.54,2.12,,5.24,1.66,1.74,1.74
2023-03-20 20:34:00,3.36,,,6.28,8.96,3.32,2.52,2.10,,5.24,1.60,1.70,1.70
2023-03-20 20:36:00,3.46,1.88,2.16,6.40,9,3.16,2.50,2.12,,5.18,,1.72,
2023-03-20 20:38:00,3.38,,,6.16,8.90,3.34,2.54,2.14,,5.20,1.62,1.76,1.68
2023-03-20 20:40:00,3.48,1.52,,6.20,9.24,3.16,2.52,2.04,,5.16,,1.74,1.70
2023-03-20 20:42:00,3.42,1.62,,6.36,8.96,3.26,2.54,2.14,,5.28,,1.64,1.68
2023-03-20 20:44:00,3.32,,,6.10,9.08,3.32,2.48,2.02,,5.20,1.60,1.78,1.68
2023-03-20 20:46:00,3.48,2.06,2.22,6.48,8.78,3.24,2.48,2.12,,5.14,,1.70,
2023-03-20 20:48:00,3.34,,,6.06,8.72,3.32,2.58,2.06,,5.14,1.64,1.80,1.68
2023-03-20 20:50:00,3.38,,,6.22,9.10,3.32,2.50,2.08,,5.24,1.62,1.66,1.70
2023-03-20 20:52:00,3.30,1.62,,6.16,9.44,3.22,2.52,2.12,,5.18,,1.74,1.66
2023-03-20 20:54:00,3.18,,,6.08,16.0,3.26,2.54,2.12,55.8,5.20,,1.68,1.80
2023-03-20 20:56:00,3.46,1.88,1.80,6.28,8.98,3.20,2.52,2.10,,5.14,,1.76,
2023-03-20 20:58:00,3.42,,,6.02,8.58,3.24,2.52,2.12,,5.14,1.64,1.70,1.68
2023-03-20 21:00:00,3.20,,,6.16,8.66,3.18,2.52,1.94,,5.26,1.62,1.66,1.72
2023-03-20 21:02:00,3.32,,,6.26,8.54,3.12,2.46,2.04,,5.18,1.64,1.76,1.66
2023-03-20 21:04:00,3.32,,,6.16,16.0,3.26,2.58,1.94,98.8,5.20,,1.62,1.68
2023-03-20 21:06:00,3.40,1.88,2.08,6.28,8.96,3.04,2.50,2.02,,5.20,,1.72,
