"Time","avg","min","max"
2023-03-05 00:44:00,104,104,104
2023-03-05 00:46:00,101,101,101
2023-03-05 00:48:00,101,101,101
2023-03-05 00:50:00,97.1,97.1,97.1
2023-03-05 00:52:00,98.8,98.8,98.8
2023-03-05 00:54:00,103,103,103
2023-03-05 00:56:00,98.9,98.9,98.9
2023-03-05 00:58:00,101,101,101
2023-03-05 01:00:00,100,100,100
2023-03-05 01:02:00,98.6,98.6,98.6
2023-03-05 01:04:00,105,105,105
2023-03-05 01:06:00,99.0,99.0,99.0
2023-03-05 01:08:00,99.7,99.7,99.7
2023-03-05 01:10:00,98.7,98.7,98.7
2023-03-05 01:12:00,102,102,102
2023-03-05 01:14:00,103,103,103
2023-03-05 01:16:00,99.5,99.5,99.5
2023-03-05 01:18:00,101,101,101
2023-03-05 01:20:00,97.4,97.4,97.4
2023-03-05 01:22:00,116,116,116
2023-03-05 01:24:00,102,102,102
2023-03-05 01:26:00,97.6,97.6,97.6
2023-03-05 01:28:00,100,100,100
2023-03-05 01:30:00,98.1,98.1,98.1
2023-03-05 01:32:00,139,139,139
2023-03-05 01:34:00,101,101,101
2023-03-05 01:36:00,97.1,97.1,97.1
2023-03-05 01:38:00,101,101,101
2023-03-05 01:40:00,97.3,97.3,97.3
2023-03-05 01:42:00,152,152,152
2023-03-05 01:44:00,102,102,102
2023-03-05 01:46:00,96.8,96.8,96.8
2023-03-05 01:48:00,101,101,101
2023-03-05 01:50:00,97.5,97.5,97.5
2023-03-05 01:52:00,182,182,182
2023-03-05 01:54:00,103,103,103
2023-03-05 01:56:00,100,100,100
2023-03-05 01:58:00,105,105,105
2023-03-05 02:00:00,99.5,99.5,99.5
2023-03-05 02:02:00,203,203,203
2023-03-05 02:04:00,107,107,107
2023-03-05 02:06:00,98.7,98.7,98.7
2023-03-05 02:08:00,104,104,104
2023-03-05 02:10:00,98.9,98.9,98.9
2023-03-05 02:12:00,225,225,225
2023-03-05 02:14:00,104,104,104
2023-03-05 02:16:00,99.5,99.5,99.5
2023-03-05 02:18:00,102,102,102
2023-03-05 02:20:00,100,100,100
2023-03-05 02:22:00,227,227,227
2023-03-05 02:24:00,104,104,104
2023-03-05 02:26:00,98.8,98.8,98.8
2023-03-05 02:28:00,104,104,104
2023-03-05 02:30:00,99.6,99.6,99.6
2023-03-05 02:32:00,223,223,223
2023-03-05 02:34:00,105,105,105
2023-03-05 02:36:00,101,101,101
2023-03-05 02:38:00,103,103,103
2023-03-05 02:40:00,99.4,99.4,99.4
2023-03-05 02:42:00,203,203,203
2023-03-05 02:44:00,106,106,106
2023-03-05 02:46:00,100,100,100
2023-03-05 02:48:00,101,101,101
2023-03-05 02:50:00,99.1,99.1,99.1
2023-03-05 02:52:00,186,186,186
2023-03-05 02:54:00,104,104,104
2023-03-05 02:56:00,99.8,99.8,99.8
2023-03-05 02:58:00,101,101,101
2023-03-05 03:00:00,98.0,98.0,98.0
2023-03-05 03:02:00,162,162,162
2023-03-05 03:04:00,107,107,107
2023-03-05 03:06:00,97.6,97.6,97.6
2023-03-05 03:08:00,102,102,102
2023-03-05 03:10:00,98.6,98.6,98.6
2023-03-05 03:12:00,144,144,144
2023-03-05 03:14:00,103,103,103
2023-03-05 03:16:00,98.6,98.6,98.6
2023-03-05 03:18:00,99.6,99.6,99.6
2023-03-05 03:20:00,98.5,98.5,98.5
2023-03-05 03:22:00,121,121,121
2023-03-05 03:24:00,102,102,102
2023-03-05 03:26:00,98.6,98.6,98.6
2023-03-05 03:28:00,101,101,101
2023-03-05 03:30:00,99.0,99.0,99.0
2023-03-05 03:32:00,101,101,101
2023-03-05 03:34:00,102,102,102
2023-03-05 03:36:00,96.3,96.3,96.3
2023-03-05 03:38:00,102,102,102
2023-03-05 03:40:00,101,101,101
2023-03-05 03:42:00,97.7,97.7,97.7
2023-03-05 03:44:00,99.7,99.7,99.7
2023-03-05 03:46:00,97.1,97.1,97.1
2023-03-05 03:48:00,99.9,99.9,99.9
2023-03-05 03:50:00,97.7,97.7,97.7
2023-03-05 03:52:00,96.9,96.9,96.9
2023-03-05 03:54:00,97.8,97.8,97.8
2023-03-05 03:56:00,98.3,98.3,98.3
2023-03-05 03:58:00,99.8,99.8,99.8
2023-03-05 04:00:00,97.0,97.0,97.0
2023-03-05 04:02:00,96.3,96.3,96.3
2023-03-05 04:04:00,101,101,101
2023-03-05 04:06:00,96.5,96.5,96.5
2023-03-05 04:08:00,99,99,99
2023-03-05 04:10:00,96.9,96.9,96.9
2023-03-05 04:12:00,100.0,100.0,100.0
2023-03-05 04:14:00,100,100,100
2023-03-05 04:16:00,96.2,96.2,96.2
2023-03-05 04:18:00,99.8,99.8,99.8
2023-03-05 04:20:00,95.4,95.4,95.4
2023-03-05 04:22:00,96.0,96.0,96.0
2023-03-05 04:24:00,111,111,111
2023-03-05 04:26:00,96.8,96.8,96.8
2023-03-05 04:28:00,101,101,101
2023-03-05 04:30:00,94.9,94.9,94.9
2023-03-05 04:32:00,96.8,96.8,96.8
2023-03-05 04:34:00,126,126,126
2023-03-05 04:36:00,96.5,96.5,96.5
2023-03-05 04:38:00,98.7,98.7,98.7
2023-03-05 04:40:00,95.6,95.6,95.6
2023-03-05 04:42:00,98.4,98.4,98.4
2023-03-05 04:44:00,149,149,149
2023-03-05 04:46:00,96.8,96.8,96.8
2023-03-05 04:48:00,97.1,97.1,97.1
2023-03-05 04:50:00,95.5,95.5,95.5
2023-03-05 04:52:00,96.1,96.1,96.1
2023-03-05 04:54:00,167,167,167
2023-03-05 04:56:00,95.4,95.4,95.4
2023-03-05 04:58:00,96.2,96.2,96.2
2023-03-05 05:00:00,96.0,96.0,96.0
2023-03-05 05:02:00,96.9,96.9,96.9
2023-03-05 05:04:00,197,197,197
2023-03-05 05:06:00,97.1,97.1,97.1
2023-03-05 05:08:00,106,106,106
2023-03-05 05:10:00,103,103,103
2023-03-05 05:12:00,106,106,106
2023-03-05 05:14:00,223,223,223
2023-03-05 05:16:00,104,104,104
2023-03-05 05:18:00,105,105,105
2023-03-05 05:20:00,103,103,103
2023-03-05 05:22:00,103,103,103
2023-03-05 05:24:00,236,236,236
2023-03-05 05:26:00,103,103,103
2023-03-05 05:28:00,104,104,104
2023-03-05 05:30:00,103,103,103
2023-03-05 05:32:00,104,104,104
2023-03-05 05:34:00,236,236,236
2023-03-05 05:36:00,102,102,102
2023-03-05 05:38:00,106,106,106
2023-03-05 05:40:00,102,102,102
2023-03-05 05:42:00,103,103,103
2023-03-05 05:44:00,220,220,220
2023-03-05 05:46:00,99.0,99.0,99.0
2023-03-05 05:48:00,105,105,105
2023-03-05 05:50:00,101,101,101
2023-03-05 05:52:00,98.7,98.7,98.7
2023-03-05 05:54:00,198,198,198
2023-03-05 05:56:00,100,100,100
2023-03-05 05:58:00,104,104,104
2023-03-05 06:00:00,100,100,100
2023-03-05 06:02:00,100,100,100
2023-03-05 06:04:00,185,185,185
2023-03-05 06:06:00,101,101,101
2023-03-05 06:08:00,105,105,105
2023-03-05 06:10:00,98.8,98.8,98.8
2023-03-05 06:12:00,105,105,105
2023-03-05 06:14:00,158,158,158
2023-03-05 06:16:00,98.6,98.6,98.6
2023-03-05 06:18:00,103,103,103
2023-03-05 06:20:00,101,101,101
2023-03-05 06:22:00,97.8,97.8,97.8
2023-03-05 06:24:00,132,132,132
2023-03-05 06:26:00,98.4,98.4,98.4
2023-03-05 06:28:00,102,102,102
2023-03-05 06:30:00,98.9,98.9,98.9
2023-03-05 06:32:00,99.4,99.4,99.4
2023-03-05 06:34:00,113,113,113
2023-03-05 06:36:00,100,100,100
2023-03-05 06:38:00,101,101,101
2023-03-05 06:40:00,97.9,97.9,97.9
2023-03-05 06:42:00,98.3,98.3,98.3
2023-03-05 06:44:00,103,103,103
2023-03-05 06:46:00,96.8,96.8,96.8
2023-03-05 06:48:00,101,101,101
2023-03-05 06:50:00,99.1,99.1,99.1
2023-03-05 06:52:00,98.5,98.5,98.5
2023-03-05 06:54:00,102,102,102
2023-03-05 06:56:00,98.4,98.4,98.4
2023-03-05 06:58:00,99.9,99.9,99.9
2023-03-05 07:00:00,97.6,97.6,97.6
2023-03-05 07:02:00,97.8,97.8,97.8
2023-03-05 07:04:00,103,103,103
2023-03-05 07:06:00,98.3,98.3,98.3
2023-03-05 07:08:00,102,102,102
2023-03-05 07:10:00,96.8,96.8,96.8
2023-03-05 07:12:00,101,101,101
2023-03-05 07:14:00,102,102,102
2023-03-05 07:16:00,97.0,97.0,97.0
2023-03-05 07:18:00,99.8,99.8,99.8
2023-03-05 07:20:00,97.7,97.7,97.7
2023-03-05 07:22:00,96.3,96.3,96.3
2023-03-05 07:24:00,102,102,102
2023-03-05 07:26:00,96.6,96.6,96.6
2023-03-05 07:28:00,99.4,99.4,99.4
2023-03-05 07:30:00,97.8,97.8,97.8
2023-03-05 07:32:00,98.5,98.5,98.5
2023-03-05 07:34:00,101,101,101
2023-03-05 07:36:00,116,116,116
2023-03-05 07:38:00,100.0,100.0,100.0
2023-03-05 07:40:00,98.6,98.6,98.6
2023-03-05 07:42:00,98.5,98.5,98.5
2023-03-05 07:44:00,101,101,101
2023-03-05 07:46:00,136,136,136
2023-03-05 07:48:00,99.4,99.4,99.4
2023-03-05 07:50:00,97.6,97.6,97.6
2023-03-05 07:52:00,98.4,98.4,98.4
2023-03-05 07:54:00,101,101,101
2023-03-05 07:56:00,159,159,159
2023-03-05 07:58:00,98.3,98.3,98.3
2023-03-05 08:00:00,96.7,96.7,96.7
2023-03-05 08:02:00,97.4,97.4,97.4
2023-03-05 08:04:00,102,102,102
2023-03-05 08:06:00,175,175,175
2023-03-05 08:08:00,100,100,100
2023-03-05 08:10:00,95.8,95.8,95.8
2023-03-05 08:12:00,101,101,101
2023-03-05 08:14:00,100,100,100
2023-03-05 08:16:00,204,204,204
2023-03-05 08:18:00,104,104,104
2023-03-05 08:20:00,100.0,100.0,100.0
2023-03-05 08:22:00,98.2,98.2,98.2
2023-03-05 08:24:00,104,104,104
2023-03-05 08:26:00,226,226,226
2023-03-05 08:28:00,103,103,103
2023-03-05 08:30:00,100,100,100
2023-03-05 08:32:00,99.3,99.3,99.3
2023-03-05 08:34:00,102,102,102
2023-03-05 08:36:00,232,232,232
2023-03-05 08:38:00,101,101,101
2023-03-05 08:40:00,97.7,97.7,97.7
2023-03-05 08:42:00,99.0,99.0,99.0
2023-03-05 08:44:00,104,104,104
2023-03-05 08:46:00,218,218,218
2023-03-05 08:48:00,101,101,101
2023-03-05 08:50:00,100,100,100
2023-03-05 08:52:00,98.2,98.2,98.2
2023-03-05 08:54:00,103,103,103
2023-03-05 08:56:00,202,202,202
2023-03-05 08:58:00,99.4,99.4,99.4
2023-03-05 09:00:00,98.8,98.8,98.8
2023-03-05 09:02:00,97.9,97.9,97.9
2023-03-05 09:04:00,103,103,103
2023-03-05 09:06:00,178,178,178
2023-03-05 09:08:00,99.6,99.6,99.6
2023-03-05 09:10:00,98.4,98.4,98.4
2023-03-05 09:12:00,102,102,102
2023-03-05 09:14:00,102,102,102
2023-03-05 09:16:00,156,156,156
