"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-12 11:16:00,17202,113016,15825,0,0,0,7862
2023-03-12 11:20:00,14232,108555,15445,0,0,0,7841
2023-03-12 11:24:00,13916,111832,15889,0,0,0,7795
2023-03-12 11:28:00,14855,48132,15816,0,0,0,7340
2023-03-12 11:32:00,13936,66097,34235,0,0,0,7886
2023-03-12 11:36:00,12775,116000,15212,0,0,0,7727
2023-03-12 11:40:00,17355,114419,15970,0,0,0,7878
2023-03-12 11:44:00,17249,112552,33425,0,0,0,7909
2023-03-12 11:48:00,16469,48946,15667,0,0,0,7747
2023-03-12 11:52:00,16966,64793,15735,0,0,0,7909
2023-03-12 11:56:00,16684,111469,15770,0,0,0,7746
2023-03-12 12:00:00,16309,112669,15896,0,0,0,7915
2023-03-12 12:04:00,653227,115933,501782,0,0,0,8070
2023-03-12 12:08:00,15514,48729,15946,0,0,0,7979
2023-03-12 12:12:00,15058,65318,15480,0,0,0,7686
2023-03-12 12:16:00,16622,113615,15562,0,0,0,7742
2023-03-12 12:20:00,16310,113006,15700,0,0,0,7953
2023-03-12 12:24:00,16743,112883,15721,0,0,0,8010
2023-03-12 12:28:00,16521,49647,15662,0,0,0,7748
2023-03-12 12:32:00,17325,64352,34423,0,0,0,8146
2023-03-12 12:36:00,16757,112416,15479,0,0,0,7740
2023-03-12 12:40:00,16865,104578,15915,0,0,0,7785
2023-03-12 12:44:00,16515,105285,15401,0,0,0,7717
2023-03-12 12:48:00,16355,48112,15744,0,0,0,7884
2023-03-12 12:52:00,16925,64767,15566,0,0,0,8048
2023-03-12 12:56:00,16817,111968,16109,0,0,0,7619
2023-03-12 13:00:00,16866,116335,15708,0,0,0,7768
2023-03-12 13:04:00,122405,110564,52040,0,0,0,8278
2023-03-12 13:08:00,16298,29959,15890,0,0,0,7743
2023-03-12 13:12:00,17218,85030,15525,0,0,0,7928
2023-03-12 13:16:00,16348,115004,15801,0,0,0,7592
2023-03-12 13:20:00,17184,115246,15773,0,0,0,7785
2023-03-12 13:24:00,17041,112096,15575,0,0,0,8126
2023-03-12 13:28:00,16065,61231,15735,0,0,0,7714
2023-03-12 13:32:00,17064,97247,32710,0,0,0,7929
2023-03-12 13:36:00,17131,112687,15376,13100,0,0,7928
2023-03-12 13:40:00,16574,111984,16005,0,0,0,7743
2023-03-12 13:44:00,16773,115118,33733,0,0,0,8160
2023-03-12 13:48:00,17200,815,16028,0,0,0,7857
2023-03-12 13:52:00,16807,65210,15672,0,0,0,7946
2023-03-12 13:56:00,16129,110808,15855,0,0,0,7519
2023-03-12 14:00:00,16635,115807,15546,0,0,0,7871
