"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc05ccf7670ce1)","Transmit Total (lxc0e7fd83429f8)","Transmit Total (lxc2f196552a250)","Transmit Total (lxc351507ccd6de)","Transmit Total (lxc35a229aa328a)","Transmit Total (lxc44cc3d42073d)","Transmit Total (lxc64e81a3910f4)","Transmit Total (lxc69dc6236bed5)","Transmit Total (lxc807ae06edaa7)","Transmit Total (lxc8b0393b43750)","Transmit Total (lxc947f9c305662)","Transmit Total (lxc9854d7c0de90)","Transmit Total (lxc9d85bc894392)","Transmit Total (lxc9e1d6b31c79c)","Transmit Total (lxc_health)","Transmit Total (lxca4e4e80fd248)","Transmit Total (lxcb43abd09557c)","Transmit Total (lxcb9f2e6c9b4a1)","Transmit Total (lxcc89cc2f546a7)","Transmit Total (lxcc91b3dc073da)","Transmit Total (lxccdce074c39ef)","Transmit Total (lxce6f41a775b41)","Transmit Total (lxcf877b9881be3)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc05ccf7670ce1)","Receive Total (lxc0e7fd83429f8)","Receive Total (lxc2f196552a250)","Receive Total (lxc351507ccd6de)","Receive Total (lxc35a229aa328a)","Receive Total (lxc44cc3d42073d)","Receive Total (lxc64e81a3910f4)","Receive Total (lxc69dc6236bed5)","Receive Total (lxc807ae06edaa7)","Receive Total (lxc8b0393b43750)","Receive Total (lxc947f9c305662)","Receive Total (lxc9854d7c0de90)","Receive Total (lxc9d85bc894392)","Receive Total (lxc9e1d6b31c79c)","Receive Total (lxc_health)","Receive Total (lxca4e4e80fd248)","Receive Total (lxcb43abd09557c)","Receive Total (lxcb9f2e6c9b4a1)","Receive Total (lxcc89cc2f546a7)","Receive Total (lxcc91b3dc073da)","Receive Total (lxccdce074c39ef)","Receive Total (lxce6f41a775b41)","Receive Total (lxcf877b9881be3)"
2023-02-22 12:22:00,0,69.4,13392,32866,0,0,32.9,0,445,1642,66.4,2659,464,1846,143,453,36548,66.8,0,32.3,7020,122,17251,2551,4.27,1869,0,237,69.4,0,17941,44043,0,0,22.5,0,254,15222,41,2654,259,155,95.9,253,17469,41.4,0,26.2,1074,29.0,8849,1264,4.13,177,0,110
2023-02-22 12:24:00,0,68.6,16404,60738,0,45.7,32.1,0,450,1678,66.4,2657,466,1855,142,453,36575,66.1,0,32.3,6905,127,18000,2551,4.27,1874,0,243,68.6,0,40764,71811,0,30.6,22.0,0,259,15259,41.4,2652,260,150,94.5,253,18237,40.6,0,26.2,1011,30.3,9571,1264,4.13,171,0,117
2023-02-22 12:26:00,0,69.0,13396,32915,0,0,32.9,0,449,1536,66.5,1081,466,1704,145,457,36591,65.7,0,32.4,6628,127,21665,2579,4.27,1729,0,247,69.0,0,16416,41613,0,0,27.4,0,255,15268,41.4,1076,260,169,97.9,257,21850,40.7,0,26.2,1022,30.3,10446,1276,4.14,194,0,120
2023-02-22 12:28:00,0,69,13653,33229,0,0.367,32.9,0,444,1648,66.4,2655,467,1850,143,454,36572,66.1,0,32.3,7043,116,17763,2551,4.27,1872,0,241,69,0,17932,44192,0,0.367,27.4,0,254,15248,41.4,2653,266,168,95.9,260,18008,41.4,0,26.2,1059,32.6,9110,1265,4.13,194,0,108
2023-02-22 12:30:00,0,69,12222,31635,0,0.600,30.7,0,444,1553,66.4,1071,468,1686,143,451,36622,66.4,0,32.3,6584,122,21846,2552,4.27,1703,0,236,69,0,16382,41181,0,0.600,19.7,0,255,15266,41.4,1071,267,171,95.9,257,22087,41,0,26.2,1045,33.9,9295,1267,4.13,176,0,110
2023-02-22 12:32:00,0,69,13331,32820,0,0,33.5,0,448,1599,66.8,2125,469,1781,143,454,36561,66.8,0,32.3,6856,127,17490,2550,4.27,1813,0,244,69,0,17433,43092,0,0,28.6,0,255,15216,41.4,2130,261,170,96.3,255,17702,41.4,0,26.2,1023,30.3,9324,1263,4.13,199,0,120
2023-02-22 12:34:00,0,69,16864,61338,0,43.1,32.9,0,444,1685,66.8,2653,469,1849,143,456,36614,66.4,0,32.3,6890,127,24762,2550,4.27,1872,0,242,69,0,40823,71683,0,30.6,22.8,0,249,15261,41.4,2653,262,176,95.9,257,24993,41,0,26.2,991,30.3,10058,1263,4.13,225,0,111
2023-02-22 12:36:00,0,69.4,13020,32470,0,0,31.1,0,444,1500,65.7,1074,468,1706,143,452,36516,66.8,0,32.3,6678,126,17005,2579,4.27,1714,0,243,69.4,0,16411,41420,0,0,20.1,0,249,15205,40.3,1073,261,169,96.3,252,17151,41.4,0,26.2,1057,30.3,10053,1277,4.13,200,0,115
2023-02-22 12:38:00,0,69,13410,32848,0,0,31.1,0,434,1621,65.8,2659,455,1864,143,439,36602,66.8,0,32.3,6963,122,26311,2553,4.27,1877,0,237,69,0,17936,43947,0,0,20.1,0,244,15208,40.3,2658,254,161,96.3,244,26524,41.4,0,26.2,1032,29.0,8943,1266,4.13,183,0,107
2023-02-22 12:40:00,0,69,12128,31454,0,0.600,34.3,0,436,1531,65.7,1605,454,1733,143,443,36512,66.4,0,32.3,6651,127,17005,2551,4.27,1765,0,242,69,0,16897,42068,0,0.600,24.4,0,248,15204,40.6,1598,253,145,95.9,250,17188,41.4,0,26.2,1013,30.3,8638,1264,4.13,192,0,113
