"Time","0(172.16.66.122:10250)","0(172.16.66.122:6443)","200(172.16.66.122:10250)","200(172.16.66.122:6443)","201(172.16.66.122:10250)","201(172.16.66.122:6443)","403(172.16.66.122:10250)","403(172.16.66.122:6443)","404(172.16.66.122:10250)","404(172.16.66.122:6443)","409(172.16.66.122:10250)","409(172.16.66.122:6443)","422(172.16.66.122:10250)","422(172.16.66.122:6443)","500(172.16.66.122:10250)","500(172.16.66.122:6443)","504(172.16.66.122:10250)","504(172.16.66.122:6443)"
2023-03-11 11:30:00,0,0,20.0,20.2,0.367,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:32:00,0,0,20.0,19.5,0.428,0.411,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 11:34:00,0,0,19.7,19.8,0.383,0.344,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:36:00,0,0,20.0,19.9,0.344,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:38:00,0,0,19.7,19.5,0.372,0.344,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 11:40:00,0,0,19.8,20.1,0.344,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:42:00,0,0,20.1,19.9,0.361,0.356,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 11:44:00,0,0,19.7,19.8,0.344,0.350,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:46:00,0,0,20.1,20.1,0.344,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:48:00,0,0,20.1,19.8,0.361,0.372,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 11:50:00,0,0,19.8,19.7,0.339,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:52:00,0,0,19.8,19.9,0.367,0.372,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 11:54:00,0,0,20.0,19.9,0.367,0.344,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:56:00,0,0,19.9,19.5,0.350,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:58:00,0,0,19.5,19.6,0.389,0.361,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 12:00:00,0,0,20.1,20.4,0.356,0.345,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:02:00,0,0,20.0,19.8,0.383,0.367,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 12:04:00,0,0,19.6,19.5,0.367,0.350,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:06:00,0,0,19.8,20.0,0.339,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:08:00,0,0,19.9,19.9,0.356,0.394,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 12:10:00,0,0,19.7,19.6,0.428,0.467,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:12:00,0,0,19.6,19.7,0.506,0.506,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 12:14:00,0,0,19.9,19.9,0.606,0.600,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:16:00,0,0,19.7,19.9,0.539,0.428,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:18:00,0,0,19.5,19.3,0.389,0.384,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 12:20:00,0,0,19.6,19.8,0.406,0.433,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:22:00,0,0,20.0,19.9,0.383,0.383,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 12:24:00,0,0,19.9,19.6,0.350,0.356,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:26:00,0,0,19.6,20.0,0.328,0.339,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:28:00,0,0,19.8,19.9,0.367,0.339,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 12:30:00,0,0,20.0,20.1,0.389,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:32:00,0,0,19.8,19.7,0.378,0.356,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 12:34:00,0,0,20.0,19.8,0.367,0.372,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:36:00,0,0,19.8,19.9,0.361,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:38:00,0,0,19.9,19.7,0.361,0.367,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 12:40:00,0,0,19.7,19.7,0.339,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:42:00,0,0,19.7,19.7,0.333,0.350,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 12:44:00,0,0,20.0,19.8,0.344,0.345,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:46:00,0,0,19.7,19.9,0.356,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:48:00,0,0,19.7,19.8,0.350,0.344,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 12:50:00,0,0,20.0,19.8,0.361,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:52:00,0,0,19.7,19.7,0.383,0.350,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 12:54:00,0,0,19.8,19.9,0.356,0.339,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:56:00,0,0,19.9,19.9,0.350,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 12:58:00,0,0,19.8,19.5,0.394,0.472,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 13:00:00,0,0,19.8,19.9,0.494,0.544,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:02:00,0,0,19.9,19.9,0.572,0.639,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 13:04:00,0,0,20.1,20.0,0.589,0.500,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:06:00,0,0,19.6,19.5,0.367,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:08:00,0,0,19.5,19.6,0.400,0.444,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 13:10:00,0,0,19.9,19.9,0.400,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:12:00,0,0,19.6,19.7,0.356,0.350,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 13:14:00,0,0,19.8,19.8,0.356,0.344,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:16:00,0,0,19.9,19.9,0.344,0.344,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:18:00,0,0,19.9,19.8,0.378,0.344,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 13:20:00,0,0,19.9,19.7,0.356,0.333,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:22:00,0,0,19.4,19.5,0.356,0.356,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 13:24:00,0,0,19.9,20.0,0.344,0.361,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:26:00,0,0,20.0,19.8,0.333,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 13:28:00,0,0,19.7,19.8,0.350,0.361,0,0,0,0,0,0,0,0,0,0,0,0
