"Time","ct4_global delete","ct4_global delete","ct4_global delete","ct_any4_global delete","ct_any4_global delete","ct_any4_global delete","ipcache update","ipcache update","ipcache update","snat_v4_external delete","snat_v4_external delete","snat_v4_external delete","tunnel_map update","tunnel_map update","tunnel_map update"
2023-03-13 16:26:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 16:28:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 16:30:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 16:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 16:34:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 16:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 16:38:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 16:40:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 16:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 16:44:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 16:46:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 16:48:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 16:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 16:52:00,,,32.4,,,4.32,0.0517,0.0517,,,,0.359,,,
2023-03-13 16:54:00,,,32.4,,,4.32,0.0517,0.0517,,,,0.359,,,
2023-03-13 16:56:00,,,32.4,,,4.32,0.0517,0.0517,,,,0.359,,,
2023-03-13 16:58:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 17:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 17:02:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:04:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 17:06:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:08:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 17:10:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:12:00,35.0,41.2,,3.00,2.59,,,,,,15.6,,,,
2023-03-13 17:14:00,35.0,41.2,,3.00,2.59,,,,,,15.6,,,,
2023-03-13 17:16:00,35.0,41.2,,3.00,2.59,,,,,,15.6,,,,
2023-03-13 17:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 17:20:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:22:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 17:24:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:26:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 17:28:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:30:00,,,33.5,,,4.41,0.0517,0.0517,,,,0.386,,,
2023-03-13 17:32:00,,,33.5,,,4.41,0.0517,0.0517,,,,0.386,,,
2023-03-13 17:34:00,,,33.5,,,4.41,0.0517,0.0517,,,,0.386,,,
2023-03-13 17:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 17:38:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:40:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 17:42:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:44:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 17:46:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:48:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 17:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 17:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 17:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 17:56:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 17:58:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 18:00:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 18:02:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 18:04:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 18:06:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 18:08:00,,,33.5,,,4.51,0.0517,0.0517,,,,0.331,,,
2023-03-13 18:10:00,35.0,,33.5,3.10,,4.51,,,,0.510,,,,,
2023-03-13 18:12:00,35.0,,33.5,3.10,,4.51,,,,0.510,,,,,
2023-03-13 18:14:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 18:16:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 18:18:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 18:20:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 18:22:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 18:24:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 18:26:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 18:28:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 18:30:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 18:32:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 18:34:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 18:36:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 18:38:00,,43.2,,,2.59,,0.0517,0.0517,,,16.1,,,,
2023-03-13 18:40:00,,43.2,,,2.59,,0.0517,0.0517,,,16.1,,,,
2023-03-13 18:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 18:44:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 18:46:00,,,32.2,,,4.03,0.0517,0.0517,,,,0.372,,,
2023-03-13 18:48:00,,,32.2,,,4.03,0.0517,0.0517,,,,0.372,,,
2023-03-13 18:50:00,,,32.2,,,4.03,0.0517,0.0517,,,,0.372,,,
2023-03-13 18:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 18:54:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 18:56:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 18:58:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 19:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 19:02:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 19:04:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 19:06:00,34.8,,,2.93,,,0.0517,0.0517,,0.455,,,,,
2023-03-13 19:08:00,34.8,,,2.93,,,0.0517,0.0517,,0.455,,,,,
2023-03-13 19:10:00,34.8,,,2.93,,,0.0517,0.0517,,0.455,,,,,
2023-03-13 19:12:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 19:14:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 19:16:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 19:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 19:20:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 19:22:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 19:24:00,,,33.6,,,4.48,0.0517,0.0517,,,,0.386,,,
2023-03-13 19:26:00,,,33.6,,,4.48,0.0517,0.0517,,,,0.386,,,
2023-03-13 19:28:00,,,33.6,,,4.48,0.0517,0.0517,,,,0.386,,,
2023-03-13 19:30:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 19:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 19:34:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 19:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 19:38:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 19:40:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 19:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 19:44:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 19:46:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 19:48:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 19:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 19:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 19:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 19:56:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 19:58:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 20:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 20:02:00,,,33.5,,,4.19,0.0517,0.0517,,,,0.379,,,
2023-03-13 20:04:00,34.8,46.0,33.5,,,4.19,,,,,18.0,,,,
2023-03-13 20:06:00,34.8,46.0,33.5,,,4.19,,,,,18.0,,,,
2023-03-13 20:08:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 20:10:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 20:12:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 20:14:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 20:16:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 20:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 20:20:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 20:22:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0207,,0.0276
2023-03-13 20:24:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 20:26:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 20:28:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 20:30:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 20:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 20:34:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 20:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 20:38:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 20:40:00,,,32.5,,,4.31,0.0517,0.0517,,,,0.414,,,
2023-03-13 20:42:00,,,32.5,,,4.31,0.0517,0.0517,,,,0.414,,,
2023-03-13 20:44:00,,,32.5,,,4.31,0.0517,0.0517,,,,0.414,,,
2023-03-13 20:46:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 20:48:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 20:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 20:52:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 20:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 20:56:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 20:58:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 21:00:00,35.1,,,2.90,,,0.0517,0.0517,,0.345,,,,,
2023-03-13 21:02:00,35.1,,,2.90,,,0.0517,0.0517,,0.345,,,,,
2023-03-13 21:04:00,35.1,,,2.90,,,0.0517,0.0517,,0.345,,,,,
2023-03-13 21:06:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 21:08:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 21:10:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 21:12:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 21:14:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 21:16:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 21:18:00,,,33.7,,,4.69,0.0517,0.0517,,,,0.386,,,
2023-03-13 21:20:00,,,33.7,,,4.69,0.0517,0.0517,,,,0.386,,,
2023-03-13 21:22:00,,,33.7,,,4.69,0.0517,0.0517,,,,0.386,,,
2023-03-13 21:24:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 21:26:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 21:28:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
