"Time","min","avg","max","deleted","deleted max"
2023-02-22 23:18:00,110,2528,7342,32539,44354
2023-02-22 23:20:00,110,2528,7342,32539,44354
2023-02-22 23:22:00,110,2528,7342,32539,44354
2023-02-22 23:24:00,110,2528,7342,32539,44354
2023-02-22 23:26:00,110,2528,7342,32539,44354
2023-02-22 23:28:00,110,2528,7342,32539,44354
2023-02-22 23:30:00,110,2528,7342,32539,44354
2023-02-22 23:32:00,110,2528,7342,32539,44354
2023-02-22 23:34:00,110,2528,7342,32539,44354
2023-02-22 23:36:00,110,2528,7342,32539,44354
2023-02-22 23:38:00,110,2528,7342,32539,44354
2023-02-22 23:40:00,110,2528,7342,32539,44354
2023-02-22 23:42:00,110,2528,7342,32539,44354
2023-02-22 23:44:00,110,2528,7342,32539,44354
2023-02-22 23:46:00,110,2528,7342,32539,44354
2023-02-22 23:48:00,110,2528,7342,32539,44354
2023-02-22 23:50:00,110,2528,7342,32539,44354
2023-02-22 23:52:00,110,2528,7342,32539,44354
2023-02-22 23:54:00,110,2528,7342,32539,44354
2023-02-22 23:56:00,110,2528,7342,32539,44354
2023-02-22 23:58:00,110,2528,7342,32539,44354
2023-02-23 00:00:00,110,2528,7342,32539,44354
2023-02-23 00:02:00,110,2528,7342,32539,44354
2023-02-23 00:04:00,110,2528,7342,32539,44354
2023-02-23 00:06:00,110,2528,7342,32539,44354
2023-02-23 00:08:00,110,2528,7342,32539,44354
2023-02-23 00:10:00,110,2528,7342,32539,44354
2023-02-23 00:12:00,110,2528,7342,32539,44354
2023-02-23 00:14:00,110,2528,7342,32539,44354
2023-02-23 00:16:00,110,2528,7342,32539,44354
2023-02-23 00:18:00,110,2528,7342,32539,44354
2023-02-23 00:20:00,110,2528,7342,32539,44354
2023-02-23 00:22:00,110,2528,7342,32539,44354
2023-02-23 00:24:00,110,2528,7342,32539,44354
2023-02-23 00:26:00,110,2528,7342,32539,44354
2023-02-23 00:28:00,110,2528,7342,32539,44354
2023-02-23 00:30:00,110,2528,7342,32539,44354
2023-02-23 00:32:00,110,2528,7342,32539,44354
2023-02-23 00:34:00,110,2528,7342,32539,44354
2023-02-23 00:36:00,110,2528,7342,32539,44354
2023-02-23 00:38:00,110,2528,7342,32539,44354
2023-02-23 00:40:00,110,2528,7342,32539,44354
2023-02-23 00:42:00,110,2528,7342,32539,44354
2023-02-23 00:44:00,110,2528,7342,32539,44354
