"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc658d02a437db)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc658d02a437db)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-20 14:00:00,0,83.3,12244,45654,270,0,10712,4360,4349,0,1748,133,0,135,2356,306,32.9,469,68242,3.43,0,31.6,66.5,65.8,0,108,0,126,28535,305,2582,222,83.3,0,28999,129881,270,0,3095,1468,1433,0,223,31.6,0,31.6,107,378,22.4,262,2512,3.57,0,25.5,41.4,40.6,0,235,0,30.3,8832,440,1277,217
2023-03-20 14:02:00,0,86.2,12920,46940,270,0.389,15063,4747,4491,0,1959,122,0,124,215,304,77.0,472,68353,3.43,0,31.6,66.1,65.8,0,104,0.600,126,18832,306,2586,223,86.2,0,19350,122680,270,0,3618,1513,1452,0,245,29.0,0,29.0,73.9,380,99.0,264,2516,3.57,0,25.5,41.4,40.3,0,231,0.600,30.3,9428,439,1282,225
2023-03-20 14:04:00,0,85.5,13593,47613,269,0,13866,4722,4541,0,1975,128,0,129,296,306,54.1,471,68396,3.43,0,31.6,65.7,66.1,0,104,0,121,20211,304,2584,220,85.5,0,20712,123016,269,0.389,3720,1470,1417,0,190,30.3,0,30.3,78.4,379,57.4,263,2509,3.57,0,25.5,40.6,41,0,232,0,29.0,10136,441,1279,215
2023-03-20 14:06:00,0,82.6,17103,50581,269,0,13939,4340,4322,0,1762,128,0,129,75.6,308,55.0,472,68212,3.82,0,31.6,65.8,65.3,0,105,0.367,126,22259,303,2583,222,82.6,0,22713,123962,268,0,3035,1420,1398,0,187,30.3,0,30.3,77.3,378,62.3,261,2493,3.95,0,25.5,40.6,39.9,0,231,0.367,30.3,13664,442,1279,216
2023-03-20 14:08:00,0,84.4,16994,53722,269,0,102891,4806,6644,0,1999,122,0,124,290,305,58.3,468,68373,3.43,0,31.6,65.7,65.0,0,236,38.2,126,20446,506,2585,222,84.4,0,21179,216259,269,0,5865,1510,1532,0,226,29.0,0,29.0,82.8,380,65.0,261,2508,3.57,0,25.5,40.6,39.9,0,302,35.3,30.3,13377,586,1281,217
2023-03-20 14:10:00,0,83.7,12892,48859,269,0,97291,4397,4477,0,1899,128,0,129,223,310,33.4,469,68337,3.67,0,31.6,66.1,65.7,0,119,0,121,27032,311,2585,222,83.7,0,27499,213900,269,0,5587,1458,1453,0,225,30.3,0,30.3,78.0,375,26.9,262,2524,3.80,0,25.5,40.6,41.8,0,251,0,29.0,9483,436,1281,217
2023-03-20 14:12:00,0,78.9,13363,47078,270,0,14529,4748,4406,0,1830,116,0,117,145,308,32.9,468,68307,4.13,0,31.6,66.1,66.0,0,104,0.600,121,17351,307,2587,222,78.9,0,17821,119970,270,0,3337,1499,1458,0,219,27.7,0,27.7,71.7,376,22.5,261,2521,4.27,0,25.5,40.6,42.5,0,232,0.600,29.0,9955,440,1287,222
2023-03-20 14:14:00,0,77.4,12915,47031,269,0,13845,4735,4536,0,1972,122,0,124,296,303,30.7,457,68380,3.90,0,31.6,65.3,65.7,0,103,0.600,126,29815,308,2587,222,77.4,0,30247,133137,269,0,3725,1484,1434,0,214,29.0,0,29.0,79.5,381,19.7,255,2521,4.03,0,25.5,39.9,42.1,0,231,0.600,30.9,9519,439,1287,218
2023-03-20 14:16:00,0,80.4,14261,47513,270,0,12257,4314,4319,0,1736,128,0,129,80.0,303,30.7,454,68194,3.43,0,31.6,65.8,66.1,0,103,0,126,18148,309,2555,221,80.4,0,18606,117791,270,0,3034,1422,1418,0,183,30.3,0.389,30.3,74.7,379,19.7,253,2484,3.57,0,25.5,40.6,41.7,0,232,0,30.9,10856,438,1264,215
2023-03-20 14:18:00,0,80,15438,49665,270,0,15518,4711,4536,0,1964,133,0,135,803,303,32.9,467,68423,3.43,0,31.6,65.8,66.1,0,189,38.0,121,20346,506,2583,220,80,0,21049,125935,270,0,3703,1453,1407,0,182,31.6,0.389,31.6,91.8,380,27.9,260,2512,3.57,0,25.5,40.4,40.6,0,261,35.0,29.0,11860,589,1277,224
