"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-15 17:12:00,243213,134896,191446,157962,122323,185909
2023-03-15 17:14:00,232063,141853,177332,153147,123647,162989
2023-03-15 17:16:00,254733,133778,201347,162563,121700,193983
2023-03-15 17:18:00,243066,156219,183217,161401,137650,165397
2023-03-15 17:20:00,307206,168630,176242,205633,176104,161743
2023-03-15 17:22:00,244844,150849,185306,156218,130114,173327
2023-03-15 17:24:00,232746,134111,178022,153746,119917,163456
2023-03-15 17:26:00,243485,131368,188545,159706,120593,180491
2023-03-15 17:28:00,244983,149583,183222,162799,128310,164130
2023-03-15 17:30:00,328429,165827,209653,205952,173067,205391
2023-03-15 17:32:00,281527,157187,182961,184943,133473,168256
2023-03-15 17:34:00,232043,133929,176901,152531,119905,162688
2023-03-15 17:36:00,244991,135384,192147,159615,122518,186440
2023-03-15 17:38:00,248266,156492,188025,159878,132318,173234
2023-03-15 17:40:00,303589,162651,182987,201763,170788,178377
2023-03-15 17:42:00,315244,173672,181406,207432,162883,166205
2023-03-15 17:44:00,232108,133902,177454,153298,119882,162967
2023-03-15 17:46:00,246016,145499,194500,166675,127448,185485
2023-03-15 17:48:00,246424,137375,188158,166207,123601,171024
2023-03-15 17:50:00,299353,160780,193757,194254,169981,187101
2023-03-15 17:52:00,317513,184397,182287,207694,183602,166089
2023-03-15 17:54:00,234633,133759,177256,152535,119710,163375
2023-03-15 17:56:00,265360,151473,206032,160692,130529,191867
2023-03-15 17:58:00,268550,137338,209135,162526,123515,193923
2023-03-15 18:00:00,238558,148946,182751,158850,153943,174667
2023-03-15 18:02:00,316048,182410,179939,208646,182497,162398
2023-03-15 18:04:00,237971,133201,190044,157508,119457,184990
2023-03-15 18:06:00,239514,156614,178525,155366,132902,163422
2023-03-15 18:08:00,248058,137444,187732,158995,123570,173048
2023-03-15 18:10:00,231881,132690,184445,153273,120042,179192
2023-03-15 18:12:00,315274,188585,182370,207446,185355,168358
2023-03-15 18:14:00,239033,131710,188402,155217,119576,183306
2023-03-15 18:16:00,260328,153193,201287,158026,130466,184560
2023-03-15 18:18:00,270208,137366,212070,167362,123473,195408
2023-03-15 18:20:00,233353,142383,186038,157345,123855,178660
2023-03-15 18:22:00,316433,168419,182764,204955,175565,169712
2023-03-15 18:24:00,287607,131193,187630,189157,119803,181783
2023-03-15 18:26:00,236706,149342,177227,157985,127335,158846
2023-03-15 18:28:00,245781,137041,193304,165051,123224,182610
2023-03-15 18:30:00,230894,147732,170569,151104,126588,153423
2023-03-15 18:32:00,325212,168605,191815,207025,175778,178253
2023-03-15 18:34:00,312560,157864,192223,209956,158225,187174
2023-03-15 18:36:00,238061,154478,180127,155968,130035,164982
2023-03-15 18:38:00,249194,135599,198610,162280,122781,192183
2023-03-15 18:40:00,255645,152322,198274,154722,128850,183050
2023-03-15 18:42:00,287529,168507,180912,188321,175647,166783
2023-03-15 18:44:00,312870,165766,191067,209568,174381,184989
2023-03-15 18:46:00,238001,142105,181538,160239,123984,164799
2023-03-15 18:48:00,246593,133963,196792,166360,121836,188045
2023-03-15 18:50:00,233949,150761,174501,152987,128166,158929
2023-03-15 18:52:00,240378,154948,182526,155428,153795,168003
2023-03-15 18:54:00,314607,184504,193681,214183,183379,185441
2023-03-15 18:56:00,237693,134000,181238,160030,119904,164577
2023-03-15 18:58:00,245183,133209,193923,162992,121474,185948
2023-03-15 19:00:00,262066,149945,198563,155789,127613,183232
2023-03-15 19:02:00,259343,135745,208419,154143,121815,200847
2023-03-15 19:04:00,313339,182110,180452,211480,182297,161525
2023-03-15 19:06:00,247287,134025,188340,171386,119932,169637
2023-03-15 19:08:00,250581,136606,202256,166393,123095,195130
2023-03-15 19:10:00,239035,155140,178033,156175,131075,163835
2023-03-15 19:12:00,235121,133176,186961,151661,120021,182573
2023-03-15 19:14:00,313383,186705,183405,212237,184472,166733
2023-03-15 19:16:00,292830,138337,181489,198319,125962,165135
2023-03-15 19:18:00,245702,133920,194856,163528,121894,187189
2023-03-15 19:20:00,249611,145172,188597,157687,127354,174304
