"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc138fa602f19f)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc138fa602f19f)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-21 21:30:00,0,84.4,12322,44003,269,0,0,9299,4328,4525,0,1950,117,0,112,305,30.7,124,67651,4.13,0,31.6,66.1,65.8,0,109,0.600,450,20156,309,2584,221,84.4,0,20621,117128,269,0,0,1887,1441,1428,0,220,27.7,0,19,379,19.7,20.9,2471,4.27,0.389,25.5,41,40.6,0,234,0.600,256,8958,438,1279,216
2023-03-21 21:32:00,0,82.2,12678,44423,270,0,0,8841,4706,4377,0,1799,116,0,117,306,31.5,124,67533,4.13,0,31.6,66.4,65.7,0,104,0.600,444,28253,308,2584,224,82.2,0,28682,124824,270,0,0,1814,1488,1412,0,213,27.7,0.389,20.0,379,20.5,20.9,2468,4.27,0,25.5,41.5,41.4,0,231,0.600,247,9342,439,1284,220
2023-03-21 21:34:00,0,74.9,12771,44544,269,0,0,9122,4354,4465,0,1886,122,0,124,308,32.3,130,67645,4.13,0,31.6,66.4,65.8,0,104,0,449,20222,307,2585,224,74.9,0,20666,116689,269,0,0,1889,1453,1434,0,216,29.0,0,20.9,378,21.5,22.2,2492,4.27,0,25.5,41,41.1,0,231,0,253,9428,440,1281,218
2023-03-21 21:36:00,0,86.6,14293,46403,268,0,0,9337,4729,4542,0,1981,116,0,118,307,56.2,129,67669,4.13,0,31.6,65.7,65.6,0,105,37.6,445,27810,508,2583,222,86.6,0,28482,125936,268,0,0,1938,1522,1456,0,241,27.7,0,20.0,379,63.5,21.9,2475,4.27,0,25.5,40.3,40.3,0,230,34.7,250,10753,584,1278,222
2023-03-21 21:38:00,0,83.0,14684,47356,269,0,0,8762,4814,29286,0,1776,133,0,129,310,58.1,136,67510,4.13,0,31.6,65.7,65.7,0,188,0,451,18143,306,2583,223,83.0,0,18631,139694,268,0,0,1837,1555,2146,0,235,31.6,0,21.9,377,64.1,22.8,2455,4.27,0,25.5,40.3,40.3,0,260,0,261,11287,440,1279,225
2023-03-21 21:40:00,0,84.1,12866,45346,269,0,0,9367,4364,27375,0,1948,133,0,135,307,33.4,124,67708,4.13,0,31.6,65.7,65.7,0,108,0.600,437,26095,306,2584,225,84.1,0,26542,147277,269,0,0,1964,1479,2007,0,224,31.6,0,22.8,378,21.7,20.9,2484,4.27,0,25.5,40.3,40.3,0,235,0.600,252,9515,441,1280,220
2023-03-21 21:42:00,0,85.9,13665,45470,270,0,0,8893,4732,4407,0,1822,128,0,135,307,31.5,124,67600,4.13,0,31.6,65.4,65.6,0,104,0.600,434,17260,307,2585,221,85.9,0,17725,113283,270,0,0,1850,1516,1457,0,226,30.3,0,22.8,378,20.6,20.9,2494,4.66,0,25.5,39.9,40.3,0,232,0.600,242,10312,438,1280,215
2023-03-21 21:44:00,0,89.5,13890,45733,269,0,0,9089,4354,4469,0,1890,122,0,118,305,32.9,124,67638,4.13,0,31.8,65.0,65.4,0,104,0,450,20266,308,2584,219,89.5,0,20717,117011,269,0,0,1878,1458,1454,0,224,29.0,0,20.3,379,27.6,20.9,2480,4.66,0,25.7,39.5,40.6,0,231,0,255,10545,437,1278,213
2023-03-21 21:46:00,0,82.2,14782,46917,270,0,0,9306,4727,4541,0.389,2007,122,0.389,128,304,32.1,136,67636,4.13,0,31.8,65.0,65.4,0,104,28.8,449,29801,455,2585,224,82.2,0,30395,128199,270,0,0,1928,1508,1443,0,246,29.4,0,22.2,380,21.5,22.8,2473,4.27,0,25.7,39.5,40.6,0,232,26.6,255,11322,549,1282,224
2023-03-21 21:48:00,0,79.6,14476,46474,270,0,0,8640,4735,4341,0.389,1760,122,0.389,124,310,32.1,136,67527,4.13,0,32.0,65.6,65.0,0,185,84.6,445,20270,759,2586,226,79.6,0,21225,116738,270,0,0,1804,1512,1444,0,225,29.4,0,20.9,378,21.8,22.8,2471,4.27,0,26.0,40.3,39.9,0,264,78,248,10747,766,1282,227
2023-03-21 21:50:00,0,84.8,12680,44552,269,0,0,9285,4360,4541,0,1956,121,0,117,307,32.1,130,67695,4.13,0,31.6,65.6,65.8,0,107,0,447,28912,305,2583,222,84.8,0,29343,126440,269,0,0,1942,1468,1448,0,222,29.0,0,20.0,378,21.8,21.9,2488,4.27,0,25.5,40.3,41,0,235,0,252,9338,440,1277,217
2023-03-21 21:52:00,0,82.9,12516,44285,270,0,0,8925,4812,4463,0,1817,128,0,129,306,31.5,130,67557,4.13,0,31.6,65.3,65.7,0,104,0.600,451,19217,306,2583,221,82.9,0,19673,115424,270,0,0,1832,1537,1473,0,215,30.3,0,21.9,379,25.7,21.9,2477,4.27,0,25.5,39.9,41.4,0,232,0.600,257,9157,441,1279,215
2023-03-21 21:54:00,0,81.5,13042,44841,269,0,0,9106,4430,4483,0,1885,128,0,129,307,33.7,124,67685,4.13,0,31.6,65.7,66.1,0,104,0.600,449,20228,303,2585,223,81.5,0,20675,116836,269,0,0,1859,1474,1451,0,221,30.3,0,21.9,379,28.3,20.9,2515,4.27,0,25.5,40.6,40.6,0,232,0.600,254,9686,442,1281,218
