"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-22 11:52:00,0,0,0,86608,86608,0
2023-03-22 11:54:00,0,0,0,84400,84400,0
2023-03-22 11:56:00,0,0,0,35749,35749,0
2023-03-22 11:58:00,0,0,0,80759,80759,0
2023-03-22 12:00:00,0,0,0,41233,41233,0
2023-03-22 12:02:00,0,0,0,705741,705741,0
2023-03-22 12:04:00,0,0,0,89543,89543,0
2023-03-22 12:06:00,159,159,0,39663,39663,0
2023-03-22 12:08:00,159,159,0,83968,83968,0
2023-03-22 12:10:00,0,0,0,42780,42780,0
2023-03-22 12:12:00,0,0,0,112414,112414,0
2023-03-22 12:14:00,0,0,0,109750,109750,0
2023-03-22 12:16:00,0,0,0,46694,46694,0
2023-03-22 12:18:00,45.5,45.5,0,110546,110546,0
2023-03-22 12:20:00,45.5,45.5,0,44601,44601,0
2023-03-22 12:22:00,0,0,0,87563,87563,0
2023-03-22 12:24:00,0,0,0,87609,87609,0
2023-03-22 12:26:00,0,0,0,41279,41279,0
2023-03-22 12:28:00,0,0,0,86538,86538,0
2023-03-22 12:30:00,0,0,0,40528,40528,0
2023-03-22 12:32:00,0,0,0,115052,115052,0
2023-03-22 12:34:00,0,0,0,110433,110433,0
2023-03-22 12:36:00,0,0,0,41984,41984,0
2023-03-22 12:38:00,137,137,0,90886,90886,0
2023-03-22 12:40:00,137,137,0,41506,41506,0
2023-03-22 12:42:00,0,0,0,83672,83672,0
2023-03-22 12:44:00,0,0,0,87017,87017,0
2023-03-22 12:46:00,319,319,0,44737,44737,0
2023-03-22 12:48:00,319,319,0,89384,89384,0
2023-03-22 12:50:00,0,0,0,40755,40755,0
2023-03-22 12:52:00,0,0,0,85538,85538,0
2023-03-22 12:54:00,0,0,0,86062,86062,0
2023-03-22 12:56:00,0,0,0,41051,41051,0
2023-03-22 12:58:00,0,0,0,83240,83240,0
2023-03-22 13:00:00,0,0,0,44669,44669,0
2023-03-22 13:02:00,0,0,0,129024,129024,0
2023-03-22 13:04:00,0,0,0,131755,131755,0
2023-03-22 13:06:00,0,0,0,39754,39754,0
2023-03-22 13:08:00,0,0,0,85447,85447,0
2023-03-22 13:10:00,0,0,0,38720,38720,0
2023-03-22 13:12:00,0,0,0,85356,85356,0
2023-03-22 13:14:00,0,0,0,91591,91591,0
2023-03-22 13:16:00,0,0,0,45238,45238,0
2023-03-22 13:18:00,0,0,0,91364,91364,0
2023-03-22 13:20:00,0,0,0,46763,46763,0
2023-03-22 13:22:00,0,0,0,89134,89134,0
2023-03-22 13:24:00,0,0,0,87723,87723,0
