"Time","192.168.0.211:6443"
2023-03-23 16:08:00,14557
2023-03-23 16:12:00,14555
2023-03-23 16:16:00,14562
2023-03-23 16:20:00,14552
2023-03-23 16:24:00,14550
2023-03-23 16:28:00,14556
2023-03-23 16:32:00,14556
2023-03-23 16:36:00,14562
2023-03-23 16:40:00,14550
2023-03-23 16:44:00,14556
2023-03-23 16:48:00,14554
2023-03-23 16:52:00,14555
2023-03-23 16:56:00,14563
2023-03-23 17:00:00,14559
2023-03-23 17:04:00,14552
2023-03-23 17:08:00,14557
2023-03-23 17:12:00,14557
2023-03-23 17:16:00,14567
2023-03-23 17:20:00,14566
2023-03-23 17:24:00,14568
2023-03-23 17:28:00,14569
2023-03-23 17:32:00,14575
2023-03-23 17:36:00,14583
2023-03-23 17:40:00,14579
2023-03-23 17:44:00,14584
2023-03-23 17:48:00,14578
2023-03-23 17:52:00,14580
2023-03-23 17:56:00,14586
2023-03-23 18:00:00,14580
2023-03-23 18:04:00,14587
2023-03-23 18:08:00,14585
2023-03-23 18:12:00,14586
2023-03-23 18:16:00,14595
2023-03-23 18:20:00,14588
2023-03-23 18:24:00,14590
2023-03-23 18:28:00,14585
2023-03-23 18:32:00,14587
2023-03-23 18:36:00,14590
2023-03-23 18:40:00,14576
2023-03-23 18:44:00,14578
2023-03-23 18:48:00,14576
2023-03-23 18:52:00,14577
2023-03-23 18:56:00,14577
2023-03-23 19:00:00,14567
2023-03-23 19:04:00,14568
2023-03-23 19:08:00,14565
2023-03-23 19:12:00,14569
2023-03-23 19:16:00,14566
2023-03-23 19:20:00,14558
2023-03-23 19:24:00,14558
2023-03-23 19:28:00,14555
2023-03-23 19:32:00,14560
2023-03-23 19:36:00,14562
2023-03-23 19:40:00,14554
2023-03-23 19:44:00,14551
2023-03-23 19:48:00,14552
2023-03-23 19:52:00,14555
2023-03-23 19:56:00,14559
2023-03-23 20:00:00,14552
2023-03-23 20:04:00,14554
2023-03-23 20:08:00,14550
2023-03-23 20:12:00,14552
2023-03-23 20:16:00,14567
2023-03-23 20:20:00,14553
2023-03-23 20:24:00,14554
2023-03-23 20:28:00,14552
2023-03-23 20:32:00,14553
2023-03-23 20:36:00,14561
2023-03-23 20:40:00,14555
2023-03-23 20:44:00,14552
2023-03-23 20:48:00,14550
2023-03-23 20:52:00,14550
2023-03-23 20:56:00,14558
2023-03-23 21:00:00,14557
2023-03-23 21:04:00,14564
2023-03-23 21:08:00,14565
2023-03-23 21:12:00,14572
2023-03-23 21:16:00,14588
2023-03-23 21:20:00,14578
2023-03-23 21:24:00,14574
2023-03-23 21:28:00,14574
2023-03-23 21:32:00,14581
2023-03-23 21:36:00,14586
2023-03-23 21:40:00,14579
2023-03-23 21:44:00,14580
2023-03-23 21:48:00,14586
2023-03-23 21:52:00,14587
2023-03-23 21:56:00,14596
2023-03-23 22:00:00,14590
2023-03-23 22:04:00,14584
2023-03-23 22:08:00,14584
2023-03-23 22:12:00,14584
2023-03-23 22:16:00,14585
2023-03-23 22:20:00,14577
2023-03-23 22:24:00,14586
2023-03-23 22:28:00,14579
2023-03-23 22:32:00,14577
2023-03-23 22:36:00,14588
2023-03-23 22:40:00,14580
2023-03-23 22:44:00,14579
2023-03-23 22:48:00,14579
2023-03-23 22:52:00,14579
2023-03-23 22:56:00,14581
2023-03-23 23:00:00,14577
2023-03-23 23:04:00,14572
2023-03-23 23:08:00,14574
2023-03-23 23:12:00,14576
2023-03-23 23:16:00,14579
2023-03-23 23:20:00,14567
2023-03-23 23:24:00,14572
2023-03-23 23:28:00,14565
2023-03-23 23:32:00,14564
2023-03-23 23:36:00,14573
2023-03-23 23:40:00,14559
2023-03-23 23:44:00,14559
2023-03-23 23:48:00,14555
2023-03-23 23:52:00,14556
