"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc24a55b6118f2)","Transmit Total (lxc2620cdf5014d)","Transmit Total (lxc27c8bfb255bc)","Transmit Total (lxc2e928844a56f)","Transmit Total (lxc3300f810e11f)","Transmit Total (lxc573a43e1f8d2)","Transmit Total (lxc57952e484e48)","Transmit Total (lxc6a491f057ac7)","Transmit Total (lxc6cffc9e65af3)","Transmit Total (lxc769c27b82d9e)","Transmit Total (lxc7eb535e15136)","Transmit Total (lxc8928d6f5d0b3)","Transmit Total (lxc_health)","Transmit Total (lxca81d0fc879aa)","Transmit Total (lxcafe47d984b50)","Transmit Total (lxccddc051f6a29)","Transmit Total (lxccf3cdc47b0c9)","Transmit Total (lxce6f24bb6c275)","Transmit Total (lxcefae8cd05c83)","Transmit Total (lxcefb8e72134a6)","Transmit Total (lxcfed393d703a1)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc24a55b6118f2)","Receive Total (lxc2620cdf5014d)","Receive Total (lxc27c8bfb255bc)","Receive Total (lxc2e928844a56f)","Receive Total (lxc3300f810e11f)","Receive Total (lxc573a43e1f8d2)","Receive Total (lxc57952e484e48)","Receive Total (lxc6a491f057ac7)","Receive Total (lxc6cffc9e65af3)","Receive Total (lxc769c27b82d9e)","Receive Total (lxc7eb535e15136)","Receive Total (lxc8928d6f5d0b3)","Receive Total (lxc_health)","Receive Total (lxca81d0fc879aa)","Receive Total (lxcafe47d984b50)","Receive Total (lxccddc051f6a29)","Receive Total (lxccf3cdc47b0c9)","Receive Total (lxce6f24bb6c275)","Receive Total (lxcefae8cd05c83)","Receive Total (lxcefb8e72134a6)","Receive Total (lxcfed393d703a1)"
2023-03-11 11:02:00,0,70.1,12959,42640,0,0,66.4,132,0,7900,468,1159,1608,18034,38.5,1894,0,32.6,1705,327,447,66.4,40240,107,454,0,70.1,0,18161,45112,0,0,41.4,22.8,0,1156,260,657,1608,9393,19,206,0,26.4,17395,94.8,249,41,18351,237,256,0
2023-03-11 11:04:00,0,69.7,13239,44229,0,0,65.3,121,0,7841,466,1158,1612,18458,756,1865,0,32.3,1710,332,449,66.4,40247,103,451,0,69.7,0,18840,45750,0,0,40.7,20.9,0.389,1113,259,655,1611,9245,477,189,0,26.2,17403,96.5,251,41.8,18781,232,252,0
2023-03-11 11:06:00,0,69,13657,45477,0,0,66.4,126,0,7684,455,1159,1351,19133,38.9,1787,0,32.3,1644,333,437,65.7,40269,103,453,0,69,0,17944,53208,0,0,40.6,21.9,0,1152,253,655,1346,10372,19,192,0,26.2,17397,96.5,246,40.6,19401,232,253,0
2023-03-11 11:08:00,0,69.0,13231,42976,0,0,65.4,132,0,7918,455,1160,1880,19149,38.5,1930,0,32.3,1761,339,436,65.7,40240,103,456,0,69.0,0,18427,54213,0,0,40.3,22.8,0,1127,254,657,1880,9410,19.0,177,0,26.2,17396,97.8,245,40.6,19453,232,257,0
2023-03-11 11:10:00,0,70.5,12683,44365,0,0,66.4,131,0,7738,469,1158,1348,20510,38.5,1800,0,32.3,1608,339,447,65.7,40217,193,453,0,70.5,0,17932,44951,0,0,41.4,22.8,0,1123,261,655,1343,9403,19,181,0,26.2,17353,97.8,250,40.6,20762,266,253,0
2023-03-11 11:12:00,0,69,12876,42671,0,0,66.4,126,0,7872,466,1158,1613,18482,38.5,1868,0,32.3,1604,344,448,66.1,40159,106,452,0,69,0,18173,45560,0,0,41,21.9,0,1121,259,661,1605,9327,19,178,0,26.2,17296,104,252,41,18663,236,251,0
2023-03-11 11:14:00,0,69.4,12997,43809,0,0,65.7,126,0,8013,467,1158,1877,18099,757,1932,0,32.3,1686,350,450,65.7,40181,103,442,0,69.4,0,19093,46522,0,0,41,21.9,0,1113,261,656,1875,8739,483,189,0,26.2,17331,105,253,40.3,18367,232,253,0
2023-03-11 11:16:00,0,69.4,13619,45033,0,0,66.1,126,0,7597,467,1159,1080,19115,38.5,1729,0,32.3,1506,338,447,65.7,40169,104,442,0,69.4,0,17671,43818,0,0,41.4,21.9,0,1119,261,657,1080,10592,19.4,179,0,26.2,17322,97.5,249,40.3,19281,232,253,0
2023-03-11 11:18:00,0,69.7,13068,42803,0,0,66.4,121,0,7929,467,1159,1874,19123,38.5,1932,0,32.6,1714,344,447,66.1,40228,103,452,0,69.7,0,18425,45844,0,0,41.4,20.9,0,1125,260,657,1877,9235,19,171,0,26.4,17367,99.1,250,40.6,19407,233,252,0
2023-03-11 11:20:00,0,69.7,12168,43264,0,0,66.7,121,0,7733,466,1146,1342,21691,38.5,1803,0,32.3,1653,338,450,65.7,40262,194,452,0,69.7,0,17932,44544,0,0,41.7,20.9,0,1137,260,648,1342,8875,19.0,181,0,26.2,17396,97.8,253,41.0,21996,265,252,0
2023-03-11 11:22:00,0,69.7,12336,42236,0,0,66.4,121,0,7640,467,1158,1343,17858,38.5,1774,0,32.3,1634,355,448,65.7,40210,106,452,0,69.7,0,17904,44270,0,0,41.4,21.3,0,1132,260,655,1344,9031,19,183,0,26.2,17386,101,251,41,18149,235,251,0
2023-03-11 11:24:00,0,69.4,13765,44714,0,0,66.1,120,0,7963,465,1159,1879,18390,756,1912,0,32.3,1652,332,447,66.1,40190,105,456,0,69.4,0,19113,46547,0,0,40.6,20.9,0,1150,259,655,1878,9552,476,209,0,26.2,17290,96.1,249,41,18609,232,257,0
2023-03-11 11:26:00,0,69.4,13489,45014,0,0,65.0,126,0,7694,468,1160,1079,17963,38.5,1726,0,32.3,1484,331,448,66.1,40144,103,453,0,69.4,0,17680,44196,0,0,39.5,27.2,0,1198,266,657,1084,10463,19,211,0,26.2,17298,96.5,256,41,18089,232,259,0
2023-03-11 11:28:00,0,71.2,13306,43262,0,0,65.3,125,0,7969,467,1158,1872,18010,38.5,1912,0,32.6,1762,332,448,65.7,40245,9711,451,0,71.2,0,18421,55950,0,0,39.9,21.9,0,1148,261,655,1871,9493,19,204,0,26.4,17396,96.5,251,40.6,18293,294,251,0
2023-03-11 11:30:00,0,70.1,13458,44824,0,0,66.0,121,0,7861,453,1158,1608,20910,38.5,1855,0,32.6,1703,344,434,65.7,40292,9802,453,0,70.1,0,18214,55078,0,0,40.6,20.9,0,1127,252,655,1607,9929,19.0,203,0,26.4,17382,99.1,242,40.3,21191,328,253,0
2023-03-11 11:32:00,0,69,12635,42283,0,0,66.8,132,0,7657,457,1159,1347,18262,38.5,1771,0,32.6,1636,322,435,66.0,40261,109,454,0,69,0,17915,44254,0,0,41.4,22.8,0,1153,255,657,1345,9360,19,198,0,26.4,17393,93.9,243,40.6,18557,234,255,0
2023-03-11 11:34:00,0,69,13409,44188,0,0,66.1,121,0,7945,469,1161,1873,18766,755,1934,0,32.3,1762,322,450,66.4,40246,105,451,0,69,0,19093,46490,0,0,41,20.9,0,1162,262,657,1872,9176,476,187,0,26.2,17399,93.9,253,41.4,19092,231,251,0
2023-03-11 11:36:00,0,69.4,15222,46596,0,0,66.1,115,0,7650,467,1158,1344,18304,38.5,1791,0,32.3,1646,338,448,66.1,40235,118,447,0,69.4,0,17950,44410,0,0,41,20.0,0,1117,260,655,1344,11934,19,190,0,26.2,17390,97.8,251,41.4,18554,247,252,0
2023-03-11 11:38:00,0,69.0,14170,43641,0,0,66.0,132,0,7752,464,1158,1608,18220,38.5,1860,0,32.3,1731,338,447,66.4,40230,118,440,0,69.0,0,18162,45025,0,0,41.0,22.8,0,1096,258,655,1615,10604,19.0,193,0,26.2,17409,97.8,249,40.6,18524,246,246,0
2023-03-11 11:40:00,0,69,12903,44264,0,0,65.7,115,0,7850,467,1158,1610,26965,38.5,1865,0,32.3,1716,356,448,66.4,40316,193,454,0,69,0,18200,45219,0,0,40.3,20.0,0,1147,260,655,1608,9404,19,183,0,26.2,17397,102,250,40.6,27257,265,255,0
