"Time","ct4_global delete","ct4_global delete","ct4_global delete","ct_any4_global delete","ct_any4_global delete","ct_any4_global delete","ipcache update","ipcache update","ipcache update","lxc update","lxc update","lxc update","snat_v4_external delete","snat_v4_external delete","snat_v4_external delete","tunnel_map update","tunnel_map update","tunnel_map update"
2023-03-15 14:30:00,,,32.5,,,4.19,,0.0517,0.0517,,,,,,0.407,,,
2023-03-15 14:32:00,,,32.5,,,4.19,0.0517,,0.0517,,,,,,0.407,,,
2023-03-15 14:34:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 14:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 14:38:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 14:40:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0207,
2023-03-15 14:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 14:44:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 14:46:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 14:48:00,33.3,38.7,,3.01,2.40,,,,,,,,,15.8,,,,
2023-03-15 14:50:00,33.3,38.7,,3.01,2.40,,,,,,,,,15.8,,,,
2023-03-15 14:52:00,33.3,38.7,,3.01,2.40,,,,,,,,,15.8,,,,
2023-03-15 14:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 14:56:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 14:58:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0207,
2023-03-15 15:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 15:02:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 15:04:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 15:06:00,,,32.6,,,3.93,0.0517,,0.0517,,,,,,0.324,,,
2023-03-15 15:08:00,,,32.6,,,3.93,0.0517,,0.0517,,,,,,0.324,,,
2023-03-15 15:10:00,,,32.6,,,3.93,0.0517,,0.0517,,,,,,0.324,,,
2023-03-15 15:12:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 15:14:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 15:16:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 15:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 15:20:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 15:22:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 15:24:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 15:26:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 15:28:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 15:30:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 15:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 15:34:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 15:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 15:38:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
