"Time","FIN","RST","SYN","SYN-ACK"
2023-03-11 16:52:00,15.6,2.78,10.3,8.94
2023-03-11 16:54:00,15.7,2.66,10.5,9.04
2023-03-11 16:56:00,15.6,2.70,10.5,9.02
2023-03-11 16:58:00,15.7,2.72,10.5,9.06
2023-03-11 17:00:00,15.6,2.66,10.5,9.02
2023-03-11 17:02:00,15.7,2.68,10.5,9.04
2023-03-11 17:04:00,15.7,2.76,10.5,9.04
2023-03-11 17:06:00,15.7,2.70,10.5,9.02
2023-03-11 17:08:00,15.8,2.78,10.5,9.06
2023-03-11 17:10:00,15.6,2.78,10.4,9
2023-03-11 17:12:00,15.8,2.84,10.5,9.02
2023-03-11 17:14:00,15.5,2.74,10.4,8.96
2023-03-11 17:16:00,15.7,2.72,10.6,9.10
2023-03-11 17:18:00,20.6,4.68,13.2,11.4
2023-03-11 17:20:00,15.7,2.72,10.6,9.06
2023-03-11 17:22:00,15.6,2.64,10.5,9.02
2023-03-11 17:24:00,15.7,2.66,10.4,8.96
2023-03-11 17:26:00,15.7,2.78,10.6,9.10
2023-03-11 17:28:00,24,9.04,15.5,12.6
2023-03-11 17:30:00,15.9,2.88,10.5,9.02
2023-03-11 17:32:00,15.6,2.70,10.4,8.96
2023-03-11 17:34:00,15.7,2.84,10.5,9.02
2023-03-11 17:36:00,15.5,2.74,10.5,9.02
2023-03-11 17:38:00,27.4,13.4,17.7,13.7
2023-03-11 17:40:00,15.7,2.70,10.5,9.02
2023-03-11 17:42:00,15.7,2.72,10.3,8.94
2023-03-11 17:44:00,15.7,2.76,10.5,9.02
2023-03-11 17:46:00,15.5,2.68,10.5,9.02
2023-03-11 17:48:00,32.4,20.1,21.1,15.4
2023-03-11 17:50:00,15.6,2.74,10.3,8.94
2023-03-11 17:52:00,15.7,2.68,10.5,9.02
2023-03-11 17:54:00,15.5,2.74,10.3,8.94
2023-03-11 17:56:00,15.7,2.70,10.6,9.10
2023-03-11 17:58:00,35.7,24.5,23.3,16.5
2023-03-11 18:00:00,15.8,2.76,10.3,8.94
2023-03-11 18:02:00,15.7,2.72,10.5,9.02
2023-03-11 18:04:00,15.5,2.80,10.3,8.94
2023-03-11 18:06:00,15.7,2.84,10.6,9.10
2023-03-11 18:08:00,37.2,26.8,24.2,16.8
2023-03-11 18:10:00,15.9,2.78,10.6,9.08
2023-03-11 18:12:00,15.7,2.74,10.5,9.02
2023-03-11 18:14:00,15.6,2.72,10.3,8.94
2023-03-11 18:16:00,15.8,2.76,10.6,9.10
2023-03-11 18:18:00,37.1,26.8,24.4,16.9
2023-03-11 18:20:00,16.0,2.82,10.5,9.02
2023-03-11 18:22:00,15.6,2.78,10.3,8.94
2023-03-11 18:24:00,15.7,2.76,10.5,9.02
2023-03-11 18:26:00,15.6,2.72,10.5,9.02
2023-03-11 18:28:00,31.7,24.0,21.3,14.3
2023-03-11 18:30:00,15.8,2.74,10.5,9.02
2023-03-11 18:32:00,15.6,2.68,10.3,8.94
2023-03-11 18:34:00,15.7,2.76,10.5,9.02
2023-03-11 18:36:00,15.5,2.70,10.5,9.02
2023-03-11 18:38:00,28.3,19.7,19.1,13.2
2023-03-11 18:40:00,15.7,2.82,10.3,8.94
2023-03-11 18:42:00,15.8,2.70,10.5,9.02
2023-03-11 18:44:00,15.6,2.74,10.3,8.94
2023-03-11 18:46:00,15.7,2.72,10.6,9.08
2023-03-11 18:48:00,25,15.3,16.9,12.1
2023-03-11 18:50:00,15.7,2.70,10.4,8.96
2023-03-11 18:52:00,15.8,2.82,10.5,9.02
2023-03-11 18:54:00,15.6,2.74,10.3,8.94
2023-03-11 18:56:00,15.8,2.72,10.6,9.10
2023-03-11 18:58:00,21.6,10.9,14.6,10.9
2023-03-11 19:00:00,15.9,2.84,10.5,9.02
2023-03-11 19:02:00,15.7,2.72,10.4,8.96
2023-03-11 19:04:00,15.7,2.68,10.5,9.02
2023-03-11 19:06:00,15.7,2.74,10.6,9.10
2023-03-11 19:08:00,18.5,6.54,12.4,9.86
2023-03-11 19:10:00,15.8,2.78,10.6,9.08
2023-03-11 19:12:00,15.7,2.74,10.3,8.94
2023-03-11 19:14:00,15.7,2.72,10.5,9.02
2023-03-11 19:16:00,15.7,2.86,10.5,9.02
2023-03-11 19:18:00,15.9,2.84,10.7,9.10
2023-03-11 19:20:00,15.6,2.80,10.3,8.94
2023-03-11 19:22:00,15.9,2.70,10.6,9.06
