"Time","192.168.0.211:10250 pod","192.168.0.221:10250 pod","192.168.0.222:10250 pod","192.168.0.211:10250 worker","192.168.0.221:10250 worker","192.168.0.222:10250 worker"
2023-03-14 03:44:00,0,0,0,0.438,0.404,0.396
2023-03-14 03:48:00,0,0,0,0.442,0.383,0.388
2023-03-14 03:52:00,0,0,0,0.442,0.400,0.400
2023-03-14 03:56:00,0,0,0,0.425,0.396,0.404
2023-03-14 04:00:00,0,0,0,0.446,0.388,0.396
2023-03-14 04:04:00,0,0,0,0.450,0.396,0.388
2023-03-14 04:08:00,0,0,0,0.433,0.421,0.404
2023-03-14 04:12:00,0,0,0,0.454,0.400,0.392
2023-03-14 04:16:00,0,0,0,0.429,0.400,0.425
2023-03-14 04:20:00,0,0,0,0.429,0.379,0.375
2023-03-14 04:24:00,0,0,0,0.438,0.404,0.404
2023-03-14 04:28:00,0,0,0,0.467,0.396,0.400
2023-03-14 04:32:00,0,0,0,0.408,0.396,0.388
2023-03-14 04:36:00,0,0,0,0.433,0.404,0.396
2023-03-14 04:40:00,0,0,0,0.442,0.400,0.404
2023-03-14 04:44:00,0,0,0,0.442,0.400,0.383
2023-03-14 04:48:00,0,0,0,0.429,0.375,0.392
2023-03-14 04:52:00,0,0,0,0.450,0.413,0.408
2023-03-14 04:56:00,0,0,0,0.425,0.417,0.392
2023-03-14 05:00:00,0,0,0,0.458,0.379,0.404
2023-03-14 05:04:00,0,0,0,0.425,0.396,0.392
2023-03-14 05:08:00,0,0,0,0.433,0.392,0.396
2023-03-14 05:12:00,0,0,0,0.429,0.413,0.396
2023-03-14 05:16:00,0,0,0,0.446,0.404,0.396
2023-03-14 05:20:00,0,0,0,0.442,0.379,0.396
2023-03-14 05:24:00,0,0,0,0.429,0.413,0.379
2023-03-14 05:28:00,0,0,0,0.446,0.396,0.392
2023-03-14 05:32:00,0,0,0,0.450,0.392,0.408
2023-03-14 05:36:00,0,0,0,0.446,0.392,0.408
2023-03-14 05:40:00,0,0,0,0.425,0.404,0.383
