"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf4214ee191c8)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf4214ee191c8)","Receive Total (lxcf97c652df312)"
2023-03-13 13:04:00,0,79.6,25543,53712,0,0,0.389,0,0,173,293,136,455,65.8,450,38.5,0,584,32.0,0,38.5,1972,4.03,450,0,65.8,41703,19,1980,7225,1888,1871,79.6,0,36144,63441,0,0,0,0,0,225,114,36.6,255,40.3,255,19,0,697,26.0,0,19,182,3.90,252,0,41,20183,38.5,196,1127,100,1864
2023-03-13 13:06:00,0,77.4,34962,88344,0,0,0,0,62,173,291,124,455,65.7,452,502,0,583,32.3,0,38.5,1735,4.27,447,0,65.7,41743,19.4,1750,6888,1680,1083,77.4,0,58593,89455,0,0,0.389,0,151,226,115,29.0,256,40.3,257,375,0,694,26.2,0,19,149,4.13,249,0,41.4,27668,38.5,174,1125,100,1074
2023-03-13 13:08:00,0,77.4,25367,53315,0,0,0,0,0,173,287,130,452,65.7,448,38.5,0,582,32.0,0,38.5,1870,4.27,450,0,66.1,41734,19,1890,7096,521,1609,77.4,0,35920,61342,0,0,0,0,0,225,108,30.3,251,40.3,253,19,0,695,26.0,0,19.4,158,4.52,251,0,42.1,20261,38.5,193,1094,90.7,1606
2023-03-13 13:10:00,0,74.9,22041,49719,0,0,0,0,0,173,285,129,454,65.7,446,38.5,0,584,31.6,0,38.5,1811,4.27,449,0,65.8,41651,19,1836,6886,139,1344,74.9,0,35582,60045,0,0,0,0,0,225,105,30.3,254,40.3,249,19,0,697,25.5,0,19,175,4.13,251,0,41.7,17194,38.5,200,1090,71.7,1341
2023-03-13 13:12:00,0,78.6,32136,60610,0,0,0,0,0,172,293,136,456,65.3,448,38.5,0,585,31.6,0,38.5,1886,4.27,450,0,66.1,41692,19,1912,7116,228,1608,78.6,0,35889,61174,0,0,0,0,0,225,120,31.6,257,40.3,253,19,0,696,25.5,0,19,163,4.13,252,0,42.1,27050,38.5,185,1122,78.0,1597
2023-03-13 13:14:00,0,77.4,25386,53373,0,0,0,0,0,171,290,136,452,65.7,449,38.5,0,585,31.6,0,38.5,1954,4.50,452,0,65.8,41700,19,1982,7181,288,1873,77.4,0,36165,61528,0,0,0,0,0,226,116,31.6,252,40.3,255,19,0,697,25.5,0,19,154,4.37,254,0,41.4,20035,38.5,186,1105,74.6,1860
2023-03-13 13:16:00,0,77.8,37319,90814,0,0,0,0,62,173,285,130,452,65.7,450,662,0.389,585,31.6,0,38.5,1831,4.27,449,0,66.1,41762,19,1863,6948,2421,1351,77.8,0,58909,90685,0,0,0,0,151,225,104,30.3,252,40.3,250,442,0,696,25.5,0,19,198,4.13,251,0,41.4,29737,38.5,231,1115,103,1342
2023-03-13 13:18:00,0,79.6,26316,58332,0.389,0,0,0,62,172,292,130,455,65.7,445,662,0,587,31.6,0,38.5,1899,4.03,448,0,65.8,41636,19,1921,7123,2511,1610,79.6,0,39987,68616,0,0,0,0,151,226,118,30.3,255,40.3,249,442,0,696,25.5,0,19,184,3.90,250,0,40.6,20248,38.5,209,1106,111,1600
2023-03-13 13:20:00,0,79.3,24698,52669,0.389,0,0,0,0,174,292,119,455,66.1,452,38.5,0,586,31.6,0,38.9,1877,4.03,450,0,65.7,41616,19,1898,7041,732,1608,79.3,0,35831,61484,0,0,0,0,0,225,118,27.7,255,41,264,19,0,696,25.5,0,19,191,3.90,252,0,40.3,19586,38.5,216,1114,87.8,1601
2023-03-13 13:22:00,0,74.5,34517,63276,0,0,0,0,0,173,286,124,440,66.1,447,38.5,0,589,31.6,0,38.9,1743,4.27,450,0,65.9,41728,19,1760,6875,80.1,1080,74.5,0,35386,59698,0,0,0,0,0,225,106,29.0,245,41,252,19,0,698,25.5,0,19,183,4.13,252,0,40.3,29961,38.5,210,1142,75.5,1070
2023-03-13 13:24:00,0,75.2,24587,52583,0,0,0,0,0,173,286,136,440,65.7,446,38.5,0,587,32.0,0,38.5,1962,4.27,437,0.389,65.8,41675,19,1972,7158,300,1879,75.2,0,36145,61577,0,0,0,0,0,226,103,31.6,245,40.3,249,19,0,700,26.0,0,19,195,4.13,244,0,40.6,19204,38.5,211,1118,87.3,1869
2023-03-13 13:26:00,0,78.2,36570,90079,0,0,0,0,62,173,289,130,456,66.1,448,696,0,586,32.3,0,38.5,1793,4.27,450,0.389,66.1,41743,19,1810,6890,139,1338,78.2,0,58991,88377,0,0,0,0,151,225,112,30.3,256,40.6,253,445,0,700,26.2,0,19,188,4.13,252,0,41,28946,38.5,214,1130,70.9,1337
2023-03-13 13:28:00,0,83.3,27854,77105,0,0,0,0,62,171,290,118,455,66.1,449,696,0,585,32.0,0,38.5,1877,4.27,450,0,65.7,41702,19,1892,7041,229,1597,83.3,0,55931,85285,0,0,0,0,151,225,112,27.7,255,40.6,254,445,0,702,26.0,0,19,175,4.13,252,0,42.1,20276,38.5,191,1084,78.4,1598
2023-03-13 13:30:00,0,76.0,23923,51839,0,0,0,0,0,173,290,119,452,65.3,447,38.5,0,586,31.6,0.389,38.5,1951,4.27,449,0,65.7,41606,19,1973,7141,288,1869,76.0,0,36086,61556,0,0,0,0,0,225,113,27.7,252,39.9,251,19,0,701,25.5,0,19,174,4.13,251,0,42.1,18549,38.5,189,1128,74.6,1871
2023-03-13 13:32:00,0,74.9,28614,56767,0,0,0,0,0,176,287,130,455,65.7,446,38.5,0,589,31.6,0,38.5,1707,4.27,447,0,65.7,41647,19,1734,6703,71.0,1080,74.9,0,35337,59263,0,0,0,0,0,224,104,30.3,255,40.3,250,19,0,698,25.5,0,19,156,4.13,249,0,41.4,24053,38.5,200,1089,70.6,1075
2023-03-13 13:34:00,0,81.1,23863,51728,0,0,0,0,0,175,289,136,455,66.5,449,38.5,0,586,31.6,0,38.5,1959,4.50,452,0,65.8,41635,19,1985,7126,297,1875,81.1,0,36114,61610,0,0.389,0,0,0,225,111,31.6,260,41.1,253,19,0,701,25.5,0.389,19,187,4.37,254,0,40.6,18480,38.5,211,1107,79.9,1864
2023-03-13 13:36:00,0,83.3,35797,89122,0,0,0,0,62,175,290,130,454,66.5,446,697,0,581,31.6,0,38.5,1816,4.27,448,0,65.8,41719,19,1830,6962,1734,1347,83.3,0,58939,90092,0,0,0,0,151,225,116,30.7,259,41.5,250,445,0,699,25.5,0,19,179,4.13,249,0,40.3,28188,38.5,193,1073,96.6,1338
2023-03-13 13:38:00,0,80,28109,80838,0,0,0,0,62.4,175,291,130,452,65.7,447,697,0,585,31.6,0,38.5,1854,4.27,448,0,66.1,41631,19,1879,7071,1823,1611,80,0,59149,90778,0,0,0,0,151,223,116,30.3,252,40.6,251,445,0,697,25.5,0,19,154,4.13,250,0,40.6,20218,38.5,183,1073,103,1598
