"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6237b799514f)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd39cb2af2558)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6237b799514f)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd39cb2af2558)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-23 04:00:00,0,10909,37780,171568,0,1922,473,163,32.1,132,1998,65.8,416,0,11803,81.6,3.93,332,147,87.3,0,18318,1955,459,32.3,1665,66.0,19,336,0,0,451,143021,150,0,10909,0,19107,104361,0,187,264,95.2,22.2,31.6,2205,40.3,6287,0.389,2966,3681,4.32,76.7,128,68.0,0,18203,218,259,26.2,17067,42.5,38.5,398,0,0,252,6711,597,0
2023-03-23 04:02:00,0,10764,37033,189619,0,1714,473,163,32.1,126,1858,66.6,414,0,13080,81.9,4.30,336,147,87.4,0,18311,1739,460,32.3,1472,66.9,19,344,0,0.389,452,146744,151,0,10764,0,18947,106508,0,186,265,95.3,22.7,30.3,2299,42.5,6288,0.389,2509,3710,4.73,78.0,131,66.2,0,18188,205,264,26.2,17070,43.2,38.5,415,0.389,0,253,6890,593,0
2023-03-23 04:04:00,0,11628,60994,219161,0.389,1940,473,157,30.7,132,1992,66.6,1712,0,14321,80.3,5.57,325,146,87.3,0,18290,1947,457,32.3,1602,66.2,281,397,0,0.389,452,151013,21971,0,11628,0,22431,113006,0,203,265,88.1,20.1,36.5,2200,42.5,25801,0,3055,3663,6.32,75.8,130,67.7,0,18176,210,256,26.2,17078,42.1,419,503,0.389,0,254,7413,24543,0
2023-03-23 04:06:00,0,13103,37603,169133,0.389,1866,476,166,32.9,121,1988,66.2,416,0,10484,80.7,5,348,147,87.4,0,18305,1883,461,32.3,1532,65.8,19,336,0,0,453,142570,177,0,13103,0,21197,105281,0,197,267,104,23.1,29.0,2326,42.1,6290,0,2799,3716,5.38,79.6,129,68.0,0,18189,220,260,26.2,17089,42.1,38.5,399,0,0,253,6706,617,0
2023-03-23 04:08:00,0,14167,37435,169956,0,1793,474,166,32.9,132,1938,65.4,415,0,15215,118,3.73,344,148,86.6,0,18345,1819,461,32.3,1500,66.6,19,359,0,0,440,146771,168,0,14167,0,22311,110314,0,187,265,104,23.5,31.6,2331,41.4,6289,0,2745,3785,3.73,78.6,129,66.6,0.389,18209,225,259,26.2,17087,43.2,38.9,444,0,0,246,6902,611,0
2023-03-23 04:10:00,0,12236,37819,169937,0,1940,470,160,31.5,132,1992,65.8,415,0,10878,79.2,5.33,343,148,87.3,0,18342,1963,455,31.8,1628,66.9,19,337,0,0,439,142720,170,0,12236,0,20399,105505,0,200,262,91.5,21.0,31.6,2191,41.7,6287,0,2943,3617,6.16,78.6,133,67.3,0.389,18211,228,253,25.7,17091,43.6,38.9,398,0,0,246,6904,598,0
2023-03-23 04:12:00,0,9977,37273,167907,0,1801,470,165,32.1,121,1921,65.4,411,0,13628,78.6,6.60,348,146,87.3,0,18305,1806,456,31.6,1486,66.2,19,349,0,0,454,145906,180,0,9977,0,18114,104397,0,197,262,98.2,27.4,29.0,2298,41,6290,0,2724,3570,13.4,79.6,130,66.2,0,18193,206,257,25.5,17079,43.2,38.5,427,0,0.389,257,6942,602,0
2023-03-23 04:14:00,0,10579,97433,234775,0,1873,469,166,32.1,121,1939,65.8,2928,0,14005,80.3,3.13,348,149,86.6,0,18313,1886,457,31.8,1567,65.8,82.1,357,0,0,455,151641,57440,0,10579,0,24597,115555,0,203,262,100,28.3,29.0,2195,41.7,57206,0,2964,3633,3.13,79.6,128,65.5,0,18196,223,257,25.7,17098,42.1,142,447,0,0,261,7895,63441,0
2023-03-23 04:16:00,0,12510,132263,273430,0,1867,473,163,32.1,126,1981,65.8,5129,0,10444,81.5,2.90,349,149,85.2,0,18325,1897,457,32.3,1602,66.3,802,448,0,0,453,149718,89427,0,12510,0,31017,121033,0,192,264,101,27.2,30.3,2316,42.1,85982,0,2766,3726,2.90,79.2,129,64.7,0,18203,233,256,26.2,17092,41.4,1362,606,0,0,259,8292,98604,0
2023-03-23 04:18:00,0,12934,51479,183265,0,1790,469,164,32.9,132,1921,65.9,1330,0.389,13451,125,6.18,338,148,86.4,0,18299,1827,455,32.3,1570,65.8,348,409,0,0,452,148999,13113,0,12934,0,22989,111993,0,188,262,97.1,22.5,31.6,2309,41.7,17946,0,2724,3695,6.62,77.3,135,66.2,0,18191,225,253,26.2,17064,40.6,603,525,0,0,254,7183,14804,0.389
