"Time","avg","min","max"
2023-03-17 02:40:00,87.6,87.6,87.6
2023-03-17 02:42:00,162,162,162
2023-03-17 02:44:00,89.0,89.0,89.0
2023-03-17 02:46:00,92.2,92.2,92.2
2023-03-17 02:48:00,87.5,87.5,87.5
2023-03-17 02:50:00,86.8,86.8,86.8
2023-03-17 02:52:00,222,222,222
2023-03-17 02:54:00,86.9,86.9,86.9
2023-03-17 02:56:00,90.9,90.9,90.9
2023-03-17 02:58:00,87.2,87.2,87.2
2023-03-17 03:00:00,86.7,86.7,86.7
2023-03-17 03:02:00,150,150,150
2023-03-17 03:04:00,87.4,87.4,87.4
2023-03-17 03:06:00,92.5,92.5,92.5
2023-03-17 03:08:00,86.6,86.6,86.6
2023-03-17 03:10:00,86.1,86.1,86.1
2023-03-17 03:12:00,89.1,89.1,89.1
2023-03-17 03:14:00,89.7,89.7,89.7
2023-03-17 03:16:00,93.8,93.8,93.8
2023-03-17 03:18:00,87.7,87.7,87.7
2023-03-17 03:20:00,87.1,87.1,87.1
2023-03-17 03:22:00,89.0,89.0,89.0
2023-03-17 03:24:00,98.6,98.6,98.6
2023-03-17 03:26:00,93.5,93.5,93.5
2023-03-17 03:28:00,86.6,86.6,86.6
2023-03-17 03:30:00,87.4,87.4,87.4
2023-03-17 03:32:00,87.5,87.5,87.5
2023-03-17 03:34:00,181,181,181
2023-03-17 03:36:00,91.7,91.7,91.7
2023-03-17 03:38:00,87.0,87.0,87.0
2023-03-17 03:40:00,86.6,86.6,86.6
2023-03-17 03:42:00,86.9,86.9,86.9
2023-03-17 03:44:00,209,209,209
2023-03-17 03:46:00,90.7,90.7,90.7
2023-03-17 03:48:00,86.2,86.2,86.2
2023-03-17 03:50:00,86.3,86.3,86.3
2023-03-17 03:52:00,89.3,89.3,89.3
2023-03-17 03:54:00,130,130,130
2023-03-17 03:56:00,92.2,92.2,92.2
2023-03-17 03:58:00,88.7,88.7,88.7
2023-03-17 04:00:00,88.6,88.6,88.6
2023-03-17 04:02:00,88.9,88.9,88.9
2023-03-17 04:04:00,86.9,86.9,86.9
2023-03-17 04:06:00,91.0,91.0,91.0
2023-03-17 04:08:00,89.1,89.1,89.1
2023-03-17 04:10:00,88.7,88.7,88.7
2023-03-17 04:12:00,87.9,87.9,87.9
2023-03-17 04:14:00,86.8,86.8,86.8
2023-03-17 04:16:00,110,110,110
2023-03-17 04:18:00,87.6,87.6,87.6
2023-03-17 04:20:00,86.8,86.8,86.8
2023-03-17 04:22:00,86.6,86.6,86.6
2023-03-17 04:24:00,87.4,87.4,87.4
2023-03-17 04:26:00,195,195,195
2023-03-17 04:28:00,88.0,88.0,88.0
2023-03-17 04:30:00,88.3,88.3,88.3
2023-03-17 04:32:00,88.9,88.9,88.9
2023-03-17 04:34:00,87.0,87.0,87.0
2023-03-17 04:36:00,203,203,203
2023-03-17 04:38:00,87.4,87.4,87.4
2023-03-17 04:40:00,87.5,87.5,87.5
2023-03-17 04:42:00,88.6,88.6,88.6
2023-03-17 04:44:00,89.3,89.3,89.3
2023-03-17 04:46:00,117,117,117
2023-03-17 04:48:00,88.7,88.7,88.7
2023-03-17 04:50:00,86.8,86.8,86.8
2023-03-17 04:52:00,89.9,89.9,89.9
2023-03-17 04:54:00,85.9,85.9,85.9
2023-03-17 04:56:00,90.8,90.8,90.8
2023-03-17 04:58:00,87.1,87.1,87.1
2023-03-17 05:00:00,87.0,87.0,87.0
2023-03-17 05:02:00,88.1,88.1,88.1
2023-03-17 05:04:00,87.0,87.0,87.0
2023-03-17 05:06:00,93.5,93.5,93.5
2023-03-17 05:08:00,108,108,108
2023-03-17 05:10:00,86.0,86.0,86.0
2023-03-17 05:12:00,88.1,88.1,88.1
2023-03-17 05:14:00,86.0,86.0,86.0
2023-03-17 05:16:00,92.8,92.8,92.8
2023-03-17 05:18:00,186,186,186
2023-03-17 05:20:00,86.6,86.6,86.6
