"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-16 22:02:00,3.24,1.62,,6.02,8.62,3.28,2.54,2.12,,5.16,1.62,1.76
2023-03-16 22:04:00,3.32,1.52,,6.18,8.74,3.04,2.46,2,,5.22,1.76,1.68
2023-03-16 22:06:00,3.50,1.88,1.88,6.18,8.76,3.12,2.50,2.04,,5.22,1.80,
2023-03-16 22:08:00,3.44,1.66,,6,8.12,3.22,2.54,2.04,,5.16,1.68,1.70
2023-03-16 22:10:00,3.40,,,6.36,9.32,3.24,2.60,2.10,4.70,5.24,1.70,1.68
2023-03-16 22:12:00,3.32,1.62,,6.10,9.26,3.26,2.48,2.08,,5.24,1.72,1.68
2023-03-16 22:14:00,3.38,1.52,,6.02,9.30,3.30,2.52,2.16,,5.26,1.70,1.68
2023-03-16 22:16:00,3.52,1.88,1.82,6.12,9.18,3.34,2.46,2.12,,5.20,1.70,
2023-03-16 22:18:00,3.26,1.58,,6.26,9.22,3.20,2.52,2.14,,5.24,1.72,1.68
2023-03-16 22:20:00,3.20,1.52,,6.32,9.16,3.16,2.60,2.08,,5.22,1.80,1.68
2023-03-16 22:22:00,3.32,1.62,,6.10,9.34,3.16,2.54,2.16,,5.14,1.66,1.68
2023-03-16 22:24:00,3.36,1.52,,6.04,9.30,3.32,2.58,2,,5.26,1.70,1.68
2023-03-16 22:26:00,3.38,1.88,1.84,6.02,9.02,3.30,2.54,2.06,,5.08,1.76,
2023-03-16 22:28:00,3.42,1.58,,6.12,8.86,3.30,2.50,2,,5.18,1.78,1.68
2023-03-16 22:30:00,3.38,1.52,,6.40,9.02,3.26,2.50,2,,5.20,1.76,1.70
2023-03-16 22:32:00,3.22,,1.72,5.96,16.2,3.22,2.50,2.10,47.4,5.24,1.72,
2023-03-16 22:34:00,3.08,1.52,,6.12,8.98,3.24,2.60,2.10,,5.20,1.62,1.68
2023-03-16 22:36:00,3.28,1.88,1.84,6.16,9.22,3.28,2.50,2.06,,5.20,1.72,
2023-03-16 22:38:00,3.32,1.58,,6.02,8.94,3.10,2.46,1.96,,5.26,1.74,1.68
2023-03-16 22:40:00,3.46,1.52,,6.10,8.86,3.28,2.62,2.04,,5.10,1.72,1.68
2023-03-16 22:42:00,3.14,,1.76,5.98,16.1,3.28,2.54,2.06,98.9,5.16,1.82,
2023-03-16 22:44:00,3.44,1.70,,5.90,9.04,3.30,2.46,2.06,,5.10,1.72,1.68
2023-03-16 22:46:00,3.40,2.06,1.80,6.02,8.68,3.26,2.50,2.14,,5.20,1.78,
2023-03-16 22:48:00,3.30,1.58,,6.04,8.88,3.30,2.56,1.98,,5.20,1.68,1.70
2023-03-16 22:50:00,3.34,1.52,,6.16,8.74,3.30,2.58,2.10,,5.18,1.78,1.64
2023-03-16 22:52:00,3.40,,,6.00,9.28,3.38,2.58,2.12,53.2,5.22,1.76,1.68
2023-03-16 22:54:00,3.36,1.52,,6.04,8.82,3.34,2.50,2.14,,5.18,1.68,1.70
2023-03-16 22:56:00,3.56,1.88,1.82,5.88,8.50,3.18,2.52,2.06,,5.14,,1.70
