"Time","Drop","PolicyVerdict","Trace"
2023-03-15 21:04:00,0.0400,1.10,84.5
2023-03-15 21:06:00,0.0200,1.46,88.5
2023-03-15 21:08:00,0.0800,1.12,130
2023-03-15 21:10:00,0.0200,1.26,84.7
2023-03-15 21:12:00,0,1.10,86.0
2023-03-15 21:14:00,0,1.10,84.5
2023-03-15 21:16:00,0,1.62,88.6
2023-03-15 21:18:00,0,1.10,208
2023-03-15 21:20:00,0.0600,1.26,84.6
2023-03-15 21:22:00,0,1.26,85.3
2023-03-15 21:24:00,0.0400,1.10,84.3
2023-03-15 21:26:00,0.0600,1.62,88.6
2023-03-15 21:28:00,0.0600,1.10,169
2023-03-15 21:30:00,0.0400,1.26,87.3
2023-03-15 21:32:00,0.0200,1.26,87.4
2023-03-15 21:34:00,0,1.24,85.7
2023-03-15 21:36:00,0,1.62,89.5
2023-03-15 21:38:00,0,1.10,91.1
2023-03-15 21:40:00,0,1.26,84.4
2023-03-15 21:42:00,0,1.12,87.8
2023-03-15 21:44:00,0.0200,1.30,87.5
2023-03-15 21:46:00,0.0200,1.62,89.1
2023-03-15 21:48:00,0,1.10,83.6
2023-03-15 21:50:00,0.0400,1.10,84.9
2023-03-15 21:52:00,0.0800,1.10,84.6
2023-03-15 21:54:00,0.0200,1.26,85.5
2023-03-15 21:56:00,0.0600,1.62,90.2
2023-03-15 21:58:00,0.0400,1.10,84.2
2023-03-15 22:00:00,0,1.26,151
2023-03-15 22:02:00,0,1.10,85.5
2023-03-15 22:04:00,0,1.26,86.1
2023-03-15 22:06:00,0.0200,1.62,89.8
2023-03-15 22:08:00,0.0400,1.24,85.2
2023-03-15 22:10:00,0.0400,1.10,217
2023-03-15 22:12:00,0.0200,1.10,85.5
2023-03-15 22:14:00,0.0400,1.26,87.5
2023-03-15 22:16:00,0.0200,1.46,90.0
2023-03-15 22:18:00,0,1.28,84.6
2023-03-15 22:20:00,0,1.10,151
2023-03-15 22:22:00,0,1.10,85.7
2023-03-15 22:24:00,0,1.26,86.8
2023-03-15 22:26:00,0,1.50,90.1
2023-03-15 22:28:00,0,1.10,84.8
2023-03-15 22:30:00,0.0600,1.26,86.3
2023-03-15 22:32:00,0,1.22,85.1
2023-03-15 22:34:00,0,1.26,85.0
2023-03-15 22:36:00,0.0400,1.46,89.0
2023-03-15 22:38:00,0.0400,1.10,86.3
2023-03-15 22:40:00,0.0200,1.26,86.1
2023-03-15 22:42:00,0.0200,1.26,87.4
