"Time","FIN","RST","SYN","SYN-ACK"
2023-03-15 21:16:00,13.6,2.78,9.50,8.02
2023-03-15 21:18:00,34.2,25.2,22.4,15.8
2023-03-15 21:20:00,13.6,2.76,9.38,7.94
2023-03-15 21:22:00,13.6,2.82,9.40,7.96
2023-03-15 21:24:00,13.5,2.70,9.30,7.90
2023-03-15 21:26:00,13.6,2.68,9.50,8.02
2023-03-15 21:28:00,25.8,20,18.0,11.6
2023-03-15 21:30:00,13.5,2.82,9.38,7.94
2023-03-15 21:32:00,13.7,2.80,9.40,7.96
2023-03-15 21:34:00,13.6,2.72,9.34,7.92
2023-03-15 21:36:00,13.6,2.68,9.50,8.02
2023-03-15 21:38:00,14.1,3.82,9.88,7.90
2023-03-15 21:40:00,13.6,2.72,9.38,7.94
2023-03-15 21:42:00,13.9,2.90,9.36,7.94
2023-03-15 21:44:00,13.8,2.80,9.52,8.04
2023-03-15 21:46:00,13.6,2.68,9.50,8.02
2023-03-15 21:48:00,13.4,2.70,9.30,7.90
2023-03-15 21:50:00,13.4,2.68,9.30,7.90
2023-03-15 21:52:00,13.7,2.82,9.32,7.92
2023-03-15 21:54:00,13.5,2.72,9.38,7.94
2023-03-15 21:56:00,13.6,2.70,9.50,8.02
2023-03-15 21:58:00,13.4,2.70,9.30,7.90
2023-03-15 22:00:00,25.3,13.0,16.4,13.0
2023-03-15 22:02:00,13.5,2.72,9.32,7.92
2023-03-15 22:04:00,13.6,2.76,9.38,7.94
2023-03-15 22:06:00,13.6,2.66,9.50,8.02
2023-03-15 22:08:00,13.7,2.80,9.34,7.92
2023-03-15 22:10:00,35.0,26.7,23.2,15.8
2023-03-15 22:12:00,13.6,2.72,9.32,7.92
2023-03-15 22:14:00,13.6,2.76,9.38,7.94
2023-03-15 22:16:00,13.6,2.74,9.42,7.98
2023-03-15 22:18:00,13.5,2.70,9.42,7.96
2023-03-15 22:20:00,23.3,16.7,16.4,10.7
2023-03-15 22:22:00,13.6,2.80,9.32,7.92
2023-03-15 22:24:00,13.6,2.72,9.38,7.94
2023-03-15 22:26:00,13.6,2.80,9.50,8.02
2023-03-15 22:28:00,13.5,2.66,9.30,7.90
2023-03-15 22:30:00,13.4,2.68,9.38,7.94
