"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-15 15:36:00,3.58,,1.88,2.16,6.54,8.60,3.20,2.56,1.98,,5.16,1.70,
2023-03-15 15:38:00,3.16,,1.58,,6.26,8.68,3.16,2.54,2.10,,5.18,1.78,1.66
2023-03-15 15:40:00,3.26,,1.52,,5.96,8.72,3.32,2.44,1.96,,5.14,1.70,1.68
2023-03-15 15:42:00,3.32,,1.62,,6.16,8.92,3.18,2.50,1.96,,5.10,1.74,1.68
2023-03-15 15:44:00,3.32,,1.70,,6.06,8.58,3.26,2.62,2.04,20.8,5.26,1.78,
2023-03-15 15:46:00,3.68,,2.06,2.20,6.24,9.18,3.30,2.52,2.10,,5.22,,1.68
2023-03-15 15:48:00,3.38,,1.58,,6.02,9.12,3.32,2.50,2.04,,5.22,1.64,1.70
2023-03-15 15:50:00,3.42,,1.52,,6,9.18,3.34,2.48,2.06,,5.12,1.70,1.68
2023-03-15 15:52:00,3.48,,1.62,,6.10,9,3.18,2.52,2.06,,5.18,1.78,1.68
2023-03-15 15:54:00,3.40,,1.52,,6,8.84,3.30,2.52,2.10,,5.16,1.70,1.66
2023-03-15 15:56:00,3.58,,1.88,2.16,6.32,9.10,3.32,2.66,2.04,,5.16,1.72,
2023-03-15 15:58:00,3.36,,1.58,,6,9.02,3.26,2.50,2.10,,5.10,1.76,1.70
2023-03-15 16:00:00,3.20,,1.52,,6.06,8.98,3.28,2.56,2.02,,5.18,1.72,1.68
2023-03-15 16:02:00,3.46,,1.62,,6.08,8.96,3.38,2.52,2.08,,5.16,1.68,1.66
2023-03-15 16:04:00,3.36,,1.52,,5.82,9.04,3.30,2.48,2.10,,5.14,1.78,1.64
2023-03-15 16:06:00,3.54,,1.88,3.06,6.24,15.9,3.22,2.52,2.04,16.8,5.14,,
2023-03-15 16:08:00,3.28,,1.66,,6.14,8.98,3.24,2.56,2,,5.18,1.76,1.68
2023-03-15 16:10:00,3.22,,1.52,,6.12,9,3.12,2.56,1.98,,5.20,1.66,1.68
2023-03-15 16:12:00,3.36,,1.62,,6.18,8.48,3.20,2.50,2.04,,5.10,1.68,1.66
2023-03-15 16:14:00,3.14,,1.52,,6.04,9.14,2.96,2.52,1.96,,5.22,1.72,1.80
2023-03-15 16:16:00,3.58,,1.88,3.12,6.14,16.3,3.30,2.56,1.84,86.9,5.22,,
2023-03-15 16:18:00,3.06,,1.58,,6.14,9.26,3.18,2.48,2.16,,5.22,1.76,1.68
2023-03-15 16:20:00,3.34,,1.52,,6.40,8.92,3.22,2.52,2.02,,5.14,1.72,1.68
2023-03-15 16:22:00,3.38,,1.62,,6.14,8.96,3.22,2.56,2.10,,5.18,1.72,1.68
2023-03-15 16:24:00,3.46,,1.52,,6.24,8.78,3.26,2.50,2.06,,5.22,1.76,1.68
2023-03-15 16:26:00,3.56,,1.88,2.18,6.40,9.02,3.42,2.58,2.12,82.0,5.22,,
2023-03-15 16:28:00,3.38,,1.58,,6.08,8.82,3.34,2.54,2.12,,5.24,1.78,1.66
2023-03-15 16:30:00,3.32,,1.52,,6.22,9.12,3.18,2.52,2.04,,5.20,1.70,1.68
2023-03-15 16:32:00,3.32,,1.62,,6.10,8.76,3.38,2.54,2.16,,5.16,1.68,1.68
2023-03-15 16:34:00,3.38,,1.52,,6.12,8.94,3.28,2.52,2.04,,5.18,1.72,1.70
2023-03-15 16:36:00,3.60,,1.88,2.20,6.34,9.02,3.22,2.48,2.06,13.6,5.18,,
2023-03-15 16:38:00,3.46,,1.58,,6.22,8.90,3.38,2.62,2.12,,5.24,1.76,1.76
2023-03-15 16:40:00,3.24,,1.52,,6.12,9.02,3.26,2.52,2.08,,5.24,1.72,1.74
2023-03-15 16:42:00,3.46,,1.62,,6.12,8.86,3.20,2.60,2.12,,5.20,1.74,1.68
2023-03-15 16:44:00,3.34,,1.70,,6.20,9.16,3.14,2.50,2.08,,5.18,1.76,1.70
2023-03-15 16:46:00,3.60,,2.06,1.86,5.94,9.22,3.20,2.54,2.06,,5.20,,1.68
2023-03-15 16:48:00,3.34,,1.58,,6.04,9.26,3.12,2.50,2.10,,5.14,1.66,1.68
2023-03-15 16:50:00,3.40,,1.52,,5.92,9.04,3.10,2.50,2.02,,5.20,1.68,1.68
2023-03-15 16:52:00,3.30,,1.62,,6.04,9.38,3.26,2.54,2.06,,5.08,1.78,1.68
2023-03-15 16:54:00,3.38,,1.52,,6,9.12,3.22,2.54,2.02,,5.22,1.78,1.68
2023-03-15 16:56:00,3.62,,1.88,1.80,6.30,9.10,3.22,2.56,2.04,,5.16,1.70,
2023-03-15 16:58:00,3.40,,,,6,16.1,3.06,2.60,2.06,32.2,5.18,1.62,1.66
2023-03-15 17:00:00,3.46,,1.52,,5.92,9.10,3.30,2.52,2.06,,5.22,1.70,1.66
