"Time","failure","success","failure","success","failure","success"
2023-03-22 02:54:00,,0.0000681,,0.0000725,,0.0000726
2023-03-22 02:56:00,,0.0000813,,0.0000588,,0.0000803
2023-03-22 02:58:00,,0.0000537,,0.0000777,,0.000113
2023-03-22 03:00:00,,0.0000647,,0.000109,,0.0000660
2023-03-22 03:02:00,,0.0000582,,0.0000877,,0.0000750
2023-03-22 03:04:00,,0.0000968,,0.000100,,0.0000772
2023-03-22 03:06:00,,0.0000733,,0.0000903,,0.0000903
2023-03-22 03:08:00,,0.0000544,,0.000107,,0.0000885
2023-03-22 03:10:00,,0.0000642,,0.0000669,,0.0000672
2023-03-22 03:12:00,,0.0000749,,0.000118,,0.0000680
2023-03-22 03:14:00,,0.0000636,,0.000105,,0.0000905
2023-03-22 03:16:00,,0.0000587,,0.0000603,,0.0000640
2023-03-22 03:18:00,,0.0000914,,0.0000775,,0.0000816
2023-03-22 03:20:00,,0.0000898,,0.0000734,,0.0000821
2023-03-22 03:22:00,,0.0000868,,0.0000735,,0.0000955
2023-03-22 03:24:00,,0.0000690,,0.0000764,,0.0000748
2023-03-22 03:26:00,,0.0000565,,0.0000705,,0.0000560
2023-03-22 03:28:00,,0.0000865,,0.0000735,,0.000126
2023-03-22 03:30:00,,0.0000598,,0.0000767,,0.0000786
2023-03-22 03:32:00,,0.0000615,,0.0000670,,0.0000737
2023-03-22 03:34:00,,0.0000688,,0.0000768,,0.0000729
2023-03-22 03:36:00,,0.0000748,,0.0000748,,0.0000636
2023-03-22 03:38:00,,0.0000847,,0.0000739,,0.0000759
2023-03-22 03:40:00,,0.0000637,,0.0000678,,0.0000788
2023-03-22 03:42:00,,0.0000592,,0.0000758,,0.0000819
2023-03-22 03:44:00,,0.0000786,,0.0000671,,0.0000566
2023-03-22 03:46:00,,0.0000578,,0.0000636,,0.0000875
2023-03-22 03:48:00,,0.0000756,,0.0000652,,0.0000723
2023-03-22 03:50:00,,0.0000744,,0.0000681,,0.0000593
2023-03-22 03:52:00,,0.0000666,,0.0000813,,0.0000835
2023-03-22 03:54:00,,0.0000819,,0.0000631,,0.0000546
2023-03-22 03:56:00,,0.0000691,,0.0000586,,0.0000543
2023-03-22 03:58:00,,0.0000728,,0.000104,,0.0000987
2023-03-22 04:00:00,,0.0000623,,0.0000994,,0.0000916
2023-03-22 04:02:00,,0.0000728,,0.0000757,,0.0000782
2023-03-22 04:04:00,,0.0000701,,0.0000923,,0.0000712
2023-03-22 04:06:00,,0.0000521,,0.0000726,,0.0000647
2023-03-22 04:08:00,,0.0000664,,0.000102,,0.0000683
2023-03-22 04:10:00,,0.0000599,,0.000128,,0.0000709
2023-03-22 04:12:00,,0.0000700,,0.0000819,,0.0000768
2023-03-22 04:14:00,,0.0000588,,0.0000630,,0.0000680
2023-03-22 04:16:00,,0.0000591,,0.0000817,,0.0000698
2023-03-22 04:18:00,,0.0000703,,0.0000640,,0.0000694
2023-03-22 04:20:00,,0.0000579,,0.0000604,,0.0000596
2023-03-22 04:22:00,,0.0000752,,0.000142,,0.0000781
2023-03-22 04:24:00,,0.0000614,,0.0000616,,0.0000649
2023-03-22 04:26:00,,0.0000589,,0.0000695,,0.0000691
2023-03-22 04:28:00,,0.0000648,,0.000106,,0.0000618
2023-03-22 04:30:00,,0.0000614,,0.000117,,0.0000710
2023-03-22 04:32:00,,0.0000777,,0.0000810,,0.0000818
2023-03-22 04:34:00,,0.0000606,,0.0000701,,0.0000535
2023-03-22 04:36:00,,0.0000666,,0.0000734,,0.0000711
2023-03-22 04:38:00,,0.0000582,,0.0000605,,0.0000959
2023-03-22 04:40:00,,0.0000651,,0.0000671,,0.0000656
2023-03-22 04:42:00,,0.0000521,,0.0000529,,0.0000538
2023-03-22 04:44:00,,0.0000511,,0.0000622,,0.0000380
2023-03-22 04:46:00,,0.0000465,,0.0000382,,0.0000552
2023-03-22 04:48:00,,0.0000397,,0.0000496,,0.0000461
2023-03-22 04:50:00,,0.0000562,,0.0000657,,0.0000573
