"Time","udp:99%","udp:90%","udp:50%"
2023-03-16 07:48:00,365,255,160
2023-03-16 07:52:00,294,237,159
2023-03-16 07:56:00,288,198,145
2023-03-16 08:00:00,294,236,156
2023-03-16 08:04:00,289,199,146
2023-03-16 08:08:00,293,235,156
2023-03-16 08:12:00,295,245,161
2023-03-16 08:16:00,286,196,143
2023-03-16 08:20:00,293,234,156
2023-03-16 08:24:00,295,252,163
2023-03-16 08:28:00,288,198,144
2023-03-16 08:32:00,294,237,159
2023-03-16 08:36:00,288,198,145
2023-03-16 08:40:00,293,225,154
2023-03-16 08:44:00,295,252,163
2023-03-16 08:48:00,337,199,146
2023-03-16 08:52:00,295,250,163
2023-03-16 08:56:00,286,196,143
2023-03-16 09:00:00,291,213,152
2023-03-16 09:04:00,294,243,161
2023-03-16 09:08:00,286,196,144
2023-03-16 09:12:00,295,250,163
2023-03-16 09:16:00,294,243,161
2023-03-16 09:20:00,282,194,141
2023-03-16 09:24:00,295,248,162
2023-03-16 09:28:00,286,197,143
2023-03-16 09:32:00,295,250,163
2023-03-16 09:36:00,295,248,162
2023-03-16 09:40:00,282,194,141
2023-03-16 09:44:00,295,248,162
2023-03-16 09:48:00,337,199,146
2023-03-16 09:52:00,295,250,163
2023-03-16 09:56:00,295,248,162
2023-03-16 10:00:00,285,195,142
2023-03-16 10:04:00,295,252,163
2023-03-16 10:08:00,294,244,159
2023-03-16 10:12:00,286,196,143
2023-03-16 10:16:00,295,252,163
2023-03-16 10:20:00,287,197,143
2023-03-16 10:24:00,295,248,162
2023-03-16 10:28:00,294,237,157
2023-03-16 10:32:00,284,195,142
2023-03-16 10:36:00,293,230,152
2023-03-16 10:40:00,282,194,141
2023-03-16 10:44:00,295,248,162
2023-03-16 10:48:00,365,255,160
2023-03-16 10:52:00,286,196,143
2023-03-16 10:56:00,295,252,163
2023-03-16 11:00:00,294,236,156
2023-03-16 11:04:00,286,196,143
2023-03-16 11:08:00,295,247,159
2023-03-16 11:12:00,283,195,142
2023-03-16 11:16:00,295,248,162
2023-03-16 11:20:00,293,234,156
2023-03-16 11:24:00,288,198,145
2023-03-16 11:28:00,293,230,155
2023-03-16 11:32:00,288,198,144
2023-03-16 11:36:00,295,252,163
2023-03-16 11:40:00,293,225,154
2023-03-16 11:44:00,283,195,142
2023-03-16 11:48:00,365,255,160
2023-03-16 11:52:00,295,253,164
2023-03-16 11:56:00,286,196,143
2023-03-16 12:00:00,293,227,154
2023-03-16 12:04:00,286,196,143
2023-03-16 12:08:00,293,235,156
2023-03-16 12:12:00,295,245,161
2023-03-16 12:16:00,288,198,145
2023-03-16 12:20:00,293,234,156
2023-03-16 12:24:00,288,198,145
2023-03-16 12:28:00,294,237,157
2023-03-16 12:32:00,295,248,162
2023-03-16 12:36:00,289,199,146
2023-03-16 12:40:00,293,225,154
2023-03-16 12:44:00,295,252,163
2023-03-16 12:48:00,337,199,146
2023-03-16 12:52:00,295,245,161
2023-03-16 12:56:00,283,195,142
2023-03-16 13:00:00,293,227,154
2023-03-16 13:04:00,295,248,162
2023-03-16 13:08:00,288,198,145
2023-03-16 13:12:00,295,250,163
2023-03-16 13:16:00,286,196,143
2023-03-16 13:20:00,293,234,156
2023-03-16 13:24:00,295,252,163
2023-03-16 13:28:00,286,196,144
2023-03-16 13:32:00,295,248,162
2023-03-16 13:36:00,295,248,162
2023-03-16 13:40:00,356,197,144
2023-03-16 13:44:00,295,252,163
2023-03-16 13:48:00,333,211,148
2023-03-16 13:52:00,294,237,159
2023-03-16 13:56:00,294,243,161
2023-03-16 14:00:00,276,192,140
2023-03-16 14:04:00,295,250,163
2023-03-16 14:08:00,291,210,148
2023-03-16 14:12:00,295,250,163
2023-03-16 14:16:00,295,252,163
2023-03-16 14:20:00,276,192,140
2023-03-16 14:24:00,295,248,162
2023-03-16 14:28:00,294,237,157
2023-03-16 14:32:00,288,198,144
2023-03-16 14:36:00,295,252,163
2023-03-16 14:40:00,285,195,142
2023-03-16 14:44:00,295,252,163
2023-03-16 14:48:00,365,255,160
2023-03-16 14:52:00,283,195,142
2023-03-16 14:56:00,295,252,163
2023-03-16 15:00:00,282,194,141
2023-03-16 15:04:00,295,250,163
2023-03-16 15:08:00,294,244,159
2023-03-16 15:12:00,286,196,143
2023-03-16 15:16:00,295,248,162
2023-03-16 15:20:00,293,234,156
2023-03-16 15:24:00,286,196,143
2023-03-16 15:28:00,294,241,158
2023-03-16 15:32:00,284,195,142
2023-03-16 15:36:00,295,252,163
2023-03-16 15:40:00,294,240,157
2023-03-16 15:44:00,283,195,142
2023-03-16 15:48:00,365,255,160
2023-03-16 15:52:00,286,196,143
2023-03-16 15:56:00,295,248,162
2023-03-16 16:00:00,293,234,156

