"Time","all nodes","min/node","avg/node","max/node"
2023-03-23 14:50:00,348,116,116,116
2023-03-23 14:52:00,343,110,114,117
2023-03-23 14:54:00,351,116,117,119
2023-03-23 14:56:00,344,109,115,119
2023-03-23 14:58:00,348,114,116,118
2023-03-23 15:00:00,351,116,117,119
2023-03-23 15:02:00,345,113,115,116
2023-03-23 15:04:00,348,113,116,119
2023-03-23 15:06:00,351,116,117,119
2023-03-23 15:08:00,342,110,114,116
2023-03-23 15:10:00,333,109,111,114
2023-03-23 15:12:00,347,115,116,116
2023-03-23 15:14:00,339,109,113,116
2023-03-23 15:16:00,343,113,114,116
2023-03-23 15:18:00,336,107,112,115
2023-03-23 15:20:00,348,116,116,116
2023-03-23 15:22:00,339,110,113,116
2023-03-23 15:24:00,340,109,113,116
2023-03-23 15:26:00,351,114,117,121
2023-03-23 15:28:00,341,109,114,116
2023-03-23 15:30:00,341,109,114,116
2023-03-23 15:32:00,345,109,115,119
2023-03-23 15:34:00,344,112,115,116
2023-03-23 15:36:00,345,110,115,119
2023-03-23 15:38:00,337,111,112,114
2023-03-23 15:40:00,348,114,116,118
2023-03-23 15:42:00,345,114,115,117
2023-03-23 15:44:00,341,112,114,116
2023-03-23 15:46:00,351,116,117,119
2023-03-23 15:48:00,347,115,116,116
2023-03-23 15:50:00,349,116,116,117
2023-03-23 15:52:00,343,111,114,116
2023-03-23 15:54:00,348,116,116,116
2023-03-23 15:56:00,343,112,114,117
2023-03-23 15:58:00,343,113,114,117
2023-03-23 16:00:00,344,114,115,116
2023-03-23 16:02:00,342,108,114,117
2023-03-23 16:04:00,341,109,114,116
2023-03-23 16:06:00,347,113,116,118
2023-03-23 16:08:00,351,116,117,119
2023-03-23 16:10:00,345,113,115,116
2023-03-23 16:12:00,341,111,114,116
2023-03-23 16:14:00,342,111,114,116
2023-03-23 16:16:00,352,116,117,120
2023-03-23 16:18:00,344,113,115,117
2023-03-23 16:20:00,344,114,115,116
2023-03-23 16:22:00,347,115,116,116
2023-03-23 16:24:00,336,109,112,114
2023-03-23 16:26:00,341,111,114,116
2023-03-23 16:28:00,347,115,116,116
2023-03-23 16:30:00,351,116,117,119
2023-03-23 16:32:00,350,115,117,119
2023-03-23 16:34:00,344,114,115,116
2023-03-23 16:36:00,351,114,117,121
2023-03-23 16:38:00,344,109,115,119
2023-03-23 16:40:00,337,107,112,116
2023-03-23 16:42:00,352,115,117,121
2023-03-23 16:44:00,341,109,114,116
2023-03-23 16:46:00,347,115,116,116
2023-03-23 16:48:00,347,115,116,116
2023-03-23 16:50:00,350,113,117,121
2023-03-23 16:52:00,339,109,113,116
2023-03-23 16:54:00,348,113,116,119
2023-03-23 16:56:00,348,116,116,116
2023-03-23 16:58:00,341,109,114,116
2023-03-23 17:00:00,352,116,117,120
2023-03-23 17:02:00,348,116,116,116
2023-03-23 17:04:00,339,109,113,121
2023-03-23 17:06:00,342,107,114,119
2023-03-23 17:08:00,344,109,115,119
2023-03-23 17:10:00,345,109,115,121
2023-03-23 17:12:00,346,111,115,119
2023-03-23 17:14:00,339,110,113,116
2023-03-23 17:16:00,341,109,114,116
2023-03-23 17:18:00,346,114,115,116
2023-03-23 17:20:00,343,111,114,116
2023-03-23 17:22:00,345,109,115,120
2023-03-23 17:24:00,343,111,114,116
2023-03-23 17:26:00,347,110,116,121
2023-03-23 17:28:00,351,116,117,119
2023-03-23 17:30:00,344,109,115,119
2023-03-23 17:32:00,341,109,114,119
2023-03-23 17:34:00,346,115,115,116
2023-03-23 17:36:00,346,113,115,117
2023-03-23 17:38:00,341,109,114,116
2023-03-23 17:40:00,339,109,113,116
2023-03-23 17:42:00,344,109,115,119
2023-03-23 17:44:00,342,112,114,116
2023-03-23 17:46:00,343,109,114,119
2023-03-23 17:48:00,331,109,110,113
2023-03-23 17:50:00,332,109,111,114
2023-03-23 17:52:00,351,116,117,119
2023-03-23 17:54:00,346,114,115,117
2023-03-23 17:56:00,344,109,115,119
2023-03-23 17:58:00,344,109,115,119
2023-03-23 18:00:00,346,114,115,116
2023-03-23 18:02:00,346,115,115,116
2023-03-23 18:04:00,341,109,114,116
2023-03-23 18:06:00,341,110,114,116
2023-03-23 18:08:00,341,109,114,119
2023-03-23 18:10:00,345,113,115,116
2023-03-23 18:12:00,343,113,114,115
2023-03-23 18:14:00,351,116,117,119
2023-03-23 18:16:00,348,116,116,116
2023-03-23 18:18:00,351,116,117,119
2023-03-23 18:20:00,345,114,115,116
2023-03-23 18:22:00,349,114,116,119
2023-03-23 18:24:00,351,116,117,119
2023-03-23 18:26:00,343,113,114,116
2023-03-23 18:28:00,345,113,115,116
2023-03-23 18:30:00,339,109,113,116
2023-03-23 18:32:00,341,109,114,116
2023-03-23 18:34:00,351,116,117,119
2023-03-23 18:36:00,350,115,117,119
2023-03-23 18:38:00,352,116,117,119
2023-03-23 18:40:00,338,109,113,116
2023-03-23 18:42:00,344,109,115,119
2023-03-23 18:44:00,346,109,115,119
2023-03-23 18:46:00,346,113,115,117
2023-03-23 18:48:00,351,116,117,119
2023-03-23 18:50:00,353,116,118,121
2023-03-23 18:52:00,344,111,115,119
2023-03-23 18:54:00,345,114,115,116
2023-03-23 18:56:00,341,109,114,116
2023-03-23 18:58:00,345,108,115,119
2023-03-23 19:00:00,348,116,116,116
2023-03-23 19:02:00,344,113,115,116
2023-03-23 19:04:00,343,113,114,116
2023-03-23 19:06:00,346,114,115,116
2023-03-23 19:08:00,341,109,114,116
2023-03-23 19:10:00,351,116,117,119
2023-03-23 19:12:00,348,116,116,116
2023-03-23 19:14:00,345,108,115,121
2023-03-23 19:16:00,350,115,117,119
2023-03-23 19:18:00,344,111,115,117
2023-03-23 19:20:00,342,109,114,117
2023-03-23 19:22:00,343,107,114,119
2023-03-23 19:24:00,341,111,114,116
2023-03-23 19:26:00,344,109,115,119
2023-03-23 19:28:00,350,115,117,119
2023-03-23 19:30:00,339,108,113,116
2023-03-23 19:32:00,344,114,115,116
2023-03-23 19:34:00,340,109,113,119
2023-03-23 19:36:00,346,114,115,116
2023-03-23 19:38:00,345,113,115,117
2023-03-23 19:40:00,349,115,116,118
2023-03-23 19:42:00,341,112,114,115
2023-03-23 19:44:00,344,109,115,119
2023-03-23 19:46:00,348,116,116,116
2023-03-23 19:48:00,348,116,116,116
2023-03-23 19:50:00,344,109,115,120
2023-03-23 19:52:00,350,115,117,119
2023-03-23 19:54:00,352,115,117,119
2023-03-23 19:56:00,337,109,112,116
2023-03-23 19:58:00,342,109,114,117
2023-03-23 20:00:00,337,109,112,116
2023-03-23 20:02:00,339,109,113,119
2023-03-23 20:04:00,345,113,115,116
2023-03-23 20:06:00,347,115,116,116
2023-03-23 20:08:00,343,113,114,116
2023-03-23 20:10:00,347,113,116,119
2023-03-23 20:12:00,345,114,115,116
2023-03-23 20:14:00,345,113,115,116
2023-03-23 20:16:00,344,109,115,119
2023-03-23 20:18:00,346,115,115,116
2023-03-23 20:20:00,342,110,114,116
2023-03-23 20:22:00,345,110,115,119
2023-03-23 20:24:00,340,108,113,116
2023-03-23 20:26:00,341,109,114,116
2023-03-23 20:28:00,348,113,116,119
2023-03-23 20:30:00,348,116,116,116
2023-03-23 20:32:00,341,109,114,116
2023-03-23 20:34:00,349,116,116,117
2023-03-23 20:36:00,351,116,117,119
2023-03-23 20:38:00,350,113,117,119
2023-03-23 20:40:00,332,109,111,114
2023-03-23 20:42:00,345,109,115,120
2023-03-23 20:44:00,343,113,114,116
2023-03-23 20:46:00,344,108,115,121
2023-03-23 20:48:00,341,112,114,115
2023-03-23 20:50:00,352,116,117,120
2023-03-23 20:52:00,340,108,113,116
2023-03-23 20:54:00,344,109,115,119
2023-03-23 20:56:00,348,113,116,119
2023-03-23 20:58:00,340,110,113,119
2023-03-23 21:00:00,344,109,115,119
2023-03-23 21:02:00,347,115,116,116
2023-03-23 21:04:00,348,116,116,116
2023-03-23 21:06:00,347,112,116,119
2023-03-23 21:08:00,343,113,114,116
