"Time","DROPPED","FORWARDED"
2023-03-11 21:52:00,0.120,96.8
2023-03-11 21:54:00,0.0600,98.5
2023-03-11 21:56:00,0.100,92.2
2023-03-11 21:58:00,0.0400,89.7
2023-03-11 22:00:00,0.0400,92.8
2023-03-11 22:02:00,0,95.7
2023-03-11 22:04:00,0,96.2
2023-03-11 22:06:00,0,92.1
2023-03-11 22:08:00,0,92.0
2023-03-11 22:10:00,0.0200,93.4
2023-03-11 22:12:00,0.0200,94.9
2023-03-11 22:14:00,0.0400,95.8
2023-03-11 22:16:00,0.100,91.8
2023-03-11 22:18:00,0.0200,91.4
2023-03-11 22:20:00,0.0400,91.0
2023-03-11 22:22:00,0.0200,96.6
2023-03-11 22:24:00,0,94.8
2023-03-11 22:26:00,0,91.1
2023-03-11 22:28:00,0,91.6
2023-03-11 22:30:00,0,90.6
2023-03-11 22:32:00,0,104
2023-03-11 22:34:00,0.0200,93.4
2023-03-11 22:36:00,0.0200,94.7
2023-03-11 22:38:00,0.0400,89.8
2023-03-11 22:40:00,0.0600,93.8
2023-03-11 22:42:00,0.0800,111
2023-03-11 22:44:00,0.0600,92.6
2023-03-11 22:46:00,0.0200,90.9
2023-03-11 22:48:00,0,89.5
2023-03-11 22:50:00,0,90.8
2023-03-11 22:52:00,0,129
2023-03-11 22:54:00,0,93.5
2023-03-11 22:56:00,0.0200,90.2
2023-03-11 22:58:00,0.0600,91.4
2023-03-11 23:00:00,0.0200,91.1
2023-03-11 23:02:00,0.0600,150
2023-03-11 23:04:00,0.0600,93.2
2023-03-11 23:06:00,0.0200,89.9
2023-03-11 23:08:00,0.0400,89.4
2023-03-11 23:10:00,0,89.3
2023-03-11 23:12:00,0,170
2023-03-11 23:14:00,0,95.2
2023-03-11 23:16:00,0,93.2
2023-03-11 23:18:00,0,91.0
2023-03-11 23:20:00,0.0200,91.7
2023-03-11 23:22:00,0,198
2023-03-11 23:24:00,0,93.9
2023-03-11 23:26:00,0.0200,93.2
2023-03-11 23:28:00,0,89.7
2023-03-11 23:30:00,0.0200,92.9
2023-03-11 23:32:00,0,216
2023-03-11 23:34:00,0,93.8
2023-03-11 23:36:00,0,96.2
2023-03-11 23:38:00,0,90.7
2023-03-11 23:40:00,0,90.9
2023-03-11 23:42:00,0.0400,225
2023-03-11 23:44:00,0.0200,93.4
2023-03-11 23:46:00,0,93.0
2023-03-11 23:48:00,0,91.1
2023-03-11 23:50:00,0.120,91.2
2023-03-11 23:52:00,0.0600,217
2023-03-11 23:54:00,0.100,92.4
2023-03-11 23:56:00,0.0600,92.2
2023-03-11 23:58:00,0.0400,90.1
2023-03-12 00:00:00,0,89.1
2023-03-12 00:02:00,0,202
2023-03-12 00:04:00,0,91.7
2023-03-12 00:06:00,0.0200,92.2
2023-03-12 00:08:00,0.0400,89.8
2023-03-12 00:10:00,0.0200,90.6
2023-03-12 00:12:00,0.0600,180
2023-03-12 00:14:00,0.0600,91.7
2023-03-12 00:16:00,0.0200,90.2
2023-03-12 00:18:00,0.0400,90.2
2023-03-12 00:20:00,0.0400,89.4
2023-03-12 00:22:00,0.0200,156
2023-03-12 00:24:00,0,92.3
2023-03-12 00:26:00,0,91.2
2023-03-12 00:28:00,0,89.9
2023-03-12 00:30:00,0,89.4
2023-03-12 00:32:00,0.0400,135
2023-03-12 00:34:00,0.0400,92.8
2023-03-12 00:36:00,0.0600,92.9
2023-03-12 00:38:00,0,89.9
2023-03-12 00:40:00,0.0600,89.0
2023-03-12 00:42:00,0,116
2023-03-12 00:44:00,0.0200,92.5
2023-03-12 00:46:00,0.0600,90.8
2023-03-12 00:48:00,0,89.8
2023-03-12 00:50:00,0,89.2
2023-03-12 00:52:00,0,98.2
2023-03-12 00:54:00,0.0200,89.8
2023-03-12 00:56:00,0.0800,90.2
