"Time","Read (192.168.0.211:9796)","Read (192.168.0.221:9796)","Read (192.168.0.222:9796)","Write (192.168.0.211:9796)","Write (192.168.0.221:9796)","Write (192.168.0.222:9796)"
2023-03-22 04:06:00,0,0,0,595058,150778,85788
2023-03-22 04:08:00,0,0,0,722944,171668,174854
2023-03-22 04:10:00,0,0,0,570391,85288,90249
2023-03-22 04:12:00,0,0,0,694195,177721,170621
2023-03-22 04:14:00,0,0,1229,683895,114870,178540
2023-03-22 04:16:00,0,0,0,607346,145362,81419
2023-03-22 04:18:00,0,0,0,724082,173124,214448
2023-03-22 04:20:00,0,0,0,559195,90385,87290
2023-03-22 04:22:00,0,0,0,730544,176310,184138
2023-03-22 04:24:00,0,0,0,676068,115098,172942
2023-03-22 04:26:00,0,0,0,605389,150824,75639
2023-03-22 04:28:00,0,0,0,717210,174507,169984
2023-03-22 04:30:00,0,0,0,559377,86244,90249
2023-03-22 04:32:00,0,0,0,704922,170667,225644
2023-03-22 04:34:00,0,0,0,666055,109773,215450
2023-03-22 04:36:00,0,0,0,614491,144543,93662
2023-03-22 04:38:00,0,0,0,713193,179749,178950
2023-03-22 04:40:00,0,0,0,512637,91568,79735
2023-03-22 04:42:00,546,0,0,719940,169438,167071
2023-03-22 04:44:00,0,0,0,675931,111320,174217
2023-03-22 04:46:00,0,0,0,600110,155420,82830
2023-03-22 04:48:00,0,0,0,743424,178130,175354
2023-03-22 04:50:00,0,0,0,586138,97121,91978
2023-03-22 04:52:00,0,0,0,723536,179632,168073
2023-03-22 04:54:00,0,0,0,657545,115780,168164
2023-03-22 04:56:00,0,0,0,604570,156467,82830
2023-03-22 04:58:00,0,0,0,686990,211081,170121
2023-03-22 05:00:00,0,0,0,565749,128296,94408
2023-03-22 05:02:00,0,0,0,732729,456795,275615
2023-03-22 05:04:00,0,0,0,663051,402091,279438
2023-03-22 05:06:00,0,0,0,599745,154146,96074
2023-03-22 05:08:00,0,0,0,728223,183592,168391
2023-03-22 05:10:00,0,0,0,515004,99305,77778
2023-03-22 05:12:00,0,0,0,704102,172214,169438
2023-03-22 05:14:00,0,0,0,675203,113732,164796
2023-03-22 05:16:00,0,0,0,591508,152872,80327
2023-03-22 05:18:00,0,0,0,704375,182909,170849
2023-03-22 05:20:00,0,0,0,596378,93844,78098
2023-03-22 05:22:00,0,0,0,730863,181089,163703
2023-03-22 05:24:00,0,0,0,678389,116190,168710
2023-03-22 05:26:00,0,0,0,675567,141175,75913
2023-03-22 05:28:00,0,0,0,784384,166207,168755
2023-03-22 05:30:00,0,0,0,552596,89202,85743
2023-03-22 05:32:00,0,0,0,724552,184730,212719
2023-03-22 05:34:00,0,0,0,669104,122607,216451
2023-03-22 05:36:00,0,0,0,609394,154601,77005
2023-03-22 05:38:00,0,0,228,702191,176174,190054
2023-03-22 05:40:00,0,0,0,551367,101763,86790
2023-03-22 05:42:00,0,0,0,745290,183228,210352
2023-03-22 05:44:00,0,0,0,699824,113732,223004
2023-03-22 05:46:00,0,0,0,574032,151461,83285
2023-03-22 05:48:00,0,0,0,719440,180543,176174
2023-03-22 05:50:00,0,0,0,557648,101945,79644
